date,count
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,21
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,24
2013-11,0
2013-12,0
2014-01,40
2014-02,27
2014-03,29
2014-04,41
2014-05,45
2014-06,50
2014-07,91
2014-08,130
2014-09,93
2014-10,178
2014-11,157
2014-12,169
2015-01,233
2015-02,171
2015-03,174
2015-04,200
2015-05,251
2015-06,236
2015-07,209
2015-08,187
2015-09,160
2015-10,133
2015-11,138
2015-12,130
2016-01,152
2016-02,147
2016-03,184
2016-04,157
2016-05,188
2016-06,224
2016-07,175
2016-08,239
2016-09,170
2016-10,195
2016-11,184
2016-12,202
2017-01,229
2017-02,204
2017-03,218
2017-04,187
2017-05,198
2017-06,176
2017-07,229
2017-08,207
2017-09,141
2017-10,168
2017-11,173
2017-12,246
2018-01,201
2018-02,202
2018-03,272
2018-04,211
2018-05,249
2018-06,219
2018-07,236
2018-08,220
2018-09,232
2018-10,228
2018-11,239
2018-12,247
2019-01,328
2019-02,256
