date,count
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,22
2011-03,28
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,26
2011-12,23
2012-01,25
2012-02,24
2012-03,50
2012-04,36
2012-05,26
2012-06,36
2012-07,43
2012-08,30
2012-09,45
2012-10,34
2012-11,49
2012-12,25
2013-01,61
2013-02,59
2013-03,57
2013-04,50
2013-05,61
2013-06,75
2013-07,102
2013-08,110
2013-09,108
2013-10,100
2013-11,107
2013-12,114
2014-01,126
2014-02,138
2014-03,130
2014-04,149
2014-05,116
2014-06,121
2014-07,180
2014-08,125
2014-09,151
2014-10,146
2014-11,137
2014-12,117
2015-01,125
2015-02,150
2015-03,138
2015-04,162
2015-05,160
2015-06,194
2015-07,161
2015-08,153
2015-09,156
2015-10,175
2015-11,163
2015-12,128
2016-01,167
2016-02,165
2016-03,168
2016-04,146
2016-05,184
2016-06,153
2016-07,144
2016-08,167
2016-09,149
2016-10,164
2016-11,175
2016-12,173
2017-01,132
2017-02,149
2017-03,185
2017-04,137
2017-05,137
2017-06,158
2017-07,146
2017-08,151
2017-09,119
2017-10,131
2017-11,137
2017-12,105
2018-01,125
2018-02,137
2018-03,191
2018-04,168
2018-05,160
2018-06,104
2018-07,107
2018-08,125
2018-09,124
2018-10,177
2018-11,170
2018-12,103
2019-01,115
2019-02,113
