date,count
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,27
2009-05,0
2009-06,63
2009-07,59
2009-08,72
2009-09,63
2009-10,100
2009-11,95
2009-12,84
2010-01,105
2010-02,115
2010-03,115
2010-04,163
2010-05,167
2010-06,173
2010-07,184
2010-08,170
2010-09,225
2010-10,218
2010-11,211
2010-12,226
2011-01,252
2011-02,273
2011-03,299
2011-04,271
2011-05,327
2011-06,333
2011-07,426
2011-08,435
2011-09,420
2011-10,467
2011-11,456
2011-12,373
2012-01,359
2012-02,386
2012-03,462
2012-04,405
2012-05,422
2012-06,445
2012-07,489
2012-08,463
2012-09,535
2012-10,537
2012-11,554
2012-12,481
2013-01,575
2013-02,591
2013-03,670
2013-04,687
2013-05,661
2013-06,690
2013-07,702
2013-08,689
2013-09,776
2013-10,842
2013-11,851
2013-12,820
2014-01,771
2014-02,830
2014-03,933
2014-04,926
2014-05,852
2014-06,943
2014-07,895
2014-08,862
2014-09,853
2014-10,850
2014-11,910
2014-12,860
2015-01,899
2015-02,883
2015-03,1013
2015-04,1032
2015-05,1056
2015-06,1189
2015-07,1191
2015-08,1150
2015-09,1192
2015-10,1104
2015-11,1084
2015-12,1106
2016-01,1038
2016-02,1145
2016-03,1300
2016-04,1262
2016-05,1197
2016-06,1213
2016-07,1190
2016-08,1297
2016-09,1275
2016-10,1280
2016-11,1344
2016-12,1181
2017-01,1171
2017-02,1104
2017-03,1307
2017-04,1134
2017-05,1174
2017-06,1171
2017-07,1258
2017-08,1175
2017-09,1122
2017-10,1083
2017-11,1105
2017-12,875
2018-01,1040
2018-02,1003
2018-03,1272
2018-04,1246
2018-05,1201
2018-06,1045
2018-07,1064
2018-08,941
2018-09,908
2018-10,973
2018-11,890
2018-12,820
2019-01,874
2019-02,882
