date,count
2009-06,32
2009-07,24
2009-10,30
2009-11,35
2009-12,32
2010-01,28
2010-02,22
2010-03,40
2010-04,24
2010-05,31
2010-06,28
2010-07,32
2010-08,28
2010-09,30
2010-10,36
2010-11,60
2010-12,50
2011-01,49
2011-02,83
2011-03,63
2011-04,76
2011-05,44
2011-06,40
2011-07,21
2011-08,40
2011-09,29
2011-10,38
2011-11,62
2011-12,41
2012-01,54
2012-02,63
2012-03,77
2012-04,62
2012-05,59
2012-06,32
2012-07,43
2012-08,38
2012-09,77
2012-10,102
2012-11,98
2012-12,59
2013-01,75
2013-02,106
2013-03,94
2013-04,136
2013-05,75
2013-06,55
2013-07,37
2013-08,48
2013-09,74
2013-10,142
2013-11,133
2013-12,74
2014-01,56
2014-02,78
2014-03,71
2014-04,108
2014-05,91
2014-06,42
2014-07,36
2014-08,38
2014-09,76
2014-10,71
2014-11,111
2014-12,75
2015-01,40
2015-02,72
2015-03,85
2015-04,93
2015-05,57
2015-06,32
2015-07,36
2015-08,41
2015-09,59
2015-10,81
2015-11,95
2015-12,52
2016-01,40
2016-02,78
2016-03,75
2016-04,91
2016-05,51
2016-06,52
2016-07,52
2016-08,64
2016-09,60
2016-10,96
2016-11,81
2016-12,58
2017-01,41
2017-02,45
2017-03,78
2017-04,90
2017-05,39
2017-06,24
2017-07,31
2017-08,23
2017-09,35
2017-10,45
2017-11,75
2017-12,47
2018-01,30
2018-02,57
2018-03,49
2018-04,78
2018-05,33
2018-07,24
2018-08,23
2018-09,29
2018-10,65
2018-11,49
2018-12,48
2019-01,33
2019-02,43
