date,count
2008-08,148
2008-09,505
2008-10,534
2008-11,414
2008-12,427
2009-01,587
2009-02,668
2009-03,660
2009-04,744
2009-05,845
2009-06,925
2009-07,1088
2009-08,1036
2009-09,1356
2009-10,1478
2009-11,1217
2009-12,1188
2010-01,1257
2010-02,1290
2010-03,1465
2010-04,1325
2010-05,1449
2010-06,1627
2010-07,1835
2010-08,1914
2010-09,1741
2010-10,1852
2010-11,1976
2010-12,1895
2011-01,2355
2011-02,2134
2011-03,2662
2011-04,2299
2011-05,2716
2011-06,2664
2011-07,2680
2011-08,2683
2011-09,2598
2011-10,2605
2011-11,2847
2011-12,2598
2012-01,2813
2012-02,3164
2012-03,3622
2012-04,3346
2012-05,3526
2012-06,3316
2012-07,3743
2012-08,3712
2012-09,3622
2012-10,4121
2012-11,4326
2012-12,3887
2013-01,4671
2013-02,4595
2013-03,5268
2013-04,5075
2013-05,5010
2013-06,4758
2013-07,5427
2013-08,5395
2013-09,5931
2013-10,6862
2013-11,6587
2013-12,6266
2014-01,7078
2014-02,6983
2014-03,7783
2014-04,7861
2014-05,6815
2014-06,6403
2014-07,6897
2014-08,6247
2014-09,6377
2014-10,5472
2014-11,4297
2014-12,4219
2015-01,4480
2015-02,4389
2015-03,5019
2015-04,4915
2015-05,4705
2015-06,4774
2015-07,4897
2015-08,4503
2015-09,4342
2015-10,4470
2015-11,4399
2015-12,4256
2016-01,4507
2016-02,4703
2016-03,5150
2016-04,4998
2016-05,4901
2016-06,5006
2016-07,4408
2016-08,4502
2016-09,4357
2016-10,4634
2016-11,4761
2016-12,4196
2017-01,4405
2017-02,4465
2017-03,5400
2017-04,4748
2017-05,5186
2017-06,4866
2017-07,4848
2017-08,4635
2017-09,4257
2017-10,4635
2017-11,4638
2017-12,3791
2018-01,4287
2018-02,4192
2018-03,5001
2018-04,4979
2018-05,5053
2018-06,4693
2018-07,4841
2018-08,4680
2018-09,4015
2018-10,4659
2018-11,4416
2018-12,3776
2019-01,4274
2019-02,4763
