date,count
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,277
2012-11,143
2012-12,81
2013-01,96
2013-02,70
2013-03,116
2013-04,94
2013-05,76
2013-06,94
2013-07,108
2013-08,107
2013-09,86
2013-10,83
2013-11,90
2013-12,122
2014-01,147
2014-02,119
2014-03,119
2014-04,140
2014-05,138
2014-06,106
2014-07,161
2014-08,122
2014-09,115
2014-10,142
2014-11,107
2014-12,120
2015-01,142
2015-02,128
2015-03,154
2015-04,175
2015-05,247
2015-06,259
2015-07,289
2015-08,297
2015-09,300
2015-10,336
2015-11,406
2015-12,505
2016-01,616
2016-02,749
2016-03,839
2016-04,940
2016-05,1065
2016-06,1107
2016-07,1283
2016-08,1370
2016-09,1348
2016-10,1493
2016-11,1408
2016-12,1397
2017-01,1557
2017-02,1552
2017-03,1838
2017-04,1741
2017-05,1916
2017-06,1880
2017-07,1950
2017-08,2078
2017-09,1862
2017-10,1853
2017-11,1996
2017-12,1742
2018-01,1963
2018-02,1990
2018-03,2433
2018-04,2302
2018-05,2352
2018-06,2320
2018-07,2429
2018-08,2542
2018-09,2329
2018-10,2600
2018-11,2300
2018-12,2216
2019-01,2621
2019-02,2794
