date,count
2008-08,0
2008-09,68
2008-10,66
2008-11,50
2008-12,63
2009-01,57
2009-02,68
2009-03,85
2009-04,86
2009-05,91
2009-06,113
2009-07,175
2009-08,108
2009-09,127
2009-10,127
2009-11,168
2009-12,137
2010-01,136
2010-02,128
2010-03,159
2010-04,152
2010-05,175
2010-06,202
2010-07,218
2010-08,194
2010-09,192
2010-10,192
2010-11,212
2010-12,166
2011-01,187
2011-02,183
2011-03,292
2011-04,262
2011-05,283
2011-06,292
2011-07,280
2011-08,313
2011-09,343
2011-10,371
2011-11,319
2011-12,318
2012-01,369
2012-02,432
2012-03,450
2012-04,385
2012-05,508
2012-06,462
2012-07,637
2012-08,602
2012-09,579
2012-10,689
2012-11,623
2012-12,645
2013-01,686
2013-02,748
2013-03,852
2013-04,905
2013-05,899
2013-06,1046
2013-07,1172
2013-08,1080
2013-09,1006
2013-10,1295
2013-11,1225
2013-12,1127
2014-01,1438
2014-02,1423
2014-03,1495
2014-04,1295
2014-05,1333
2014-06,1371
2014-07,1529
2014-08,1335
2014-09,1208
2014-10,1409
2014-11,1250
2014-12,1207
2015-01,1479
2015-02,1512
2015-03,1739
2015-04,1700
2015-05,1735
2015-06,2118
2015-07,2239
2015-08,2083
2015-09,1690
2015-10,1810
2015-11,1737
2015-12,1591
2016-01,1847
2016-02,1904
2016-03,2000
2016-04,1875
2016-05,1961
2016-06,2330
2016-07,2156
2016-08,2043
2016-09,1696
2016-10,1846
2016-11,1891
2016-12,1770
2017-01,2167
2017-02,1895
2017-03,2460
2017-04,2036
2017-05,2153
2017-06,2350
2017-07,2483
2017-08,2369
2017-09,1997
2017-10,2201
2017-11,2030
2017-12,1678
2018-01,2080
2018-02,1856
2018-03,2117
2018-04,2076
2018-05,2217
2018-06,2197
2018-07,2048
2018-08,1879
2018-09,1505
2018-10,2015
2018-11,1925
2018-12,1476
2019-01,2116
2019-02,2180
