date,count
2011-03,21
2011-04,24
2012-04,29
2012-10,25
2012-11,37
2013-01,34
2013-02,36
2013-03,63
2013-04,39
2013-05,48
2013-06,32
2013-07,35
2013-08,31
2013-09,33
2013-10,48
2013-11,71
2013-12,67
2014-01,40
2014-02,39
2014-03,69
2014-04,66
2014-05,47
2014-06,53
2014-07,47
2014-08,33
2014-09,29
2014-10,53
2014-11,78
2014-12,60
2015-01,46
2015-02,79
2015-03,87
2015-04,82
2015-05,47
2015-06,56
2015-07,33
2015-08,37
2015-09,44
2015-10,74
2015-11,89
2015-12,65
2016-01,54
2016-02,72
2016-03,102
2016-04,80
2016-05,62
2016-06,53
2016-07,45
2016-08,38
2016-09,49
2016-10,66
2016-11,69
2016-12,51
2017-01,47
2017-02,48
2017-03,68
2017-04,53
2017-05,53
2017-06,51
2017-07,43
2017-08,43
2017-09,37
2017-10,46
2017-11,59
2017-12,51
2018-01,29
2018-02,54
2018-03,75
2018-04,50
2018-05,51
2018-06,41
2018-07,42
2018-08,42
2018-09,55
2018-10,40
2018-11,55
2018-12,46
2019-01,54
2019-02,62
