date,count
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,23
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,21
2011-11,29
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,32
2012-05,21
2012-06,23
2012-07,0
2012-08,22
2012-09,23
2012-10,34
2012-11,40
2012-12,32
2013-01,39
2013-02,39
2013-03,62
2013-04,60
2013-05,50
2013-06,42
2013-07,43
2013-08,29
2013-09,53
2013-10,59
2013-11,72
2013-12,96
2014-01,50
2014-02,66
2014-03,79
2014-04,66
2014-05,93
2014-06,43
2014-07,37
2014-08,24
2014-09,46
2014-10,54
2014-11,71
2014-12,73
2015-01,57
2015-02,56
2015-03,81
2015-04,79
2015-05,80
2015-06,67
2015-07,53
2015-08,52
2015-09,52
2015-10,61
2015-11,67
2015-12,60
2016-01,68
2016-02,67
2016-03,79
2016-04,74
2016-05,71
2016-06,57
2016-07,52
2016-08,41
2016-09,35
2016-10,52
2016-11,71
2016-12,41
2017-01,42
2017-02,51
2017-03,77
2017-04,65
2017-05,57
2017-06,45
2017-07,54
2017-08,34
2017-09,35
2017-10,36
2017-11,47
2017-12,39
2018-01,35
2018-02,33
2018-03,44
2018-04,38
2018-05,70
2018-06,34
2018-07,30
2018-08,28
2018-09,39
2018-10,55
2018-11,59
2018-12,50
2019-01,39
2019-02,35
