date,count,normalized viewcount,positive,negative,total viewcount
2008-08,446,91572,439,1,11629715
2008-09,1545,265758,1426,5,33485629
2008-10,1567,222312,1438,2,27789062
2008-11,1207,128760,1073,4,15966312
2008-12,1137,118863,995,9,14620267
2009-01,1527,160826,1280,7,19620801
2009-02,1622,146840,1355,9,17767757
2009-03,1788,172638,1467,13,20716677
2009-04,1728,133483,1353,12,15884527
2009-05,1958,155188,1548,13,18312203
2009-06,1978,165171,1545,11,19325122
2009-07,2167,151018,1671,18,17518115
2009-08,2131,152044,1665,13,17485061
2009-09,1989,113101,1522,18,12893529
2009-10,2142,114823,1592,25,12975055
2009-11,2034,98955,1482,20,11083051
2009-12,2002,87174,1428,12,9676405
2010-01,2342,141525,1831,16,15567838
2010-02,2383,132769,1968,16,14471907
2010-03,2807,138155,2285,18,14920842
2010-04,2513,118798,1947,15,12711433
2010-05,2479,106444,1888,14,11283136
2010-06,2495,110546,1876,30,11607386
2010-07,2610,105653,1964,27,10987936
2010-08,2743,121461,2091,26,12510541
2010-09,2693,114402,1993,17,11669029
2010-10,2535,120965,1880,24,12217494
2010-11,2728,151101,2035,20,15110149
2010-12,2593,120891,1916,31,11968270
2011-01,3089,169450,2229,28,16606124
2011-02,3233,177227,2453,38,17191060
2011-03,3720,185382,2622,38,17796762
2011-04,3419,149067,2451,25,14161374
2011-05,3552,181107,2655,61,17024096
2011-06,3456,180687,2552,70,16803943
2011-07,3431,146554,2422,76,13483041
2011-08,3341,130565,2329,73,11881444
2011-09,3112,138362,2174,54,12452644
2011-10,2916,108734,2057,43,9677373
2011-11,2971,120041,2142,57,10563641
2011-12,2797,95028,1936,77,8267516
2012-01,3129,128883,2155,86,11083950
2012-02,3128,135328,2127,77,11502952
2012-03,3264,137133,2141,80,11519244
2012-04,2876,111090,1859,81,9220548
2012-05,3194,134705,2098,78,11045882
2012-06,3066,133685,1970,98,10828496
2012-07,3198,125074,2003,114,10005965
2012-08,3027,112038,1933,86,8851005
2012-09,2932,116592,1820,99,9094244
2012-10,3127,127110,2034,90,9787470
2012-11,3099,121261,2045,114,9215875
2012-12,2488,113359,1651,118,8501968
2013-01,3082,137385,1873,128,10166521
2013-02,2827,114663,1748,106,8370407
2013-03,3017,133093,1841,122,9582748
2013-04,2952,124520,1799,140,8840938
2013-05,2746,100306,1621,121,7021422
2013-06,2837,105715,1656,144,7294374
2013-07,3014,120346,1675,138,8183555
2013-08,2827,107050,1669,142,7172371
2013-09,2498,94394,1377,113,6230066
2013-10,2873,108763,1561,120,7069629
2013-11,2573,87277,1415,83,5585756
2013-12,2312,76081,1258,104,4793159
2014-01,2715,90859,1443,130,5633293
2014-02,2511,76649,1314,109,4675608
2014-03,2697,81514,1398,144,4890875
2014-04,2497,51382,1212,117,3031581
2014-05,2184,55086,1081,132,3194995
2014-06,2166,54931,1060,168,3131100
2014-07,2239,58025,1100,178,3249402
2014-08,2013,46549,1050,132,2560206
2014-09,2021,45145,995,141,2437847
2014-10,2213,56076,1072,160,2972069
2014-11,1937,50468,906,129,2624382
2014-12,1824,37820,895,165,1928822
2015-01,1864,40956,931,141,2047841
2015-02,1842,41555,880,159,2036211
2015-03,1955,43639,883,157,2094687
2015-04,1914,44294,949,152,2081827
2015-05,1923,40596,1017,148,1867439
2015-06,2128,45313,1163,139,2039089
2015-07,2026,51531,1081,132,2267368
2015-08,1921,41937,1032,143,1803316
2015-09,2115,49078,1081,169,2061313
2015-10,2034,44233,1003,145,1813591
2015-11,1822,34386,937,127,1375457
2015-12,1729,39807,914,124,1552479
2016-01,1746,41239,889,126,1567096
2016-02,1886,37920,945,142,1403060
2016-03,1923,40423,954,138,1455239
2016-04,1938,40150,945,134,1405273
2016-05,1892,46466,916,136,1579855
2016-06,1899,47148,918,140,1555896
2016-07,1739,45521,824,137,1456701
2016-08,1873,37617,856,150,1166130
2016-09,1572,31119,690,133,933585
2016-10,1601,29277,720,126,849035
2016-11,1634,36172,799,132,1012843
2016-12,1498,32130,708,123,867526
2017-01,1634,36559,774,132,950549
2017-02,1601,37388,760,118,934701
2017-03,1866,53848,854,133,1292365
2017-04,1490,32560,687,96,748882
2017-05,1647,38900,712,118,855818
2017-06,1647,41417,730,147,869774
2017-07,1599,38971,664,148,779425
2017-08,1534,40037,675,131,760718
2017-09,1374,34334,596,131,618026
2017-10,1490,33409,620,127,567968
2017-11,1395,30367,569,110,485881
2017-12,1204,25981,517,128,389719
2018-01,1345,33929,538,127,475014
2018-02,1400,30238,520,148,393103
2018-03,1601,28209,576,139,338514
2018-04,1553,26251,546,127,288771
2018-05,1701,28340,603,144,283401
2018-06,1549,29309,520,126,263782
2018-07,1611,30865,557,124,246927
2018-08,1596,26790,549,130,187531
2018-09,1447,24586,465,103,147520
2018-10,1649,28372,538,139,141860
2018-11,1516,26471,425,102,105886
2018-12,1265,26645,364,103,79937
2019-01,1437,35849,402,129,71698
2019-02,1654,65784,415,238,65784
