date,count,normalized viewcount,positive,negative,total viewcount
2008-08,1,28,1,0,3584
2008-09,2,228,2,0,28763
2008-10,1,94,1,0,11814
2008-11,2,143,2,0,17787
2008-12,4,2553,4,0,314128
2009-01,2,31,2,0,3834
2009-02,1,41,1,0,5037
2009-03,3,170,3,0,20488
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,2,4,1,0,531
2009-07,1,4,0,0,516
2009-08,5,293,5,0,33796
2009-09,6,458,6,0,52305
2009-10,8,460,6,0,52055
2009-11,4,1359,4,0,152281
2009-12,3,82,3,0,9122
2010-01,4,301,4,0,33189
2010-02,0,0,0,0,0
2010-03,7,502,7,0,54236
2010-04,2,168,1,0,18039
2010-05,4,180,4,0,19144
2010-06,9,696,6,0,73156
2010-07,3,83,2,0,8735
2010-08,5,71,3,0,7415
2010-09,5,283,4,0,28897
2010-10,3,233,3,0,23571
2010-11,6,158,3,2,15864
2010-12,1,14,1,0,1461
2011-01,1,176,1,0,17290
2011-02,1,15,1,0,1539
2011-03,5,221,5,0,21261
2011-04,2,72,2,0,6879
2011-05,8,435,5,1,40981
2011-06,2,101,2,0,9439
2011-07,8,477,8,0,43926
2011-08,10,500,10,0,45569
2011-09,9,575,8,0,51751
2011-10,8,471,7,1,41936
2011-11,8,790,3,1,69579
2011-12,7,131,5,0,11410
2012-01,13,883,10,1,75960
2012-02,12,975,7,2,82884
2012-03,9,475,5,1,39956
2012-04,11,898,8,0,74559
2012-05,5,1021,4,0,83791
2012-06,23,1602,13,0,129800
2012-07,27,1799,16,3,143939
2012-08,29,1911,16,2,150971
2012-09,19,3113,14,1,242824
2012-10,17,825,16,0,63536
2012-11,15,1203,13,1,91485
2012-12,7,678,5,0,50867
2013-01,11,187,8,1,13911
2013-02,14,381,11,0,27869
2013-03,20,1098,15,1,79066
2013-04,26,1621,22,0,115120
2013-05,10,648,8,0,45397
2013-06,15,775,11,2,53534
2013-07,23,1640,16,0,111534
2013-08,23,679,9,2,45556
2013-09,11,737,8,0,48651
2013-10,16,1933,12,0,125649
2013-11,15,1165,9,1,74595
2013-12,14,784,8,0,49402
2014-01,12,307,6,1,19091
2014-02,5,415,2,0,25326
2014-03,15,713,6,1,42818
2014-04,13,644,6,1,38031
2014-05,19,1656,9,2,96084
2014-06,14,877,8,0,50020
2014-07,18,462,7,3,25904
2014-08,9,567,4,1,31206
2014-09,19,464,9,2,25081
2014-10,17,1010,7,0,53543
2014-11,19,1229,9,0,63928
2014-12,13,638,4,4,32571
2015-01,20,812,9,3,40601
2015-02,17,1176,9,1,57628
2015-03,19,1028,11,0,49366
2015-04,12,397,7,2,18674
2015-05,11,268,5,1,12343
2015-06,14,380,5,1,17134
2015-07,23,1160,11,0,51070
2015-08,22,839,11,2,36116
2015-09,27,800,17,1,33609
2015-10,19,293,14,1,12039
2015-11,16,655,7,1,26214
2015-12,21,624,14,1,24371
2016-01,14,480,9,0,18250
2016-02,30,668,14,0,24738
2016-03,37,1147,19,0,41316
2016-04,22,1014,14,0,35496
2016-05,18,587,9,0,19959
2016-06,16,710,9,1,23441
2016-07,17,465,9,4,14911
2016-08,36,960,17,2,29772
2016-09,15,870,7,1,26113
2016-10,17,628,7,1,18231
2016-11,22,842,4,3,23599
2016-12,24,512,7,3,13828
2017-01,26,1126,9,1,29297
2017-02,27,1621,11,3,40535
2017-03,16,380,5,0,9133
2017-04,22,549,8,0,12633
2017-05,27,642,8,3,14137
2017-06,33,1435,10,5,30136
2017-07,38,1128,13,6,22567
2017-08,35,1119,16,0,21266
2017-09,21,1328,9,0,23916
2017-10,24,972,10,3,16527
2017-11,29,1230,13,3,19689
2017-12,24,1142,14,1,17142
2018-01,25,1283,12,1,17967
2018-02,32,1572,12,1,20441
2018-03,18,1076,11,0,12923
2018-04,28,946,5,7,10413
2018-05,29,1336,4,2,13369
2018-06,27,1272,10,3,11451
2018-07,52,1643,15,5,13147
2018-08,42,1733,10,4,12135
2018-09,33,1197,16,3,7185
2018-10,50,1483,16,5,7419
2018-11,48,1407,12,5,5629
2018-12,41,969,16,7,2907
2019-01,32,1121,21,1,2242
2019-02,25,1567,13,5,1567
