date,count,normalized viewcount,positive,negative,total viewcount
2008-08,26,1532,26,0,194689
2008-09,89,4469,72,1,563101
2008-10,69,3049,48,1,381137
2008-11,74,4260,61,0,528308
2008-12,50,3009,40,0,370208
2009-01,69,4100,52,0,500248
2009-02,145,5854,109,1,708406
2009-03,163,6517,108,1,782116
2009-04,159,5863,116,0,697758
2009-05,192,7039,112,2,830678
2009-06,233,9312,143,2,1089591
2009-07,242,6402,122,1,742679
2009-08,246,6176,141,0,710280
2009-09,283,7533,160,7,858825
2009-10,312,7613,166,4,860316
2009-11,306,7087,153,0,793820
2009-12,326,6322,144,2,701799
2010-01,472,10747,256,3,1182276
2010-02,452,9819,251,5,1070321
2010-03,454,9096,246,2,982459
2010-04,429,8200,206,4,877465
2010-05,350,6493,144,6,688272
2010-06,431,6612,227,6,694313
2010-07,408,5913,180,4,614999
2010-08,449,7455,211,3,767955
2010-09,436,7628,208,4,778088
2010-10,404,7728,184,6,780598
2010-11,492,7768,211,7,776835
2010-12,422,6397,173,4,633353
2011-01,561,10107,255,8,990524
2011-02,547,9971,207,9,967226
2011-03,711,14269,295,12,1369855
2011-04,643,11687,279,12,1110333
2011-05,647,14018,322,7,1317692
2011-06,639,11350,315,9,1055581
2011-07,588,10683,272,8,982915
2011-08,686,9994,311,13,909516
2011-09,655,10872,257,8,978497
2011-10,686,12048,264,12,1072336
2011-11,665,9301,304,23,818488
2011-12,594,9687,271,10,842844
2012-01,638,12872,260,11,1107075
2012-02,601,10284,226,14,874201
2012-03,698,11973,267,13,1005782
2012-04,587,9499,213,16,788469
2012-05,657,10964,221,24,899079
2012-06,521,6789,183,18,549927
2012-07,613,9217,240,16,737381
2012-08,615,9067,237,13,716339
2012-09,533,7506,262,12,585485
2012-10,526,6888,222,19,530437
2012-11,610,8614,259,20,654710
2012-12,554,6801,256,21,510088
2013-01,618,7498,239,18,554918
2013-02,638,7873,215,26,574767
2013-03,663,7989,228,37,575237
2013-04,647,8456,182,22,600433
2013-05,656,7474,173,25,523217
2013-06,529,5713,207,16,394265
2013-07,502,4835,153,18,328783
2013-08,514,5463,130,22,366040
2013-09,541,5410,157,20,357064
2013-10,515,4596,110,26,298789
2013-11,506,3509,96,21,224593
2013-12,549,3736,96,23,235407
2014-01,600,3997,121,23,247816
2014-02,531,3892,104,13,237439
2014-03,689,4985,134,22,299159
2014-04,507,3146,114,15,185642
2014-05,459,2555,109,27,148229
2014-06,396,2024,70,54,115395
2014-07,400,2653,108,20,148611
2014-08,278,1475,63,29,81166
2014-09,284,1681,54,32,90780
2014-10,300,1865,61,26,98883
2014-11,313,1479,59,22,76917
2014-12,291,1555,84,20,79305
2015-01,353,1680,66,23,84039
2015-02,294,1225,49,15,60041
2015-03,327,1652,56,25,79341
2015-04,331,1993,70,20,93691
2015-05,337,1499,71,17,68996
2015-06,309,1270,83,19,57154
2015-07,261,1027,76,13,45223
2015-08,297,1078,69,21,46366
2015-09,206,925,31,28,38860
2015-10,167,679,38,24,27847
2015-11,165,609,26,20,24390
2015-12,214,868,41,50,33855
2016-01,178,626,22,38,23803
2016-02,122,514,30,29,19046
2016-03,189,966,45,33,34783
2016-04,175,620,46,14,21704
2016-05,154,510,44,28,17370
2016-06,110,517,28,26,17083
2016-07,120,432,32,36,13836
2016-08,123,475,29,18,14735
2016-09,109,507,36,21,15222
2016-10,118,602,39,26,17476
2016-11,120,471,45,21,13210
2016-12,84,367,27,14,9924
2017-01,107,564,42,6,14686
2017-02,113,486,42,5,12160
2017-03,122,498,68,5,11971
2017-04,89,376,22,7,8655
2017-05,99,408,31,6,8980
2017-06,96,513,33,10,10777
2017-07,99,517,20,16,10354
2017-08,69,367,18,13,6988
2017-09,55,253,12,4,4570
2017-10,57,373,20,14,6357
2017-11,56,253,17,11,4063
2017-12,44,216,9,6,3252
2018-01,48,229,8,15,3211
2018-02,32,198,4,7,2583
2018-03,68,445,10,3,5347
2018-04,39,202,10,11,2228
2018-05,32,174,4,7,1741
2018-06,28,174,5,4,1571
2018-07,34,267,9,2,2141
2018-08,31,328,9,2,2298
2018-09,21,179,7,1,1079
2018-10,37,359,13,7,1798
2018-11,14,163,0,4,654
2018-12,26,454,4,6,1363
2019-01,6,147,1,2,294
2019-02,25,1031,3,12,1031
