date,count,normalized viewcount,positive,negative,total viewcount
2008-08,0,0,0,0,0
2008-09,3,26,3,0,3373
2008-10,1,14,1,0,1826
2008-11,3,106,3,0,13164
2008-12,1,107,1,0,13162
2009-01,0,0,0,0,0
2009-02,1,15,1,0,1872
2009-03,6,117,4,0,14088
2009-04,2,26,1,0,3101
2009-05,1,12,1,0,1434
2009-06,2,20,2,0,2343
2009-07,2,16,2,0,1883
2009-08,1,19,1,0,2238
2009-09,3,8,2,0,979
2009-10,4,39,3,0,4494
2009-11,5,100,5,0,11239
2009-12,2,84,2,0,9371
2010-01,4,87,4,0,9618
2010-02,7,125,5,0,13656
2010-03,10,531,9,0,57452
2010-04,11,198,10,0,21206
2010-05,4,143,4,0,15212
2010-06,4,130,2,0,13705
2010-07,19,257,19,0,26753
2010-08,4,67,4,0,6906
2010-09,6,131,6,0,13384
2010-10,9,206,9,0,20807
2010-11,6,88,6,0,8858
2010-12,8,245,8,0,24287
2011-01,9,87,9,0,8615
2011-02,6,275,6,0,26707
2011-03,3,32,3,0,3096
2011-04,7,137,7,0,13094
2011-05,14,344,14,0,32367
2011-06,10,196,10,0,18233
2011-07,7,104,7,0,9591
2011-08,5,32,5,0,2996
2011-09,10,190,10,0,17132
2011-10,14,235,11,1,21003
2011-11,16,223,13,0,19630
2011-12,8,399,7,0,34786
2012-01,17,168,13,0,14492
2012-02,9,205,5,0,17436
2012-03,20,338,14,0,28438
2012-04,12,136,11,0,11362
2012-05,15,179,15,0,14683
2012-06,5,104,4,1,8451
2012-07,14,289,14,0,23176
2012-08,13,122,13,0,9664
2012-09,17,675,16,0,52686
2012-10,21,384,20,1,29629
2012-11,15,176,13,1,13400
2012-12,13,407,11,1,30582
2013-01,14,357,11,0,26419
2013-02,19,313,15,0,22885
2013-03,20,204,16,1,14757
2013-04,14,319,11,0,22693
2013-05,15,279,10,0,19575
2013-06,17,250,14,0,17291
2013-07,20,284,12,0,19321
2013-08,16,236,10,0,15876
2013-09,2,40,2,0,2660
2013-10,25,319,14,0,20773
2013-11,17,203,9,0,13054
2013-12,7,64,3,0,4068
2014-01,10,150,8,0,9361
2014-02,14,111,7,0,6811
2014-03,20,250,7,1,15023
2014-04,36,766,21,0,45235
2014-05,21,213,11,0,12410
2014-06,5,34,3,0,1973
2014-07,23,262,14,1,14680
2014-08,17,148,8,1,8155
2014-09,15,156,9,1,8439
2014-10,29,400,11,3,21241
2014-11,28,443,10,5,23070
2014-12,10,49,1,1,2519
2015-01,27,255,8,5,12753
2015-02,29,519,17,1,25455
2015-03,30,339,11,7,16304
2015-04,15,154,9,0,7259
2015-05,18,189,9,0,8714
2015-06,16,96,8,0,4334
2015-07,19,148,6,0,6513
2015-08,11,81,5,1,3484
2015-09,13,169,7,0,7098
2015-10,14,103,6,1,4237
2015-11,7,36,3,2,1470
2015-12,8,43,4,2,1715
2016-01,25,218,13,0,8301
2016-02,12,61,4,1,2265
2016-03,25,297,11,2,10694
2016-04,19,152,8,0,5345
2016-05,12,259,7,0,8814
2016-06,4,26,2,1,878
2016-07,6,192,4,0,6167
2016-08,9,73,8,0,2290
2016-09,11,92,8,2,2768
2016-10,18,157,8,0,4570
2016-11,20,238,10,2,6685
2016-12,19,207,13,1,5597
2017-01,16,118,6,0,3074
2017-02,15,193,5,1,4841
2017-03,20,207,12,0,4988
2017-04,16,178,11,0,4108
2017-05,8,92,5,0,2029
2017-06,11,75,7,1,1581
2017-07,7,113,3,0,2276
2017-08,6,62,2,1,1183
2017-09,11,209,7,1,3774
2017-10,19,284,12,1,4841
2017-11,28,258,14,1,4132
2017-12,11,84,5,0,1266
2018-01,19,222,13,1,3109
2018-02,10,163,8,0,2127
2018-03,11,96,6,0,1157
2018-04,21,186,8,1,2047
2018-05,22,283,8,1,2838
2018-06,19,243,6,2,2194
2018-07,15,183,6,0,1470
2018-08,18,247,8,0,1732
2018-09,12,257,8,0,1544
2018-10,19,325,9,2,1626
2018-11,12,185,7,1,741
2018-12,16,716,10,1,2149
2019-01,15,595,8,0,1190
2019-02,16,1134,7,1,1134
