date,count,normalized viewcount,positive,negative,total viewcount
2011-12,1,217,1,0,18896
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,1,105,1,0,8873
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,1,119,1,0,8710
2013-03,0,0,0,0,0
2013-04,2,32,1,0,2278
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,2,125,1,0,8285
2013-10,15,269,8,0,17518
2013-11,22,1035,7,0,66257
2013-12,19,375,10,0,23632
2014-01,30,1067,15,2,66171
2014-02,18,370,6,0,22623
2014-03,30,952,14,1,57164
2014-04,31,1099,8,0,64877
2014-05,24,528,9,0,30633
2014-06,22,628,6,1,35840
2014-07,26,471,9,0,26405
2014-08,24,575,10,0,31657
2014-09,22,583,8,1,31487
2014-10,20,436,5,0,23153
2014-11,21,364,6,0,18973
2014-12,16,523,10,0,26722
2015-01,21,397,8,0,19890
2015-02,18,162,5,1,7979
2015-03,16,230,6,1,11068
2015-04,12,343,6,0,16148
2015-05,9,96,6,0,4437
2015-06,20,672,6,0,30241
2015-07,16,323,6,2,14245
2015-08,15,263,7,1,11331
2015-09,10,123,5,0,5171
2015-10,8,132,2,2,5424
2015-11,10,112,1,0,4507
2015-12,12,156,4,1,6107
2016-01,18,322,6,1,12272
2016-02,24,526,11,0,19482
2016-03,18,295,4,1,10641
2016-04,20,260,7,3,9110
2016-05,14,263,4,0,8974
2016-06,13,168,2,1,5568
2016-07,18,391,8,0,12534
2016-08,20,591,3,1,18337
2016-09,18,462,4,0,13886
2016-10,13,242,2,0,7028
2016-11,11,180,5,0,5050
2016-12,13,274,2,1,7407
2017-01,12,580,2,1,15105
2017-02,15,232,4,2,5818
2017-03,22,669,7,4,16056
2017-04,24,579,8,1,13337
2017-05,23,563,4,2,12389
2017-06,27,542,3,1,11387
2017-07,16,526,4,2,10538
2017-08,18,289,3,1,5505
2017-09,22,465,2,1,8382
2017-10,21,575,3,1,9789
2017-11,21,327,5,0,5234
2017-12,16,430,4,1,6461
2018-01,17,566,3,0,7931
2018-02,36,1218,4,1,15837
2018-03,26,768,3,2,9221
2018-04,31,502,4,1,5532
2018-05,31,876,4,0,8765
2018-06,36,595,3,0,5361
2018-07,40,739,3,1,5913
2018-08,49,730,8,4,5116
2018-09,18,192,1,1,1152
2018-10,22,314,2,1,1571
2018-11,22,353,4,1,1415
2018-12,22,978,2,0,2935
2019-01,32,420,1,1,841
2019-02,31,704,2,3,704
