date,count,normalized viewcount,positive,negative,total viewcount,tiobe rating
2008-08,8,1392,8,0,176817,0
2008-09,27,4269,25,0,538017,0
2008-10,16,3237,14,0,404640,0
2008-11,17,4445,15,0,551262,0
2008-12,18,1054,17,0,129682,0
2009-01,22,2102,20,0,256513,0
2009-02,37,4000,32,0,484088,0
2009-03,23,1670,21,1,200493,0
2009-04,49,3232,44,0,384618,0
2009-05,47,2462,42,0,290535,0
2009-06,49,3977,47,1,465329,0
2009-07,32,2038,29,1,236409,0
2009-08,48,4245,42,0,488175,0
2009-09,63,5751,50,0,655677,0
2009-10,74,3716,66,0,419921,0
2009-11,83,10878,65,1,1218393,0
2009-12,62,6679,54,0,741417,0
2010-01,101,4017,85,1,441931,0
2010-02,69,5019,59,1,547172,0
2010-03,122,7422,113,0,801580,0
2010-04,124,8057,106,5,862124,0
2010-05,109,6178,98,1,654942,0
2010-06,91,3407,75,1,357826,0
2010-07,98,4961,88,1,516010,0
2010-08,85,2913,74,1,300091,0
2010-09,117,4795,97,1,489120,0
2010-10,123,5188,97,2,524084,0
2010-11,164,5523,123,3,552326,0
2010-12,123,6797,87,6,672911,0.663
2011-01,134,7817,90,2,766150,0.864
2011-02,146,6478,114,2,628426,1.269
2011-03,193,6712,130,2,644363,1.345
2011-04,158,4394,104,3,417432,0.967
2011-05,158,5453,126,1,512665,1.042
2011-06,140,7391,106,1,687422,0.673
2011-07,141,6405,119,4,589264,0.618
2011-08,158,6991,136,5,636255,0.599
2011-09,155,5187,107,5,466917,0.590
2011-10,212,10420,151,7,927399,0.622
2011-11,211,9491,153,4,835279,0.529
2011-12,228,9721,161,6,845811,0.563
2012-01,169,5658,121,10,486635,0.545
2012-02,233,12287,167,11,1044434,0.520
2012-03,261,9534,168,13,800864,0.428
2012-04,276,12822,186,16,1064297,0.470
2012-05,229,7241,158,14,593824,0.517
2012-06,204,8984,153,12,727779,0.538
2012-07,201,5551,130,11,444129,0.548
2012-08,189,7072,127,5,558701,0.502
2012-09,225,6801,147,12,530499,0.530
2012-10,313,11034,185,22,849622,0.568
2012-11,304,10251,199,9,779130,0.585
2012-12,265,8370,170,9,627758,0.580
2013-01,302,10874,185,20,804721,0.629
2013-02,322,12119,182,16,884721,0.640
2013-03,367,13595,222,16,978892,0.633
2013-04,334,10952,189,22,777628,0.710
2013-05,301,6543,154,23,458053,0.638
2013-06,302,7452,165,13,514226,0.500
2013-07,300,9283,154,20,631295,0.581
2013-08,214,5047,109,18,338209,0.616
2013-09,295,9553,170,17,630542,0.480
2013-10,381,14049,176,33,913241,0.471
2013-11,420,13230,220,42,846735,0.532
2013-12,357,9927,198,33,625456,0.583
2014-01,338,7796,178,27,483406,0.491
2014-02,376,9791,171,23,597289,0.402
2014-03,455,8206,202,46,492403,0.732
2014-04,364,7603,140,48,448601,0.853
2014-05,336,7211,161,40,418246,0.773
2014-06,272,7129,113,42,406358,0.771
2014-07,216,5408,105,23,302900,0.777
2014-08,183,7136,102,13,392533,0.654
2014-09,287,7981,138,33,431003,0.582
2014-10,391,7946,164,48,421188,0.411
2014-11,389,7804,154,39,405839,0.599
2014-12,328,6790,153,46,346309,0.523
2015-01,331,5741,165,25,287060,1.171
2015-02,361,7742,170,29,379374,0.751
2015-03,390,7617,159,42,365642,0.620
2015-04,443,9726,195,63,457145,0.656
2015-05,373,7149,163,45,328875,0.761
2015-06,268,3791,123,26,170630,0.754
2015-07,261,5296,134,30,233051,1.535
2015-08,216,3758,106,19,161597,1.760
2015-09,260,5964,115,25,250502,1.806
2015-10,433,8071,204,38,330915,1.573
2015-11,401,7769,194,40,310773,1.883
2015-12,354,6463,195,52,252091,1.926
2016-01,249,4510,118,22,171400,2.095
2016-02,349,5165,160,40,191133,1.828
2016-03,439,8593,187,48,309375,1.847
2016-04,412,7128,163,45,249482,2.193
2016-05,326,6503,151,41,221109,1.883
2016-06,289,5630,159,41,185792,2.119
2016-07,198,3941,104,25,126135,2.281
2016-08,256,4284,106,24,132821,2.364
2016-09,335,6346,163,38,190380,2.417
2016-10,395,7436,159,45,215649,2.232
2016-11,417,14142,206,30,395989,2.441
2016-12,318,6718,134,60,181407,2.539
2017-01,307,6721,124,63,174771,2.701
2017-02,302,5336,135,26,133407,2.107
2017-03,373,7243,162,36,173836,2.232
2017-04,324,6421,145,37,147693,2.168
2017-05,350,7057,161,43,155261,2.859
2017-06,243,4614,130,36,96914,2.252
2017-07,224,4588,124,21,91760,2.240
2017-08,218,4375,119,21,83138,1.805
2017-09,228,3881,110,27,69863,1.639
2017-10,335,7803,126,37,132663,2.374
2017-11,392,7944,146,50,127109,1.722
2017-12,249,4632,106,31,69485,1.471
2018-01,252,9020,116,37,126280,2.056
2018-02,282,4629,120,32,60181,1.833
2018-03,331,5240,158,31,62880,1.707
2018-04,341,4308,120,21,47390,1.655
2018-05,322,4122,124,25,41224,0.998
2018-06,215,3613,105,15,32524,0.915
2018-07,193,3113,88,16,24906,1.154
2018-08,185,3377,98,7,23644,1.409
2018-09,272,4601,120,19,27607,1.232
2018-10,355,5839,111,37,29198,1.245
2018-11,336,5481,102,17,21927,1.108
2018-12,258,4939,87,34,14819,1.371
2019-01,248,8769,109,22,17538,1.196
2019-02,281,14502,94,56,14502,1.377
