date,count,normalized viewcount,positive,negative,total viewcount
2008-08,2,532,2,0,67686
2008-09,3,257,3,0,32462
2008-10,3,215,3,0,26979
2008-11,10,944,9,0,117176
2008-12,5,661,5,0,81323
2009-01,6,1040,6,0,126976
2009-02,11,237,5,0,28754
2009-03,19,744,12,0,89311
2009-04,14,289,9,1,34396
2009-05,10,188,9,0,22275
2009-06,14,722,11,0,84588
2009-07,10,938,10,0,108911
2009-08,17,2241,12,0,257750
2009-09,19,1672,17,0,190674
2009-10,42,9200,31,1,1039624
2009-11,12,1030,9,0,115465
2009-12,20,2169,18,0,240774
2010-01,41,5172,25,1,568998
2010-02,30,2686,25,0,292818
2010-03,28,1521,26,0,164318
2010-04,46,9328,36,0,998154
2010-05,17,596,15,0,63226
2010-06,36,7800,25,0,819104
2010-07,35,2469,29,0,256837
2010-08,50,5288,46,0,544748
2010-09,50,1727,44,0,176244
2010-10,37,950,31,1,95999
2010-11,45,5845,37,0,584568
2010-12,54,2450,43,0,242637
2011-01,46,3162,36,1,309930
2011-02,42,3068,32,0,297630
2011-03,76,7673,50,1,736654
2011-04,59,7368,36,2,699973
2011-05,62,8856,47,5,832523
2011-06,91,9773,68,3,908943
2011-07,44,1428,30,1,131410
2011-08,53,2455,42,3,223405
2011-09,70,7100,41,3,639058
2011-10,79,5234,55,2,465864
2011-11,93,8571,70,3,754296
2011-12,101,4652,71,8,404736
2012-01,112,6730,88,3,578827
2012-02,84,4393,66,1,373406
2012-03,115,10101,87,2,848561
2012-04,134,7940,91,4,659068
2012-05,124,6361,90,6,521655
2012-06,148,6544,99,8,530067
2012-07,184,10858,129,9,868698
2012-08,140,9599,95,12,758330
2012-09,161,7039,106,11,549072
2012-10,208,11744,130,8,904311
2012-11,140,10189,105,6,774427
2012-12,165,7765,116,11,582443
2013-01,209,13518,127,16,1000356
2013-02,218,14453,118,15,1055089
2013-03,263,11920,155,17,858253
2013-04,257,17197,136,14,1221050
2013-05,242,10035,138,17,702499
2013-06,260,10772,176,15,743310
2013-07,269,9461,145,21,643400
2013-08,253,10527,133,21,705328
2013-09,249,15036,145,12,992430
2013-10,299,9267,142,18,602383
2013-11,277,7940,139,16,508176
2013-12,277,8917,177,19,561819
2014-01,295,7991,163,21,495453
2014-02,327,5773,173,21,352201
2014-03,347,9578,189,17,574723
2014-04,315,4784,146,36,282272
2014-05,322,4104,148,32,238054
2014-06,290,4901,119,37,279399
2014-07,347,6046,142,35,338599
2014-08,260,4079,121,29,224372
2014-09,276,2959,112,36,159792
2014-10,312,2807,127,43,148810
2014-11,329,8486,135,32,441317
2014-12,265,2828,125,47,144265
2015-01,247,2593,94,31,129688
2015-02,331,3780,138,38,185243
2015-03,347,4804,120,33,230624
2015-04,331,3736,147,30,175603
2015-05,297,2998,148,21,137922
2015-06,325,4232,164,41,190467
2015-07,311,2411,157,38,106114
2015-08,244,3049,101,34,131114
2015-09,256,3276,85,52,137597
2015-10,282,2413,107,50,98973
2015-11,253,1532,103,42,61281
2015-12,245,1791,101,40,69849
2016-01,258,2536,108,37,96386
2016-02,289,1701,120,32,62967
2016-03,380,3572,150,50,128610
2016-04,290,1916,135,34,67061
2016-05,323,3139,137,44,106756
2016-06,265,1930,115,39,63714
2016-07,274,1828,114,49,58512
2016-08,290,3735,105,43,115789
2016-09,291,4288,118,53,128662
2016-10,269,2538,99,35,73607
2016-11,302,2573,113,47,72071
2016-12,253,2450,97,40,66176
2017-01,221,2340,111,34,60850
2017-02,334,3196,139,47,79918
2017-03,346,2864,138,65,68759
2017-04,325,2977,125,48,68487
2017-05,320,3013,106,64,66299
2017-06,293,4367,101,61,91722
2017-07,244,2457,104,37,49150
2017-08,289,3418,110,52,64951
2017-09,268,2137,104,59,38482
2017-10,304,3162,149,39,53761
2017-11,258,2591,107,49,41463
2017-12,199,1852,81,34,27788
2018-01,261,3626,135,36,50766
2018-02,292,2713,181,20,35271
2018-03,283,2834,171,28,34010
2018-04,263,2214,131,36,24356
2018-05,288,2891,138,38,28919
2018-06,223,2194,100,44,19754
2018-07,161,1746,56,34,13974
2018-08,226,2396,89,37,16777
2018-09,194,2237,75,44,13426
2018-10,247,2829,90,49,14146
2018-11,236,3074,85,46,12296
2018-12,190,3553,70,40,10661
2019-01,216,6400,81,38,12801
2019-02,239,12299,80,45,12299
