date,count,normalized viewcount,positive,negative,total viewcount
2008-08,22,9085,22,0,1153821
2008-09,63,42287,63,0,5328166
2008-10,57,68568,55,0,8571062
2008-11,39,14624,35,1,1813485
2008-12,42,25915,41,0,3187625
2009-01,60,29103,55,0,3550586
2009-02,78,25079,69,0,3034562
2009-03,99,57100,84,0,6852060
2009-04,66,29913,61,0,3559698
2009-05,99,53116,92,0,6267745
2009-06,109,33961,90,3,3973476
2009-07,111,20714,92,1,2402860
2009-08,113,33672,100,0,3872378
2009-09,117,46186,93,0,5265218
2009-10,153,36941,125,0,4174436
2009-11,127,26457,112,0,2963254
2009-12,120,34580,98,0,3838450
2010-01,160,33224,142,0,3654726
2010-02,152,49798,132,2,5428056
2010-03,222,57871,187,2,6250137
2010-04,207,45446,179,1,4862722
2010-05,183,32333,158,1,3427309
2010-06,196,53748,151,1,5643598
2010-07,195,45101,161,0,4690583
2010-08,230,39867,187,2,4106376
2010-09,271,48370,216,2,4933825
2010-10,254,34470,202,2,3481564
2010-11,308,84255,246,3,8425508
2010-12,295,57628,241,2,5705222
2011-01,317,77079,243,5,7553749
2011-02,304,45590,240,1,4422315
2011-03,375,44709,290,3,4292113
2011-04,381,47003,284,6,4465350
2011-05,406,60175,330,7,5656456
2011-06,391,85109,319,9,7915195
2011-07,404,45645,330,4,4199380
2011-08,456,62310,352,7,5670252
2011-09,403,49843,296,6,4485957
2011-10,454,34199,328,10,3043790
2011-11,518,46539,389,4,4095457
2011-12,559,78889,424,13,6863426
2012-01,603,94413,450,13,8119532
2012-02,601,82415,451,7,7005287
2012-03,691,82122,509,16,6898253
2012-04,649,51475,470,13,4272437
2012-05,681,77081,498,19,6320681
2012-06,657,93910,461,24,7606740
2012-07,671,64921,461,23,5193689
2012-08,712,46228,480,29,3652071
2012-09,720,68035,471,22,5306793
2012-10,798,61752,514,28,4754904
2012-11,807,95589,563,25,7264782
2012-12,686,66302,473,24,4972689
2013-01,848,65766,557,29,4866725
2013-02,913,75665,565,32,5523593
2013-03,1050,70703,645,50,5090621
2013-04,939,66342,552,39,4710295
2013-05,994,97213,605,44,6804911
2013-06,909,91835,585,30,6336659
2013-07,1022,58994,630,40,4011604
2013-08,1091,98094,649,49,6572349
2013-09,1055,99826,632,41,6588565
2013-10,1197,79807,676,62,5187471
2013-11,1337,70312,751,57,4500001
2013-12,1159,86585,644,56,5454875
2014-01,1331,59815,671,70,3708550
2014-02,1414,55562,761,59,3389332
2014-03,1433,46621,810,77,2797261
2014-04,1330,34105,710,71,2012220
2014-05,1230,38923,593,103,2257567
2014-06,1192,37608,561,96,2143694
2014-07,1248,36248,593,86,2029893
2014-08,1160,39131,574,115,2152257
2014-09,1237,29576,556,92,1597127
2014-10,1290,52634,620,117,2789635
2014-11,1276,30614,609,123,1591978
2014-12,1050,33107,601,105,1688479
2015-01,1233,33749,577,112,1687482
2015-02,1312,26669,589,118,1306798
2015-03,1458,35361,626,113,1697342
2015-04,1410,32971,669,125,1549671
2015-05,1261,36253,770,101,1667675
2015-06,1381,26790,694,123,1205579
2015-07,1287,25644,659,131,1128370
2015-08,1185,24543,531,100,1055363
2015-09,1136,30420,527,146,1277677
2015-10,1322,25031,614,145,1026300
2015-11,1259,21375,569,123,855014
2015-12,1188,21252,582,125,828835
2016-01,1253,25747,584,134,978392
2016-02,1404,22490,618,112,832159
2016-03,1435,29234,618,137,1052440
2016-04,1547,32022,710,177,1120786
2016-05,1422,31475,718,117,1070153
2016-06,1341,29682,620,118,979520
2016-07,1302,26929,597,125,861750
2016-08,1410,35449,621,135,1098926
2016-09,1288,31046,538,107,931408
2016-10,1279,27296,522,119,791610
2016-11,1288,28518,521,171,798522
2016-12,1175,23903,524,115,645405
2017-01,1229,24739,563,135,643234
2017-02,1303,33112,560,118,827813
2017-03,1596,33675,635,142,808200
2017-04,1430,32909,554,125,756920
2017-05,1444,24309,547,153,534814
2017-06,1415,37167,541,174,780516
2017-07,1337,26846,550,138,536937
2017-08,1313,25591,519,132,486230
2017-09,1197,22510,474,125,405192
2017-10,1433,26563,577,132,451579
2017-11,1304,22661,503,149,362583
2017-12,1108,17631,457,142,264470
2018-01,1265,22618,534,150,316663
2018-02,1197,18654,527,110,242512
2018-03,1293,16323,627,137,195882
2018-04,1212,16926,453,117,186195
2018-05,1156,14847,405,120,148474
2018-06,1105,17165,352,111,154493
2018-07,1102,17309,329,133,138479
2018-08,1092,14123,370,118,98863
2018-09,1127,14373,339,147,86240
2018-10,1194,17065,340,185,85328
2018-11,1150,17064,308,198,68259
2018-12,945,16408,284,144,49225
2019-01,1120,26218,303,140,52436
2019-02,1199,45369,343,207,45369
