date,count,normalized viewcount,positive,negative,total viewcount
2008-08,509,167646,499,0,21291067
2008-09,1646,385875,1525,7,48620308
2008-10,1988,392789,1828,7,49098738
2008-11,1731,261024,1549,8,32367016
2008-12,1596,224053,1423,10,27558588
2009-01,2375,310629,1978,12,37896855
2009-02,2597,306776,2128,24,37119937
2009-03,3162,333701,2563,24,40044124
2009-04,3322,322392,2598,28,38364742
2009-05,3558,345535,2791,21,40773206
2009-06,3887,380289,2962,28,44493834
2009-07,4409,424074,3367,34,49192601
2009-08,4458,365142,3420,27,41991369
2009-09,4356,295992,3245,38,33743165
2009-10,4727,303723,3377,65,34320721
2009-11,4680,271119,3277,63,30365436
2009-12,4497,250119,3110,69,27763229
2010-01,5119,335393,4064,41,36893320
2010-02,5110,304088,4208,44,33145610
2010-03,6042,362576,4893,39,39158307
2010-04,5786,327105,4386,56,35000276
2010-05,5951,322842,4404,60,34221290
2010-06,6162,350867,4584,81,36841089
2010-07,6693,335032,4929,79,34843414
2010-08,6972,361717,5144,70,37256948
2010-09,6412,335776,4629,76,34249166
2010-10,6751,369558,4940,91,37325446
2010-11,7327,407013,5271,86,40701389
2010-12,7118,369681,5018,93,36598474
2011-01,8021,503420,5719,93,49335183
2011-02,8262,520855,5959,104,50522954
2011-03,10039,594325,6914,108,57055229
2011-04,9331,497026,6363,116,47217517
2011-05,10083,544190,7207,198,51153909
2011-06,9830,543695,6907,274,50563698
2011-07,9662,444981,6521,269,40938303
2011-08,10116,462809,6778,284,42115642
2011-09,9349,455562,6222,273,41000594
2011-10,9260,409437,6240,238,36439951
2011-11,9952,452065,6677,318,39781801
2011-12,9364,380376,6063,368,33092752
2012-01,10515,514543,6956,389,44250721
2012-02,10849,525569,6820,415,44673410
2012-03,11714,565493,7101,458,47501479
2012-04,11220,538623,6977,388,44705764
2012-05,11671,542676,7065,443,44499480
2012-06,11396,521057,6884,460,42205630
2012-07,12408,534765,7152,568,42781277
2012-08,12009,523681,7150,535,41370875
2012-09,11315,494344,6719,522,38558909
2012-10,12771,542924,7808,589,41805181
2012-11,12276,492831,7533,585,37455209
2012-12,10994,431892,6707,641,32391944
2013-01,12856,547061,7436,699,40482578
2013-02,12662,515071,7172,697,37600216
2013-03,14374,652750,8187,856,46998056
2013-04,14015,636818,7759,859,45214119
2013-05,13587,520312,7146,786,36421860
2013-06,12885,495539,6786,818,34192249
2013-07,14297,572214,7464,861,38910565
2013-08,13925,592067,7649,859,39668545
2013-09,13847,565608,7015,835,37330167
2013-10,15279,625908,7505,810,40684039
2013-11,14683,516767,7225,713,33073094
2013-12,13704,452662,6692,788,28517754
2014-01,15431,494622,7463,869,30666622
2014-02,15205,441613,7046,838,26938395
2014-03,16315,441007,7246,970,26460465
2014-04,15439,393176,6652,961,23197392
2014-05,14031,331297,6084,1122,19215246
2014-06,12630,314450,5313,1051,17923675
2014-07,13808,316660,5970,1182,17732985
2014-08,12598,304830,5576,1070,16765663
2014-09,12438,283901,5312,1005,15330703
2014-10,12669,304505,5240,1064,16138768
2014-11,11965,261966,4679,1124,13622264
2014-12,11205,229119,4928,1038,11685091
2015-01,11857,274503,5028,1179,13725184
2015-02,11873,278997,4904,1111,13670897
2015-03,13353,284415,5309,1319,13651921
2015-04,13193,282823,5799,1213,13292690
2015-05,13468,302174,6354,1155,13900016
2015-06,13646,278315,6598,1201,12524185
2015-07,14223,315855,6814,1139,13897661
2015-08,13321,304722,6666,1241,13103049
2015-09,12990,274831,6024,1201,11542935
2015-10,12871,267892,5642,1238,10983609
2015-11,12466,236050,5683,1110,9442028
2015-12,12235,237943,5998,975,9279782
2016-01,12432,245962,5792,1115,9346582
2016-02,12827,261363,5860,1118,9670443
2016-03,13708,287187,5909,1149,10338767
2016-04,13827,277360,6218,1136,9707612
2016-05,13590,271366,5905,1195,9226458
2016-06,13161,280209,5496,1252,9246928
2016-07,12093,292295,5005,1274,9353443
2016-08,12810,286456,5255,1282,8880160
2016-09,11194,221842,4434,1131,6655283
2016-10,11542,227111,4664,1161,6586241
2016-11,11738,240881,4696,1263,6744694
2016-12,10777,228699,4345,1151,6174876
2017-01,11792,260958,4876,1123,6784908
2017-02,11604,258679,4773,1150,6466975
2017-03,13090,293976,5309,1383,7055432
2017-04,11184,255820,4321,1184,5883865
2017-05,12104,250141,4265,1390,5503112
2017-06,11407,232565,4199,1215,4883867
2017-07,11311,237247,4068,1272,4744943
2017-08,11069,228453,4064,1379,4340609
2017-09,9981,215773,3640,1211,3883917
2017-10,10325,210439,3806,1222,3577476
2017-11,9914,186919,3417,1228,2990709
2017-12,8712,163197,3185,1160,2447955
2018-01,9500,191346,3328,1217,2678851
2018-02,8751,173144,3126,1080,2250874
2018-03,10869,189831,3522,1218,2277977
2018-04,10286,170634,3373,1073,1876980
2018-05,11076,186124,3628,1010,1861245
2018-06,9849,179017,3062,1089,1611154
2018-07,10479,186907,3401,1095,1495258
2018-08,10576,180345,3455,1069,1262418
2018-09,9403,156229,2849,951,937379
2018-10,10476,168474,3057,1053,842373
2018-11,9586,168369,2598,925,673477
2018-12,8509,178757,2420,939,536272
2019-01,9940,252566,2620,1141,505133
2019-02,10545,428991,2388,1705,428991
