date,count,normalized viewcount,positive,negative,total viewcount,tiobe rating
2008-08,164,59493,160,0,7555665,10.057
2008-09,760,220202,724,3,27745483,10.716
2008-10,814,167640,760,4,20955089,10.954
2008-11,737,114320,669,3,14175774,10.357
2008-12,633,109272,566,7,13440545,10.096
2009-01,854,104867,746,7,12793775,10.116
2009-02,847,96051,729,6,11622221,9.633
2009-03,1058,122859,902,8,14743115,10.357
2009-04,1023,91667,872,7,10908467,10.741
2009-05,1220,124344,999,8,14672652,11.068
2009-06,1255,133696,1058,11,15642450,10.594
2009-07,1468,119030,1200,9,13807588,10.419
2009-08,1406,88606,1129,20,10189704,10.501
2009-09,1467,107298,1170,23,12231999,9.988
2009-10,1689,118816,1338,23,13426288,9.879
2009-11,1758,104980,1358,28,11757858,10.002
2009-12,1659,105716,1312,21,11734479,9.175
2010-01,2004,127115,1696,13,13982678,9.709
2010-02,2278,161841,1920,23,17640756,9.447
2010-03,2440,159653,2081,33,17242558,9.610
2010-04,2494,148127,2047,26,15849616,9.707
2010-05,2420,135237,1933,28,14335159,10.378
2010-06,2828,143380,2201,43,15054942,10.378
2010-07,2689,125143,2090,47,13014956,10.469
2010-08,2643,134186,2120,42,13821252,10.469
2010-09,2745,124658,2094,46,12715154,9.812
2010-10,2936,144910,2218,45,14635964,9.802
2010-11,3374,184984,2575,49,18498481,9.497
2010-12,3144,158763,2447,44,15717599,9.014
2011-01,3511,214295,2693,37,21000978,8.783
2011-02,3457,194846,2548,48,18900114,8.187
2011-03,4194,209847,3030,75,20145358,8.754
2011-04,4183,219291,3042,61,20832701,9.225
2011-05,3900,172222,2904,97,16188896,9.146
2011-06,3830,175148,2937,99,16288828,9.830
2011-07,3858,159420,2914,108,14666675,9.017
2011-08,3965,165528,2925,119,15063049,8.433
2011-09,3958,167634,2844,129,15087105,8.849
2011-10,4368,197319,3042,161,17561452,9.072
2011-11,4506,178596,3184,212,15716513,8.084
2011-12,4377,181871,3003,174,15822851,8.252
2012-01,4569,210500,3262,166,18103034,8.052
