date,count,viewcount,positive,negative
2008-08,85,5030803,84,0
2008-09,322,14254021,310,3
2008-10,303,12657794,288,1
2008-11,258,5945400,244,1
2008-12,185,4939096,162,7
2009-01,321,5393871,294,2
2009-02,333,6619970,307,2
2009-03,431,7670479,391,4
2009-04,459,5040982,392,8
2009-05,479,8159842,404,3
2009-06,506,7446866,445,3
2009-07,542,8089520,456,5
2009-08,533,6030534,459,5
2009-09,572,7410832,485,6
2009-10,772,8984559,638,10
2009-11,968,11987438,774,19
2009-12,851,8019761,654,16
2010-01,983,9320820,833,10
2010-02,1035,11308436,885,17
2010-03,1120,10744507,916,24
2010-04,1185,10963050,978,23
2010-05,1180,8085038,960,22
2010-06,1160,7435561,914,18
2010-07,1288,8485858,1022,22
2010-08,1371,10119229,1100,37
2010-09,1388,8413471,1086,38
2010-10,1445,9141941,1135,30
2010-11,1676,11811349,1259,44
2010-12,1470,7169435,1098,31
2011-01,1463,9203049,1089,34
2011-02,1643,12415873,1199,45
2011-03,2109,12825436,1456,38
2011-04,2045,9549055,1410,52
2011-05,1828,9448002,1376,45
2011-06,1771,8639007,1315,74
2011-07,1660,6894340,1247,63
2011-08,1828,9815497,1340,71
2011-09,1920,7621831,1357,79
2011-10,2143,10181861,1464,95
2011-11,2205,10643454,1563,102
2011-12,2012,9979734,1446,88
2012-01,2235,10560691,1580,115
2012-02,2419,11525027,1660,132
2012-03,2745,12922363,1705,149
2012-04,2674,10824412,1750,162
2012-05,2491,8869792,1664,137
2012-06,2324,6874393,1545,121
2012-07,2389,9508598,1560,135
2012-08,2330,7988463,1478,151
2012-09,2538,7753885,1554,157
2012-10,3157,11338554,1935,216
2012-11,3197,10540060,2126,220
2012-12,2582,8298666,1586,232
2013-01,2916,8759831,1788,259
2013-02,3118,10325664,1724,300
2013-03,3467,10144662,1949,348
2013-04,3566,9356403,2014,363
2013-05,3221,8135773,1771,315
2013-06,2967,9059338,1630,302
2013-07,3030,7461863,1665,319
2013-08,3022,7867819,1744,335
2013-09,3412,8427456,1851,313
2013-10,4257,9717204,2128,403
2013-11,4302,7920156,2006,380
2013-12,3520,6166498,1756,410
2014-01,3758,6527342,1860,417
2014-02,3995,5236050,1786,413
2014-03,4599,5953669,1966,457
2014-04,4039,4610554,1731,433
2014-05,3293,3659240,1404,514
2014-06,2790,3274769,1329,406
2014-07,2861,3127464,1325,447
2014-08,2695,2829574,1251,462
2014-09,3259,3551773,1361,630
2014-10,3832,3921767,1520,763
2014-11,3702,3354514,1411,716
2014-12,3179,3338743,1424,568
2015-01,3232,2751256,1324,586
2015-02,3391,2815480,1346,567
2015-03,3933,2847370,1574,662
2015-04,3972,3307650,1805,609
2015-05,3537,2908895,1734,543
2015-06,3181,2505107,1609,512
2015-07,2830,2153189,1379,514
2015-08,2592,1960425,1284,498
2015-09,3106,2581952,1322,701
2015-10,3701,2269261,1432,787
2015-11,3637,1918999,1489,705
2015-12,3107,1962435,1385,603
2016-01,3067,1992940,1388,673
2016-02,3292,1799322,1340,878
2016-03,3475,1678148,1330,824
2016-04,3376,1680182,1349,733
2016-05,2739,1536409,1165,615
2016-06,2318,984239,1003,495
2016-07,2362,1106184,1043,507
2016-08,2231,1121145,1027,455
2016-09,2530,983136,1074,518
2016-10,3238,1348285,1223,665
2016-11,3287,1247284,1172,664
2016-12,2817,1065590,1142,564
2017-01,2777,1407423,1081,552
2017-02,2747,1096837,1086,547
2017-03,2988,1039412,1010,625
2017-04,2881,901464,884,604
2017-05,2757,819197,936,589
2017-06,2380,787558,891,562
2017-07,2066,575645,795,534
2017-08,2063,676356,883,372
2017-09,2120,580425,774,545
2017-10,2816,686218,943,650
2017-11,2982,603531,1000,670
2017-12,2224,438260,791,525
2018-01,2249,430760,798,525
2018-02,2174,426941,828,427
2018-03,2577,398330,894,471
2018-04,2309,299027,758,487
2018-05,2493,312645,970,375
2018-06,1927,260931,664,399
2018-07,1678,220810,579,370
2018-08,1776,203040,633,379
2018-09,1949,234084,627,428
2018-10,2609,215645,909,522
2018-11,2686,207619,875,546
2018-12,2378,147939,698,528
2019-01,2468,155644,856,411
2019-02,2437,138184,833,529
