date,count,viewcount,positive,negative
2008-08,0,0,0,0
2008-09,3,11076,3,0
2008-10,7,207458,7,0
2008-11,8,101664,8,0
2008-12,6,41966,6,0
2009-01,7,54363,7,0
2009-02,9,45876,9,0
2009-03,11,86948,11,0
2009-04,5,19460,5,0
2009-05,5,47032,5,0
2009-06,25,118531,24,0
2009-07,55,254482,55,0
2009-08,29,280037,29,0
2009-09,29,91274,29,0
2009-10,59,271841,57,0
2009-11,46,211403,45,0
2009-12,38,86202,36,0
2010-01,37,171598,37,0
2010-02,40,204521,40,0
2010-03,40,163873,39,0
2010-04,45,277439,44,0
2010-05,67,203105,65,0
2010-06,77,208867,77,0
2010-07,95,318583,94,0
2010-08,100,284004,99,0
2010-09,90,240923,86,1
2010-10,78,186989,76,0
2010-11,85,267615,79,0
2010-12,93,195572,89,1
2011-01,105,341710,103,0
2011-02,94,310806,90,0
2011-03,101,250673,96,1
2011-04,110,308367,103,2
2011-05,76,161914,70,0
2011-06,71,139436,71,0
2011-07,96,211242,92,0
2011-08,99,176531,98,1
2011-09,82,146757,80,0
2011-10,173,399696,151,1
2011-11,107,211875,104,0
2011-12,136,283424,127,1
2012-01,133,203325,124,0
2012-02,151,275452,143,0
2012-03,140,204039,133,0
2012-04,186,245281,168,1
2012-05,169,218876,165,0
2012-06,210,261419,201,1
2012-07,167,262264,159,0
2012-08,182,295737,172,0
2012-09,164,188568,156,2
2012-10,148,148290,135,0
2012-11,113,129777,105,1
2012-12,113,100720,102,1
2013-01,163,155870,147,2
2013-02,189,189993,169,0
2013-03,239,218218,199,1
2013-04,220,183740,191,0
2013-05,189,179257,173,2
2013-06,167,149227,164,0
2013-07,174,157721,152,1
2013-08,167,153212,145,0
2013-09,186,178422,143,3
2013-10,192,177036,137,2
2013-11,173,118910,121,0
2013-12,198,165764,159,2
2014-01,217,175810,169,1
2014-02,207,158410,166,1
2014-03,188,136733,155,1
2014-04,236,115313,185,1
2014-05,176,94776,127,1
2014-06,145,65458,105,4
2014-07,167,163357,131,3
2014-08,166,102013,135,0
2014-09,206,105254,141,5
2014-10,222,151522,170,4
2014-11,171,101423,110,4
2014-12,165,66094,109,4
2015-01,177,75770,127,1
2015-02,174,92531,138,1
2015-03,188,63517,123,5
2015-04,172,54789,120,5
2015-05,160,62477,120,2
2015-06,147,44682,105,0
2015-07,168,73410,133,5
2015-08,215,96405,149,1
2015-09,175,72696,124,3
2015-10,145,51088,118,1
2015-11,164,50862,120,6
2015-12,133,33618,102,3
2016-01,210,69556,161,6
2016-02,244,85156,159,12
2016-03,176,52042,127,4
2016-04,186,51924,147,5
2016-05,195,87439,153,2
2016-06,142,49183,112,1
2016-07,148,41062,86,3
2016-08,156,38362,102,3
2016-09,152,35140,94,4
2016-10,140,29679,94,2
2016-11,146,33251,90,6
2016-12,137,26622,90,3
2017-01,139,34100,96,4
2017-02,119,29794,75,5
2017-03,141,27372,84,6
2017-04,128,29462,81,3
2017-05,128,22313,90,4
2017-06,109,19172,71,0
2017-07,104,17389,72,1
2017-08,93,15114,72,1
2017-09,79,15502,70,0
2017-10,102,17128,60,3
2017-11,99,16305,59,5
2017-12,91,14243,69,1
2018-01,101,20497,58,1
2018-02,94,18993,52,2
2018-03,108,19968,54,6
2018-04,82,14595,46,0
2018-05,94,10067,50,4
2018-06,59,7001,35,1
2018-07,57,5777,34,1
2018-08,68,6093,37,0
2018-09,88,7795,58,1
2018-10,81,6119,52,3
2018-11,84,6414,46,0
2018-12,76,5361,31,7
2019-01,71,5200,38,2
2019-02,62,4572,37,2
