date,count,normalized viewcount,positive,negative,total viewcount
2008-08,0,0,0,0,0
2008-09,5,319,4,0,40286
2008-10,3,87,2,0,10955
2008-11,1,112,1,0,13985
2008-12,2,46,2,0,5776
2009-01,0,0,0,0,0
2009-02,5,145,5,0,17609
2009-03,10,147,10,0,17735
2009-04,10,624,9,0,74313
2009-05,5,101,5,0,11971
2009-06,6,175,5,0,20504
2009-07,1,18,1,0,2111
2009-08,4,64,4,0,7379
2009-09,6,115,6,0,13195
2009-10,3,48,3,0,5427
2009-11,6,437,6,0,48956
2009-12,4,37,2,0,4131
2010-01,9,875,9,0,96304
2010-02,7,218,4,0,23809
2010-03,6,807,5,0,87200
2010-04,5,206,5,0,22042
2010-05,1,13,1,0,1440
2010-06,3,476,3,0,50000
2010-07,10,1126,8,0,117203
2010-08,4,155,4,0,16055
2010-09,5,266,3,0,27136
2010-10,3,104,3,0,10560
2010-11,5,799,2,0,79934
2010-12,11,702,7,1,69588
2011-01,9,196,2,0,19257
2011-02,12,412,10,0,40012
2011-03,7,408,4,0,39220
2011-04,7,227,5,0,21606
2011-05,8,269,4,1,25342
2011-06,11,307,7,1,28612
2011-07,4,387,2,0,35674
2011-08,4,104,2,0,9538
2011-09,11,1113,6,0,100194
2011-10,7,215,3,0,19189
2011-11,10,876,6,0,77172
2011-12,8,408,6,0,35538
2012-01,7,168,4,1,14483
2012-02,11,183,6,1,15624
2012-03,5,61,5,0,5177
2012-04,17,817,10,1,67866
2012-05,5,67,5,0,5543
2012-06,3,51,2,0,4202
2012-07,12,1366,6,0,109301
2012-08,7,175,1,0,13842
2012-09,7,326,5,0,25497
2012-10,8,127,5,1,9853
2012-11,10,321,7,0,24452
2012-12,4,786,4,0,58997
2013-01,15,633,10,2,46881
2013-02,12,277,7,0,20284
2013-03,12,419,7,1,30190
2013-04,12,377,9,0,26819
2013-05,8,604,5,0,42301
2013-06,10,76,6,0,5266
2013-07,7,306,5,0,20836
2013-08,8,621,5,0,41652
2013-09,10,262,4,2,17307
2013-10,13,207,6,1,13493
2013-11,14,301,6,2,19294
2013-12,10,446,7,0,28154
2014-01,16,392,8,2,24320
2014-02,13,460,5,0,28072
2014-03,22,796,11,1,47771
2014-04,18,536,7,1,31630
2014-05,6,203,2,0,11781
2014-06,8,116,3,0,6652
2014-07,12,518,7,0,29024
2014-08,12,245,8,0,13487
2014-09,13,199,3,0,10763
2014-10,16,421,6,5,22336
2014-11,15,169,10,2,8818
2014-12,11,217,6,1,11076
2015-01,17,497,9,1,24899
2015-02,21,746,8,1,36556
2015-03,22,424,7,2,20362
2015-04,17,232,8,0,10922
2015-05,9,181,7,0,8338
2015-06,9,93,6,0,4202
2015-07,5,37,2,1,1631
2015-08,12,591,6,1,25435
2015-09,11,205,5,1,8644
2015-10,18,510,4,2,20942
2015-11,9,161,3,1,6477
2015-12,13,457,9,0,17856
2016-01,11,130,8,0,4974
2016-02,7,93,1,3,3454
2016-03,17,451,6,2,16267
2016-04,19,261,9,2,9156
2016-05,12,209,4,1,7112
2016-06,10,174,5,2,5773
2016-07,15,226,9,1,7238
2016-08,12,213,8,1,6605
2016-09,16,352,7,0,10561
2016-10,13,139,6,2,4035
2016-11,13,158,5,0,4424
2016-12,5,179,2,0,4848
2017-01,7,134,4,1,3492
2017-02,6,118,2,1,2956
2017-03,15,149,5,0,3585
2017-04,10,156,7,0,3592
2017-05,11,106,5,1,2346
2017-06,10,166,5,1,3494
2017-07,8,118,2,1,2377
2017-08,7,93,2,0,1784
2017-09,8,185,6,0,3347
2017-10,11,206,4,1,3505
2017-11,13,201,7,2,3230
2017-12,7,255,3,1,3825
2018-01,6,170,2,1,2392
2018-02,3,46,1,0,603
2018-03,15,699,7,2,8393
2018-04,11,150,5,0,1653
2018-05,14,269,10,1,2698
2018-06,8,114,4,0,1030
2018-07,10,197,2,4,1582
2018-08,17,475,7,0,3329
2018-09,18,374,10,1,2244
2018-10,8,251,5,1,1257
2018-11,10,318,1,0,1273
2018-12,12,514,5,1,1542
2019-01,17,624,8,0,1249
2019-02,8,517,5,1,517
