date,count,normalized viewcount,positive,negative,total viewcount
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,1,32,1,0,3823
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,1,163,1,0,17296
2010-06,2,250,2,0,26294
2010-07,1,390,1,0,40641
2010-08,1,2,1,0,245
2010-09,1,4,1,0,503
2010-10,2,21,2,0,2141
2010-11,11,1945,10,1,194544
2010-12,4,200,4,0,19861
2011-01,15,3185,15,0,312170
2011-02,17,1081,13,0,104946
2011-03,16,845,16,0,81181
2011-04,16,863,16,0,82054
2011-05,44,2056,42,0,193351
2011-06,53,4883,50,0,454140
2011-07,66,2231,47,0,205275
2011-08,88,9326,64,1,848722
2011-09,113,6182,84,0,556432
2011-10,104,4586,77,2,408216
2011-11,124,6383,89,0,561731
2011-12,107,3967,74,0,345129
2012-01,119,4706,81,2,404792
2012-02,157,3720,106,2,316214
2012-03,114,7320,87,1,614889
2012-04,144,5317,86,2,441356
2012-05,156,5071,100,1,415846
2012-06,147,6171,106,0,499886
2012-07,142,3625,91,0,290061
2012-08,173,3457,110,0,273106
2012-09,143,2960,81,3,230900
2012-10,145,4025,94,4,309997
2012-11,172,3690,105,3,280515
2012-12,117,2765,70,2,207436
2013-01,146,3261,78,2,241350
2013-02,171,3618,104,2,264130
2013-03,213,5409,106,2,389455
2013-04,151,3405,74,5,241760
2013-05,183,3279,96,5,229584
2013-06,181,3663,98,3,252768
2013-07,222,5491,112,3,373408
2013-08,213,3243,117,7,217305
2013-09,179,4322,87,1,285270
2013-10,194,3752,86,3,243910
2013-11,174,4122,88,1,263848
2013-12,155,1993,73,4,125578
2014-01,195,3333,96,5,206700
2014-02,185,2987,83,3,182212
2014-03,163,4649,85,1,278944
2014-04,154,6449,66,8,380519
2014-05,165,2425,66,7,140684
2014-06,162,2382,81,7,135822
2014-07,195,1906,80,5,106783
2014-08,158,1349,63,8,74210
2014-09,156,1510,58,4,81549
2014-10,156,1336,53,8,70841
2014-11,150,2781,58,6,144629
2014-12,145,1424,71,6,72658
2015-01,149,1231,58,7,61557
2015-02,113,979,43,3,48008
2015-03,126,1920,54,2,92205
2015-04,128,1418,58,5,66686
2015-05,125,2325,48,6,106962
2015-06,124,720,55,6,32432
2015-07,121,1626,58,5,71570
2015-08,100,2486,42,0,106935
2015-09,111,794,42,3,33385
2015-10,108,1382,45,6,56665
2015-11,90,990,39,2,39635
2015-12,85,1169,29,2,45619
2016-01,87,642,37,1,24417
2016-02,87,690,44,4,25541
2016-03,93,2835,37,3,102071
2016-04,71,667,27,6,23351
2016-05,78,966,36,1,32873
2016-06,71,770,31,1,25442
2016-07,81,914,37,0,29266
2016-08,86,603,23,2,18702
2016-09,61,426,20,0,12794
2016-10,52,540,17,2,15688
2016-11,53,261,16,3,7320
2016-12,50,548,15,1,14800
2017-01,37,606,15,3,15777
2017-02,44,406,14,2,10170
2017-03,47,382,15,2,9174
2017-04,45,423,17,4,9736
2017-05,42,371,13,1,8167
2017-06,44,483,14,0,10145
2017-07,30,249,10,0,4990
2017-08,34,339,12,1,6450
2017-09,38,375,15,1,6758
2017-10,34,269,13,1,4576
2017-11,31,264,9,2,4231
2017-12,22,378,5,0,5683
2018-01,16,103,3,1,1444
2018-02,14,135,4,1,1763
2018-03,21,209,4,1,2519
2018-04,30,239,5,1,2638
2018-05,30,356,9,2,3563
2018-06,30,247,9,1,2226
2018-07,17,137,3,0,1097
2018-08,24,167,3,0,1175
2018-09,22,196,4,0,1181
2018-10,20,176,2,0,880
2018-11,17,184,3,1,737
2018-12,11,133,2,0,400
2019-01,26,306,5,0,613
2019-02,9,290,3,0,290
