date,count,normalized viewcount,positive,negative,total viewcount
2008-08,1,165,1,0,21004
2008-09,14,738,14,0,93028
2008-10,9,800,9,0,100016
2008-11,7,81,7,0,10100
2008-12,11,532,10,0,65526
2009-01,10,323,10,0,39407
2009-02,14,949,14,0,114946
2009-03,13,368,13,0,44179
2009-04,10,190,9,0,22628
2009-05,5,700,5,0,82705
2009-06,7,293,7,0,34341
2009-07,8,207,8,0,24028
2009-08,13,265,13,0,30487
2009-09,15,337,14,0,38440
2009-10,7,184,7,0,20884
2009-11,14,241,14,0,27100
2009-12,13,118,11,0,13193
2010-01,16,378,16,0,41627
2010-02,15,195,15,0,21341
2010-03,11,120,11,0,13002
2010-04,16,1179,16,0,126204
2010-05,8,118,8,0,12592
2010-06,18,299,18,0,31420
2010-07,16,334,16,0,34760
2010-08,19,546,19,0,56265
2010-09,39,893,38,0,91114
2010-10,41,996,41,0,100612
2010-11,48,895,47,0,89573
2010-12,40,878,35,0,86926
2011-01,31,355,28,0,34792
2011-02,30,650,29,0,63067
2011-03,27,974,25,0,93517
2011-04,38,405,30,0,38495
2011-05,33,1404,32,0,132017
2011-06,25,844,23,0,78533
2011-07,19,278,17,0,25636
2011-08,18,416,17,0,37914
2011-09,41,747,36,1,67319
2011-10,22,387,21,0,34459
2011-11,28,319,25,0,28105
2011-12,45,789,42,1,68721
2012-01,38,761,36,0,65528
2012-02,57,1206,49,1,102546
2012-03,54,1103,47,0,92658
2012-04,25,453,21,2,37651
2012-05,37,414,31,1,34023
2012-06,36,1154,33,0,93548
2012-07,44,592,38,1,47422
2012-08,34,395,28,0,31239
2012-09,38,864,33,3,67399
2012-10,51,350,39,3,27008
2012-11,35,758,28,4,57667
2012-12,40,585,34,1,43949
2013-01,42,489,31,1,36244
2013-02,33,183,25,1,13383
2013-03,46,642,37,3,46285
2013-04,43,585,35,3,41544
2013-05,35,583,29,0,40814
2013-06,42,381,37,1,26341
2013-07,58,659,51,0,44865
2013-08,49,596,47,0,39966
2013-09,61,842,44,2,55612
2013-10,72,728,52,4,47353
2013-11,90,1037,59,7,66387
2013-12,47,472,33,3,29798
2014-01,56,500,46,1,31035
2014-02,32,199,28,1,12186
2014-03,48,274,30,0,16449
2014-04,46,456,32,3,26913
2014-05,51,525,33,4,30472
2014-06,44,312,34,1,17810
2014-07,37,258,30,1,14485
2014-08,34,462,26,1,25429
2014-09,50,542,34,4,29301
2014-10,46,406,32,3,21552
2014-11,64,487,49,3,25371
2014-12,46,267,21,3,13653
2015-01,64,587,42,5,29374
2015-02,50,337,34,1,16550
2015-03,63,438,40,6,21067
2015-04,68,854,56,3,40145
2015-05,52,523,37,8,24073
2015-06,41,276,33,1,12423
2015-07,42,402,33,1,17713
2015-08,39,362,27,1,15567
2015-09,41,464,31,1,19495
2015-10,78,593,52,6,24335
2015-11,65,503,32,10,20136
2015-12,55,816,41,3,31847
2016-01,54,504,36,5,19165
2016-02,47,317,27,4,11749
2016-03,41,916,26,8,33000
2016-04,49,453,34,3,15880
2016-05,36,202,28,3,6893
2016-06,39,336,29,2,11101
2016-07,47,337,25,12,10815
2016-08,54,379,37,5,11757
2016-09,32,297,23,1,8936
2016-10,51,508,27,6,14751
2016-11,51,510,27,2,14299
2016-12,60,501,32,8,13544
2017-01,53,471,34,2,12258
2017-02,63,569,39,2,14227
2017-03,42,368,24,1,8838
2017-04,45,318,22,2,7329
2017-05,39,289,25,0,6379
2017-06,44,399,24,0,8395
2017-07,41,299,30,0,5994
2017-08,28,263,21,0,5009
2017-09,32,209,19,2,3772
2017-10,37,398,18,8,6780
2017-11,39,424,25,2,6798
2017-12,35,490,22,2,7354
2018-01,47,510,34,3,7150
2018-02,29,415,23,0,5396
2018-03,42,480,26,1,5761
2018-04,28,284,17,3,3126
2018-05,44,424,30,1,4247
2018-06,29,342,22,2,3086
2018-07,21,317,18,0,2538
2018-08,25,445,18,0,3115
2018-09,35,480,28,0,2883
2018-10,51,909,39,0,4549
2018-11,42,867,29,1,3468
2018-12,30,698,19,0,2095
2019-01,31,1216,23,1,2432
2019-02,43,2294,26,2,2294
