date,count,normalized viewcount,positive,negative,total viewcount
2008-08,0,0,0,0,0
2008-09,7,683,7,0,86130
2008-10,3,26,3,0,3257
2008-11,1,18,1,0,2278
2008-12,5,17,5,0,2132
2009-01,3,114,3,0,14029
2009-02,6,252,6,0,30520
2009-03,8,141,8,0,16975
2009-04,9,181,9,0,21577
2009-05,10,264,10,0,31188
2009-06,3,11,3,0,1335
2009-07,8,175,8,0,20351
2009-08,6,49,6,0,5686
2009-09,3,30,3,0,3496
2009-10,7,96,7,0,10878
2009-11,6,193,6,0,21623
2009-12,3,37,3,0,4193
2010-01,7,250,6,0,27606
2010-02,5,79,5,0,8626
2010-03,10,116,10,0,12546
2010-04,3,19,3,0,2083
2010-05,2,5,2,0,614
2010-06,5,31,5,0,3354
2010-07,16,157,15,1,16380
2010-08,20,161,19,0,16659
2010-09,17,141,17,0,14431
2010-10,19,231,19,0,23374
2010-11,9,84,9,0,8437
2010-12,12,272,10,0,26998
2011-01,25,273,24,0,26851
2011-02,21,527,21,0,51215
2011-03,13,126,13,0,12118
2011-04,23,293,22,0,27896
2011-05,24,211,24,0,19902
2011-06,36,427,35,0,39787
2011-07,29,494,26,0,45490
2011-08,25,222,24,0,20250
2011-09,21,476,21,0,42863
2011-10,24,142,24,0,12672
2011-11,24,121,24,0,10681
2011-12,51,331,51,0,28883
2012-01,38,223,37,0,19236
2012-02,25,140,24,0,11954
2012-03,40,626,36,0,52646
2012-04,35,383,35,0,31797
2012-05,23,406,22,0,33297
2012-06,29,351,28,0,28457
2012-07,24,122,22,0,9761
2012-08,31,141,28,0,11173
2012-09,27,174,22,0,13595
2012-10,18,134,18,0,10327
2012-11,23,254,22,0,19379
2012-12,13,51,13,0,3864
2013-01,37,211,32,0,15662
2013-02,22,124,20,0,9123
2013-03,21,307,18,0,22164
2013-04,13,43,9,0,3076
2013-05,20,157,17,1,11054
2013-06,18,170,15,0,11756
2013-07,21,135,20,0,9195
2013-08,33,166,29,0,11184
2013-09,21,50,17,0,3310
2013-10,33,146,30,0,9523
2013-11,47,157,41,0,10102
2013-12,43,268,34,0,16913
2014-01,34,134,34,0,8363
2014-02,45,181,44,0,11092
2014-03,34,80,33,0,4835
2014-04,48,168,48,0,9921
2014-05,37,147,30,0,8531
2014-06,39,193,35,0,11021
2014-07,26,132,25,0,7423
2014-08,33,141,32,0,7772
2014-09,29,88,24,1,4771
2014-10,21,116,18,0,6167
2014-11,22,101,19,1,5260
2014-12,22,123,21,1,6315
2015-01,30,239,25,1,11959
2015-02,28,91,21,0,4480
2015-03,29,106,24,1,5105
2015-04,31,103,23,0,4856
2015-05,14,65,12,0,3022
2015-06,19,73,14,0,3287
2015-07,28,93,26,1,4117
2015-08,26,134,21,0,5799
2015-09,18,123,14,0,5196
2015-10,38,147,36,0,6048
2015-11,35,114,31,0,4578
2015-12,24,112,19,1,4394
2016-01,23,99,22,0,3799
2016-02,19,75,17,1,2806
2016-03,28,100,23,1,3633
2016-04,38,120,32,1,4209
2016-05,24,134,17,2,4584
2016-06,15,44,12,0,1459
2016-07,18,116,14,0,3733
2016-08,31,133,24,0,4132
2016-09,16,86,11,1,2585
2016-10,8,83,5,0,2429
2016-11,16,48,9,0,1368
2016-12,18,90,12,0,2456
2017-01,11,99,7,0,2586
2017-02,19,72,11,1,1811
2017-03,13,52,8,0,1249
2017-04,13,62,10,0,1437
2017-05,11,103,7,0,2286
2017-06,18,95,13,1,2000
2017-07,15,93,9,0,1873
2017-08,15,83,6,2,1595
2017-09,12,73,6,0,1330
2017-10,13,79,7,0,1353
2017-11,6,41,5,1,661
2017-12,4,27,1,0,413
2018-01,7,49,6,0,688
2018-02,6,46,6,0,610
2018-03,5,44,5,0,531
2018-04,17,94,13,0,1039
2018-05,8,47,5,0,472
2018-06,8,58,3,1,526
2018-07,14,121,6,0,969
2018-08,9,71,4,0,502
2018-09,8,94,4,0,566
2018-10,7,89,4,0,448
2018-11,6,118,4,0,473
2018-12,15,175,8,0,525
2019-01,29,555,14,1,1110
2019-02,10,544,5,0,544
