date,count,normalized viewcount,positive,negative,total viewcount
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,2,64,2,0,5781
2011-10,18,978,18,0,87076
2011-11,4,130,4,0,11470
2011-12,4,79,4,0,6930
2012-01,8,362,8,0,31213
2012-02,11,392,11,0,33352
2012-03,4,149,4,0,12533
2012-04,24,663,24,0,55041
2012-05,23,515,23,0,42244
2012-06,25,311,20,0,25258
2012-07,34,810,30,0,64844
2012-08,42,866,36,0,68483
2012-09,33,912,31,0,71153
2012-10,81,1935,70,1,149025
2012-11,76,1435,66,2,109086
2012-12,87,1301,78,0,97585
2013-01,101,994,79,0,73623
2013-02,86,855,67,2,62451
2013-03,90,1256,71,2,90487
2013-04,160,2204,137,2,156510
2013-05,123,1025,103,0,71760
2013-06,137,1228,107,1,84757
2013-07,115,1212,85,1,82458
2013-08,109,1786,80,1,119687
2013-09,96,1041,75,0,68756
2013-10,115,1198,89,0,77890
2013-11,174,2387,134,3,152795
2013-12,263,3306,213,3,208328
2014-01,287,2483,246,1,153949
2014-02,265,3107,220,4,189530
2014-03,238,1789,193,2,107354
2014-04,210,1424,157,3,84030
2014-05,171,1338,130,1,77619
2014-06,193,1264,134,1,72068
2014-07,192,2218,153,2,124259
2014-08,192,1338,151,1,73610
2014-09,179,1346,143,1,72685
2014-10,195,1299,143,0,68885
2014-11,169,1280,128,1,66584
2014-12,144,1397,95,1,71266
2015-01,113,938,79,1,46925
2015-02,123,1078,103,0,52863
2015-03,115,797,89,1,38293
2015-04,129,987,96,1,46409
2015-05,108,750,91,0,34501
2015-06,80,590,69,0,26574
2015-07,96,702,75,1,30905
2015-08,61,387,57,2,16658
2015-09,61,2690,47,0,113015
2015-10,74,2780,65,0,113999
2015-11,84,607,70,0,24291
2015-12,47,265,36,1,10372
2016-01,68,789,57,0,29987
2016-02,75,1544,56,0,57157
2016-03,58,677,36,0,24403
2016-04,49,400,37,0,14034
2016-05,37,212,29,1,7214
2016-06,62,828,39,2,27343
2016-07,45,382,26,2,12226
2016-08,65,820,56,0,25434
2016-09,54,508,45,0,15245
2016-10,39,346,29,1,10041
2016-11,46,1309,37,0,36674
2016-12,53,777,41,0,20988
2017-01,53,1636,48,0,42548
2017-02,51,893,38,1,22337
2017-03,59,1546,44,0,37105
2017-04,53,3955,46,0,90978
2017-05,107,9050,80,1,199105
2017-06,105,10569,78,0,221950
2017-07,102,5341,60,1,106822
2017-08,88,6107,64,3,116047
2017-09,72,6030,44,1,108542
2017-10,91,8095,58,1,137629
2017-11,68,7919,52,1,126705
2017-12,71,4202,45,1,63037
2018-01,63,5196,44,2,72745
2018-02,103,11329,66,3,147280
2018-03,308,37499,193,6,449994
2018-04,348,46587,219,5,512459
2018-05,411,40507,248,9,405075
2018-06,455,37034,259,9,333312
2018-07,541,31721,243,9,253770
2018-08,541,34546,390,10,241826
2018-09,520,23584,225,6,141504
2018-10,559,32793,266,4,163965
2018-11,524,25766,238,5,103064
2018-12,618,24335,245,19,73007
2019-01,944,28205,381,25,56411
2019-02,823,29729,224,32,29729
