date,count,viewcount,positive,negative
2008-08,14,91645,14,0
2008-09,105,756524,100,0
2008-10,113,789589,111,0
2008-11,141,963859,136,0
2008-12,135,804481,125,1
2009-01,164,819065,145,3
2009-02,168,888508,146,2
2009-03,162,769001,133,3
2009-04,185,940127,158,1
2009-05,202,810757,171,3
2009-06,223,859482,194,0
2009-07,269,1127635,235,2
2009-08,246,991434,204,2
2009-09,252,1078964,220,1
2009-10,256,799714,208,1
2009-11,274,895491,232,1
2009-12,283,1012406,214,2
2010-01,303,1045743,254,4
2010-02,283,1141083,246,1
2010-03,318,1143329,265,1
2010-04,271,999625,242,0
2010-05,280,800716,224,3
2010-06,329,983566,267,4
2010-07,334,928878,291,3
2010-08,354,1019973,284,4
2010-09,319,1052685,258,4
2010-10,361,1120725,293,5
2010-11,390,1313753,320,6
2010-12,321,984379,272,6
2011-01,371,1076856,308,4
2011-02,362,1146778,308,4
2011-03,519,1406103,406,6
2011-04,402,1516479,332,3
2011-05,477,1452330,420,4
2011-06,458,1348777,412,4
2011-07,430,1337276,352,9
2011-08,424,1024482,352,16
2011-09,415,1141828,344,10
2011-10,465,1156151,400,10
2011-11,507,1405978,441,16
2011-12,577,1673773,481,29
2012-01,514,1544999,434,26
2012-02,473,1257232,420,15
2012-03,499,1311956,418,16
2012-04,483,1106863,403,8
2012-05,482,1607350,403,10
2012-06,421,1048751,343,9
2012-07,446,953208,317,18
2012-08,404,1126123,321,11
2012-09,387,796610,308,5
2012-10,479,1059475,377,13
2012-11,444,984734,325,16
2012-12,429,939143,354,16
2013-01,484,1007742,396,16
2013-02,450,982756,348,12
2013-03,527,1137707,371,35
2013-04,520,1089303,310,49
2013-05,541,1024745,340,38
2013-06,477,854805,298,38
2013-07,510,881251,329,35
2013-08,450,716504,274,37
2013-09,491,818918,312,44
2013-10,527,873952,320,42
2013-11,462,763156,291,34
2013-12,450,648155,257,34
2014-01,493,739380,260,45
2014-02,492,714839,275,52
2014-03,441,519861,250,44
2014-04,393,439572,231,33
2014-05,475,511463,259,45
2014-06,417,441615,218,55
2014-07,446,574275,247,57
2014-08,426,567682,247,42
2014-09,448,542412,244,47
2014-10,411,426767,201,56
2014-11,431,481736,224,46
2014-12,317,342602,165,49
2015-01,384,415263,183,45
2015-02,416,423755,197,55
2015-03,412,415915,179,66
2015-04,392,379813,184,47
2015-05,400,396953,231,36
2015-06,389,282608,213,33
2015-07,385,366934,233,37
2015-08,388,336698,225,43
2015-09,359,289114,199,38
2015-10,423,357826,233,44
2015-11,394,292063,206,42
2015-12,314,208639,157,33
2016-01,318,190744,178,43
2016-02,359,222996,195,41
2016-03,341,224134,213,35
2016-04,323,225941,165,49
2016-05,339,205189,196,38
2016-06,282,189605,201,28
2016-07,245,143165,127,25
2016-08,339,185037,179,33
2016-09,288,187379,170,25
2016-10,270,146535,133,36
2016-11,273,118961,151,49
2016-12,254,110999,133,35
2017-01,285,143966,136,42
2017-02,304,120603,135,40
2017-03,305,176727,139,37
2017-04,263,125893,124,35
2017-05,320,136512,160,48
2017-06,246,112997,121,28
2017-07,209,84863,99,32
2017-08,290,106892,166,38
2017-09,266,89705,133,31
2017-10,223,86931,96,20
2017-11,199,60719,91,27
2017-12,189,59827,96,19
2018-01,193,54427,101,35
2018-02,213,50833,116,26
2018-03,233,48701,102,26
2018-04,214,47357,93,25
2018-05,205,40151,79,34
2018-06,198,39946,68,27
2018-07,218,38942,100,23
2018-08,226,31681,96,32
2018-09,199,25150,75,22
2018-10,238,26706,110,24
2018-11,195,20640,84,26
2018-12,190,21161,65,30
2019-01,238,20855,81,20
2019-02,241,18387,63,53
