date,count,normalized viewcount,positive,negative,total viewcount
2012-11,2,278,2,0,21131
2012-12,0,0,0,0,0
2013-01,1,4,1,0,322
2013-02,1,4,1,0,322
2013-03,1,26,1,0,1910
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,5,157,4,0,10840
2013-07,5,61,4,0,4213
2013-08,9,503,9,0,33739
2013-09,5,63,5,0,4161
2013-10,6,175,5,0,11421
2013-11,10,285,9,0,18259
2013-12,4,756,4,0,47666
2014-01,16,387,13,0,24048
2014-02,15,387,12,0,23608
2014-03,32,1667,24,1,100077
2014-04,10,271,9,0,16028
2014-05,19,532,17,1,30870
2014-06,16,246,16,0,14035
2014-07,18,466,14,0,26145
2014-08,19,772,17,0,42474
2014-09,22,1055,20,0,57022
2014-10,17,460,14,0,24432
2014-11,9,322,9,0,16762
2014-12,29,566,29,0,28882
2015-01,25,1168,24,0,58411
2015-02,37,3545,35,0,173729
2015-03,47,1494,44,0,71731
2015-04,45,2088,43,0,98174
2015-05,58,2311,57,0,106342
2015-06,61,4035,58,0,181590
2015-07,69,2602,68,0,114503
2015-08,68,5259,67,0,226162
2015-09,120,4891,119,0,205435
2015-10,127,4478,121,1,183625
2015-11,138,4378,127,0,175158
2015-12,125,4348,101,1,169599
2016-01,129,3729,113,1,141718
2016-02,126,4654,109,2,172203
2016-03,147,5079,120,2,182846
2016-04,158,5727,119,2,200454
2016-05,167,4711,127,4,160203
2016-06,166,4961,130,2,163717
2016-07,189,4705,138,2,150580
2016-08,209,5257,168,2,162976
2016-09,202,3862,128,1,115889
2016-10,167,3860,95,2,111967
2016-11,147,2788,105,5,78073
2016-12,161,3280,100,2,88582
2017-01,141,2751,85,1,71548
2017-02,176,3900,95,3,97513
2017-03,161,2759,92,4,66235
2017-04,195,3927,122,2,90326
2017-05,193,3262,106,3,71772
2017-06,177,3075,89,2,64588
2017-07,125,2433,72,2,48672
2017-08,138,2296,90,2,43639
2017-09,142,2661,76,2,47899
2017-10,166,3053,85,5,51915
2017-11,142,2614,68,9,41825
2017-12,132,2371,57,5,35571
2018-01,165,2458,80,6,34420
2018-02,145,2489,73,3,32367
2018-03,146,1867,68,5,22412
2018-04,116,1919,45,4,21109
2018-05,134,2015,72,0,20155
2018-06,101,1753,41,2,15777
2018-07,98,1766,39,2,14132
2018-08,134,1948,50,3,13640
2018-09,99,1606,42,2,9638
2018-10,100,1749,40,2,8746
2018-11,98,1763,33,2,7053
2018-12,94,1977,36,1,5931
2019-01,78,2152,31,1,4305
2019-02,100,5647,44,3,5647
