date,count,viewcount,positive,negative
2008-08,3,17965,3,0
2008-09,13,58230,13,0
2008-10,13,56956,13,0
2008-11,6,5882,6,0
2008-12,12,84445,12,0
2009-01,19,61512,19,0
2009-02,21,102311,20,0
2009-03,19,86013,19,0
2009-04,14,38008,13,0
2009-05,23,73522,23,0
2009-06,33,167238,32,0
2009-07,32,147307,32,0
2009-08,41,138953,40,0
2009-09,38,77915,36,0
2009-10,28,147370,28,0
2009-11,65,186685,56,2
2009-12,66,157195,62,1
2010-01,56,121670,54,0
2010-02,66,198966,65,0
2010-03,54,138673,53,0
2010-04,33,77070,31,0
2010-05,36,84253,36,0
2010-06,43,81092,43,0
2010-07,26,52918,26,0
2010-08,45,101028,41,3
2010-09,52,115046,52,0
2010-10,48,100203,43,1
2010-11,88,142679,82,0
2010-12,71,174496,66,0
2011-01,73,157120,66,0
2011-02,67,115759,67,0
2011-03,75,143975,67,0
2011-04,66,105632,58,1
2011-05,83,140149,68,2
2011-06,66,124104,54,1
2011-07,98,177999,86,0
2011-08,73,230794,64,0
2011-09,53,61869,42,0
2011-10,86,98381,62,4
2011-11,72,112520,65,0
2011-12,66,117720,57,0
2012-01,59,94305,46,0
2012-02,89,131150,70,2
2012-03,74,171935,48,1
2012-04,79,110969,62,0
2012-05,75,87475,56,2
2012-06,88,125633,76,0
2012-07,52,47531,45,0
2012-08,83,80195,74,2
2012-09,87,121990,63,1
2012-10,103,111488,76,0
2012-11,110,147912,82,0
2012-12,76,83972,52,1
2013-01,86,78398,57,5
2013-02,96,69928,56,4
2013-03,107,82665,70,6
2013-04,82,100030,58,0
2013-05,71,109590,47,1
2013-06,76,56440,44,1
2013-07,59,66478,43,0
2013-08,86,88949,44,0
2013-09,80,54664,56,0
2013-10,98,54097,60,2
2013-11,76,51480,42,0
2013-12,92,54923,47,0
2014-01,84,76138,57,2
2014-02,69,62309,46,1
2014-03,123,104036,58,4
2014-04,105,67007,80,3
2014-05,106,61805,59,7
2014-06,58,49230,45,1
2014-07,77,40987,47,3
2014-08,76,153152,40,1
2014-09,74,66090,43,2
2014-10,105,49778,55,2
2014-11,93,67743,57,3
2014-12,93,40874,65,3
2015-01,101,45953,54,1
2015-02,101,103618,61,2
2015-03,75,30915,45,2
2015-04,81,29840,44,3
2015-05,75,40582,40,2
2015-06,82,41669,72,2
2015-07,65,24868,43,0
2015-08,70,48237,44,0
2015-09,105,50022,82,2
2015-10,94,36682,73,2
2015-11,71,24324,49,2
2015-12,71,23046,48,2
2016-01,86,33834,54,4
2016-02,81,35208,58,2
2016-03,95,31989,48,2
2016-04,94,27719,61,6
2016-05,79,34459,55,3
2016-06,76,43302,44,2
2016-07,96,40965,68,3
2016-08,98,29191,59,4
2016-09,77,23545,44,5
2016-10,66,22214,40,3
2016-11,75,17219,46,2
2016-12,74,21579,39,1
2017-01,86,22956,43,2
2017-02,67,19354,36,1
2017-03,84,20339,34,5
2017-04,58,14803,30,3
2017-05,77,15189,39,5
2017-06,61,16808,30,4
2017-07,49,9615,33,1
2017-08,60,9897,46,0
2017-09,56,11956,40,2
2017-10,68,14860,43,2
2017-11,61,10042,34,1
2017-12,31,24758,15,1
2018-01,42,5181,23,1
2018-02,47,5787,21,0
2018-03,64,8441,27,4
2018-04,63,9950,32,1
2018-05,57,7721,29,1
2018-06,48,8033,21,0
2018-07,42,6368,20,2
2018-08,43,6531,25,3
2018-09,34,3028,20,1
2018-10,44,3271,19,2
2018-11,42,2571,17,0
2018-12,56,3149,22,2
2019-01,40,1971,16,2
2019-02,40,1806,23,4
