date,count,normalized viewcount,positive,negative,total viewcount
2008-08,2,62,2,0,7936
2008-09,21,805,21,0,101449
2008-10,25,1193,24,1,149171
2008-11,20,709,18,0,87932
2008-12,28,1001,26,0,123147
2009-01,35,949,33,0,115846
2009-02,28,822,26,0,99497
2009-03,24,569,24,0,68342
2009-04,33,909,32,0,108220
2009-05,47,1256,44,0,148313
2009-06,42,1986,39,0,232367
2009-07,65,1218,57,0,141331
2009-08,27,381,25,0,43872
2009-09,34,593,33,0,67639
2009-10,46,968,42,1,109480
2009-11,61,1207,55,0,135184
2009-12,67,1056,61,0,117230
2010-01,50,826,48,0,90895
2010-02,90,1826,89,0,199120
2010-03,64,2155,63,0,232813
2010-04,63,1700,62,0,181986
2010-05,117,2385,102,0,252848
2010-06,104,1949,97,0,204681
2010-07,80,1275,79,0,132668
2010-08,81,1292,78,0,133158
2010-09,92,1369,85,0,139651
2010-10,75,1066,71,2,107720
2010-11,112,1481,101,0,148170
2010-12,96,1225,85,1,121317
2011-01,82,1607,76,0,157492
2011-02,104,1333,88,0,129374
2011-03,126,1446,109,0,138890
2011-04,139,1995,117,0,189597
2011-05,115,1630,104,0,153271
2011-06,102,947,81,1,88090
2011-07,88,1086,80,1,99949
2011-08,116,1090,100,1,99201
2011-09,123,2093,113,0,188382
2011-10,108,1394,89,1,124109
2011-11,110,1305,98,0,114873
2011-12,90,829,76,0,72172
2012-01,70,997,62,2,85825
2012-02,141,1954,111,2,166143
2012-03,137,1700,116,1,142874
2012-04,92,1037,87,0,86086
2012-05,87,791,81,0,64897
2012-06,110,1239,100,1,100367
2012-07,97,836,88,1,66906
2012-08,95,1594,87,0,125952
2012-09,109,1067,97,1,83263
2012-10,96,996,84,0,76692
2012-11,92,1046,80,5,79522
2012-12,89,1249,80,0,93707
2013-01,97,1009,82,4,74708
2013-02,105,1259,90,3,91917
2013-03,106,1326,95,0,95513
2013-04,119,1150,102,1,81652
2013-05,97,1443,80,0,101066
2013-06,96,1088,84,1,75093
2013-07,100,842,90,3,57295
2013-08,96,1104,94,0,74026
2013-09,131,1126,109,2,74358
2013-10,145,1363,103,6,88637
2013-11,117,1074,96,2,68783
2013-12,129,1208,108,1,76124
2014-01,172,1556,134,7,96493
2014-02,129,879,115,1,53655
2014-03,158,1384,139,2,83094
2014-04,139,1215,116,0,71717
2014-05,109,722,86,4,41898
2014-06,122,713,105,1,40668
2014-07,144,1026,118,1,57509
2014-08,126,691,84,2,38052
2014-09,96,540,69,1,29181
2014-10,109,819,86,2,43432
2014-11,153,1029,109,3,53515
2014-12,123,897,98,5,45761
2015-01,129,1037,95,4,51865
2015-02,170,1692,93,4,82919
2015-03,160,1014,103,5,48705
2015-04,132,1096,97,3,51546
2015-05,159,1259,124,4,57937
2015-06,162,1200,118,4,54000
2015-07,117,771,80,1,33946
2015-08,114,866,95,1,37258
2015-09,121,778,101,4,32691
2015-10,141,972,107,0,39865
2015-11,174,916,113,4,36660
2015-12,124,974,89,2,38004
2016-01,164,1122,147,0,42669
2016-02,176,1469,142,6,54385
2016-03,172,1207,137,7,43453
2016-04,140,1130,125,2,39580
2016-05,117,1138,103,1,38697
2016-06,137,1426,130,2,47075
2016-07,144,1186,126,1,37978
2016-08,134,1156,120,1,35864
2016-09,184,1602,171,2,48065
2016-10,151,1223,145,2,35478
2016-11,160,1424,148,3,39873
2016-12,122,1147,120,2,30984
2017-01,146,1303,132,2,33882
2017-02,134,1430,128,0,35773
2017-03,149,1777,144,1,42648
2017-04,157,1228,148,0,28247
2017-05,141,1022,124,1,22484
2017-06,91,1013,87,0,21289
2017-07,107,976,104,1,19538
2017-08,115,1124,107,1,21372
2017-09,100,894,96,1,16104
2017-10,139,1455,129,0,24737
2017-11,105,920,94,3,14730
2017-12,121,923,109,1,13849
2018-01,123,1390,114,0,19465
2018-02,86,1097,74,0,14267
2018-03,132,1389,118,0,16675
2018-04,82,1017,72,0,11190
2018-05,109,1122,106,0,11222
2018-06,113,1478,93,7,13306
2018-07,85,1144,56,1,9156
2018-08,94,1198,71,0,8388
2018-09,95,1383,85,0,8303
2018-10,123,1755,75,1,8778
2018-11,120,2033,76,4,8133
2018-12,111,2434,65,8,7302
2019-01,103,3563,86,3,7126
2019-02,75,4427,67,0,4427
