date,count,viewcount,positive,negative
2008-08,1,12787,1,0
2008-09,3,188691,3,0
2008-10,3,20209,3,0
2008-11,4,20830,4,0
2008-12,4,26812,3,0
2009-01,3,10618,3,0
2009-02,5,9162,4,0
2009-03,8,29015,6,0
2009-04,8,32160,6,0
2009-05,14,91285,11,0
2009-06,18,73412,17,0
2009-07,14,95125,11,0
2009-08,13,217519,12,0
2009-09,6,29152,6,0
2009-10,15,46059,11,1
2009-11,10,40063,7,1
2009-12,13,26067,7,0
2010-01,11,92407,10,0
2010-02,13,36073,11,0
2010-03,19,56199,17,0
2010-04,13,45973,9,0
2010-05,19,167861,15,0
2010-06,15,56835,12,0
2010-07,23,102183,20,0
2010-08,23,126186,14,2
2010-09,20,184028,15,0
2010-10,24,78899,20,0
2010-11,20,84051,14,1
2010-12,28,55326,17,3
2011-01,32,137664,24,0
2011-02,30,69708,23,0
2011-03,34,126713,25,1
2011-04,55,173663,46,1
2011-05,32,103130,22,1
2011-06,34,182705,31,1
2011-07,21,74198,17,1
2011-08,40,135309,33,0
2011-09,41,85735,34,0
2011-10,42,71242,34,0
2011-11,36,117669,21,1
2011-12,57,267128,46,0
2012-01,62,480029,46,4
2012-02,55,109168,41,1
2012-03,64,210103,50,5
2012-04,69,195061,46,3
2012-05,62,237653,45,1
2012-06,55,126248,39,3
2012-07,68,121462,48,1
2012-08,67,178206,50,1
2012-09,48,79813,25,0
2012-10,70,210961,46,1
2012-11,76,181937,56,0
2012-12,70,156192,54,1
2013-01,86,152703,56,5
2013-02,78,175449,51,0
2013-03,93,211135,54,5
2013-04,94,181629,66,3
2013-05,83,136360,48,6
2013-06,89,178849,50,4
2013-07,83,139302,58,2
2013-08,81,133107,66,3
2013-09,91,140892,76,1
2013-10,157,277158,112,3
2013-11,118,117882,71,3
2013-12,92,139759,53,5
2014-01,112,105560,61,3
2014-02,97,101644,60,3
2014-03,139,178341,83,4
2014-04,106,137847,51,3
2014-05,109,139626,57,11
2014-06,146,141927,86,13
2014-07,117,90023,65,12
2014-08,79,68699,52,12
2014-09,87,95762,40,9
2014-10,110,94744,46,14
2014-11,133,93993,61,7
2014-12,115,49944,53,7
2015-01,88,78760,59,3
2015-02,118,66000,59,22
2015-03,138,90239,61,19
2015-04,129,109378,66,8
2015-05,121,80014,63,13
2015-06,151,128072,80,16
2015-07,151,73319,94,13
2015-08,147,78355,76,17
2015-09,121,83372,80,6
2015-10,105,51655,56,10
2015-11,110,51407,66,9
2015-12,77,42819,52,8
2016-01,109,56219,71,3
2016-02,112,50637,53,11
2016-03,138,68665,67,15
2016-04,86,36864,41,4
2016-05,94,48422,55,8
2016-06,133,60404,69,5
2016-07,136,45281,61,3
2016-08,118,40628,51,8
2016-09,92,23381,42,11
2016-10,116,42751,53,3
2016-11,112,41136,49,8
2016-12,99,24601,58,4
2017-01,96,30437,49,4
2017-02,86,33232,51,2
2017-03,128,37813,56,3
2017-04,115,29051,53,3
2017-05,108,37345,44,6
2017-06,138,40332,71,6
2017-07,119,35083,44,11
2017-08,113,30078,75,5
2017-09,92,19922,48,4
2017-10,83,23377,30,4
2017-11,100,23357,39,4
2017-12,93,19898,45,1
2018-01,87,16986,44,1
2018-02,90,15670,48,4
2018-03,109,17794,45,14
2018-04,88,13307,42,5
2018-05,101,13441,41,11
2018-06,116,14480,58,9
2018-07,93,11321,49,9
2018-08,85,9813,38,4
2018-09,74,6291,39,5
2018-10,71,6629,51,1
2018-11,68,6279,56,3
2018-12,76,6160,51,6
2019-01,95,6302,54,4
2019-02,108,5761,59,19
