date,count,normalized viewcount,positive,negative,total viewcount,tiobe rating
2009-11,66,9442,66,0,1057589,0
2009-12,11,2607,10,0,289400,0
2010-01,15,5605,14,1,616557,1.247
2010-02,7,164,7,0,17876,1.778
2010-03,8,954,8,0,103038,0.921
2010-04,10,937,10,0,100333,0.710
2010-05,18,1683,17,0,178402,0.640
2010-06,15,825,14,0,86660,0.640
2010-07,8,1205,8,0,125371,0.490
2010-08,13,1524,11,0,156981,0.490
2010-09,9,937,8,1,95612,0.728
2010-10,13,612,11,0,61850,0.626
2010-11,16,2558,16,0,255821,0.548
2010-12,18,1358,15,0,134515,0.587
2011-01,15,1415,10,1,138759,0.591
2011-02,16,886,15,0,85953,0.707
2011-03,3,241,2,0,23228,0.958
2011-04,7,538,5,0,51184,0.557
2011-05,37,4616,33,1,433982,0.489
2011-06,34,2888,32,1,268601,0.424
2011-07,26,4488,22,1,412900,0.374
2011-08,40,4099,38,0,373050,0.482
2011-09,26,944,24,0,84997,0.358
2011-10,40,7214,29,0,642086,0.375
2011-11,66,13435,52,2,1182324,0.364
2011-12,52,4966,47,1,432048,0.394
2012-01,37,3977,33,0,342065,0.466
2012-02,31,4962,29,0,421800,0.277
2012-03,47,3901,41,1,327699,0.086
2012-04,69,9909,63,1,822527,0.104
2012-05,69,10618,60,0,870701,0.097
2012-06,72,10513,63,1,851564,0.107
2012-07,78,7444,73,2,595568,0.105
2012-08,72,8502,64,1,671663,0.116
2012-09,131,14907,116,2,1162749,0.107
2012-10,102,17582,99,1,1353814,0.107
2012-11,104,13045,100,0,991495,0.112
2012-12,113,11278,106,1,845879,0.107
2013-01,101,16562,93,1,1225657,0.118
2013-02,117,10372,109,0,757158,0.108
2013-03,127,14371,116,1,1034763,0.117
2013-04,126,11632,112,3,825895,0.114
2013-05,145,14322,128,2,1002609,0.107
2013-06,176,19916,151,3,1374205,0.109
2013-07,200,18244,172,5,1240635,0.222
2013-08,210,19979,172,7,1338631,0.508
2013-09,237,19436,196,2,1282787,0.217
2013-10,212,21241,181,6,1380714,0.190
2013-11,210,22704,173,1,1453089,0.214
2013-12,240,18190,214,0,1146011,0.263
2014-01,303,33861,255,5,2099424,0.323
2014-02,206,14289,171,9,871649,0.316
2014-03,255,18849,195,11,1130954,0.293
2014-04,342,24616,264,7,1452386,0.324
2014-05,280,18967,218,16,1100130,0.423
2014-06,288,22601,223,14,1288311,0.425
2014-07,454,38761,351,15,2170636,0.395
2014-08,405,20400,299,20,1122041,0.367
2014-09,393,18535,258,29,1000891,0.403
2014-10,383,19183,271,17,1016742,0.332
2014-11,338,17035,244,21,885855,0.327
2014-12,351,18101,252,17,923161,0.261
2015-01,471,25125,313,51,1256263,0.099
2015-02,384,18635,275,25,913141,0.302
2015-03,469,25223,326,37,1210738,0.261
2015-04,391,14142,241,42,664685,0.297
2015-05,396,20253,268,35,931676,0.029
2015-06,425,17357,253,59,781067,0.064
2015-07,468,18639,291,50,820139,0.061
2015-08,450,15539,291,55,668198,0.080
2015-09,427,16401,257,48,688844,0.254
2015-10,430,18938,253,54,776482,0.137
2015-11,437,16152,292,31,646081,0.200
2015-12,427,17367,290,33,677318,0.195
2016-01,499,19655,303,47,746898,0.161
2016-02,543,19723,328,29,729785,0.294
2016-03,596,27352,346,57,984688,0.197
2016-04,602,19688,354,36,689104,0.240
2016-05,581,25793,370,30,876989,0.254
2016-06,549,21945,338,37,724195,0.209
2016-07,539,26737,320,31,855601,0.160
2016-08,576,25166,344,44,780157,1.270
2016-09,515,18229,306,44,546883,1.625
2016-10,534,25545,297,54,740833,1.809
2016-11,479,23707,245,68,663804,2.001
2016-12,499,17223,247,69,465034,1.939
2017-01,565,20004,283,52,520109,2.325
2017-02,557,19398,295,56,484972,2.105
2017-03,659,26439,350,75,634556,1.982
2017-04,513,18169,266,57,417904,1.974
2017-05,591,18236,306,69,401204,2.080
2017-06,578,21773,264,80,457243,2.044
2017-07,659,21254,294,67,425096,2.363
2017-08,615,18805,300,109,357300,1.645
2017-09,548,17102,239,90,307849,1.567
2017-10,621,17639,277,97,299875,1.357
2017-11,656,20321,324,116,325140,1.570
2017-12,533,18100,234,111,271510,1.387
2018-01,549,15821,229,129,221500,1.569
2018-02,592,17480,255,110,227251,1.417
2018-03,643,18937,271,107,227250,1.444
2018-04,661,16741,239,126,184158,1.180
2018-05,677,15112,240,122,151127,0.970
2018-06,712,18160,277,149,163444,0.879
2018-07,738,16599,333,111,132797,0.969
2018-08,751,19232,283,141,134625,0.996
2018-09,706,16225,238,161,97350,1.081
2018-10,863,17446,281,154,87234,1.253
2018-11,775,21562,229,176,86249,1.495
2018-12,680,17037,240,180,51113,1.189
2019-01,717,20418,213,196,40836,1.115
2019-02,768,33018,219,243,33018,0.960
