date,count,normalized viewcount,positive,negative,total viewcount
2008-08,3,366,3,0,46600
2008-09,18,2284,17,0,287813
2008-10,9,446,9,0,55755
2008-11,22,623,18,2,77288
2008-12,25,1125,25,0,138427
2009-01,23,649,23,0,79222
2009-02,9,341,9,0,41304
2009-03,18,835,17,0,100290
2009-04,27,1227,27,0,146104
2009-05,47,2200,44,0,259641
2009-06,44,4577,43,0,535564
2009-07,33,1515,33,0,175761
2009-08,48,1519,44,0,174789
2009-09,48,2040,45,0,232581
2009-10,54,2522,46,0,285064
2009-11,82,3287,77,0,368158
2009-12,74,2292,72,0,254414
2010-01,61,2057,60,0,226312
2010-02,92,2517,91,0,274424
2010-03,92,3600,82,2,388817
2010-04,83,2521,80,1,269760
2010-05,118,3980,112,2,421971
2010-06,109,4709,107,1,494453
2010-07,126,3048,125,0,317094
2010-08,99,3804,92,0,391843
2010-09,111,2656,107,0,270950
2010-10,146,6262,141,1,632534
2010-11,156,4161,140,1,416190
2010-12,154,4858,143,1,480952
2011-01,134,3503,122,1,343301
2011-02,168,4355,151,4,422437
2011-03,238,6556,208,3,629469
2011-04,267,7091,231,3,673707
2011-05,317,9805,287,6,921755
2011-06,280,5631,253,3,523771
2011-07,249,5740,233,2,528085
2011-08,227,5503,222,1,500790
2011-09,271,6044,252,2,544021
2011-10,326,6011,294,4,535048
2011-11,323,6679,290,11,587761
2011-12,332,6747,313,3,587037
2012-01,353,6828,325,5,587283
2012-02,383,6703,329,5,569782
2012-03,365,6462,317,5,542886
2012-04,379,6391,343,5,530517
2012-05,332,5462,284,10,447924
2012-06,312,5115,277,5,414320
2012-07,340,5308,309,3,424710
2012-08,282,4102,261,3,324093
2012-09,326,6049,288,6,471830
2012-10,419,5954,364,9,458493
2012-11,390,5565,325,12,422986
2012-12,335,3952,276,13,296424
2013-01,353,5475,311,7,405209
2013-02,380,5149,317,12,375943
2013-03,426,6972,353,9,501997
2013-04,418,6410,362,6,455155
2013-05,350,4416,312,6,309137
2013-06,322,4440,302,5,306426
2013-07,302,3608,276,2,245410
2013-08,325,4394,290,2,294457
2013-09,366,5358,317,4,353632
2013-10,520,7388,413,16,480275
2013-11,489,5207,366,22,333260
2013-12,447,6776,367,10,426942
2014-01,480,4940,394,25,306295
2014-02,473,4638,357,13,282948
2014-03,548,5279,430,11,316796
2014-04,503,4351,402,11,256740
2014-05,549,4527,424,14,262577
2014-06,424,3620,332,12,206385
2014-07,465,3408,377,21,190855
2014-08,431,3731,369,4,205252
2014-09,412,3616,351,3,195289
2014-10,540,4586,409,15,243096
2014-11,586,5358,412,22,278625
2014-12,539,4375,411,20,223162
2015-01,501,5232,379,19,261624
2015-02,418,4329,326,11,212131
2015-03,550,3713,424,18,178259
2015-04,484,3774,389,7,177382
2015-05,476,3827,356,13,176053
2015-06,389,3715,321,10,167175
2015-07,429,4202,374,3,184893
2015-08,396,3404,338,3,146406
2015-09,466,4134,378,18,173633
2015-10,547,4427,409,30,181535
2015-11,456,3166,327,27,126644
2015-12,430,3644,306,29,142149
2016-01,403,4079,309,17,155036
2016-02,438,3187,301,14,117937
2016-03,523,3750,314,53,135004
2016-04,564,4929,345,48,172534
2016-05,518,4654,354,18,158248
2016-06,348,3238,257,20,106862
2016-07,335,3050,239,10,97617
2016-08,402,3865,270,20,119832
2016-09,390,4294,270,14,128824
2016-10,419,4392,294,26,127379
2016-11,412,4024,288,26,112678
2016-12,390,3418,294,12,92290
2017-01,427,4343,284,13,112938
2017-02,422,4586,299,17,114673
2017-03,436,4797,265,20,115140
2017-04,374,4148,239,16,95416
2017-05,427,3934,277,17,86561
2017-06,346,3170,237,12,66585
2017-07,335,3798,247,12,75973
2017-08,357,4053,258,18,77012
2017-09,389,3903,276,18,70255
2017-10,422,5007,284,23,85129
2017-11,468,4628,344,35,74062
2017-12,375,4547,245,34,68216
2018-01,349,4479,230,37,62706
2018-02,334,4208,228,18,54713
2018-03,453,5255,285,25,63071
2018-04,393,4707,254,29,51777
2018-05,334,5399,233,17,53993
2018-06,314,3986,204,20,35878
2018-07,280,4278,188,21,34224
2018-08,280,4838,162,23,33870
2018-09,302,5651,200,31,33911
2018-10,372,6942,206,62,34710
2018-11,347,7417,203,46,29671
2018-12,329,8546,202,43,25640
2019-01,300,11693,183,41,23387
2019-02,277,20925,177,36,20925
