date,count,normalized viewcount,positive,negative,total viewcount
2008-08,111,33929,108,0,4309083
2008-09,328,194247,299,4,24475167
2008-10,330,124423,293,5,15552970
2008-11,326,127857,272,2,15854335
2008-12,305,123096,238,2,15140879
2009-01,408,137458,322,6,16769919
2009-02,474,141464,360,8,17117256
2009-03,520,100010,395,4,12001250
2009-04,521,123853,383,3,14738562
2009-05,669,166867,467,8,19690393
2009-06,748,171549,540,8,20071308
2009-07,960,162733,664,20,18877115
2009-08,973,162094,638,18,18640919
2009-09,916,105246,591,21,11998081
2009-10,973,146010,619,19,16499206
2009-11,1093,130361,660,20,14600541
2009-12,1122,152651,690,25,16944303
2010-01,1394,167514,959,30,18426642
2010-02,1279,133485,923,26,14549933
2010-03,1438,128446,993,25,13872239
2010-04,1446,167434,968,26,17915446
2010-05,1488,225446,1003,24,23897359
2010-06,1634,177692,1104,28,18657672
2010-07,1969,158712,1256,41,16506093
2010-08,2016,188662,1230,43,19432280
2010-09,1893,156653,1232,37,15978649
2010-10,1870,146309,1134,43,14777247
2010-11,2128,231408,1316,41,23140895
2010-12,2373,235971,1401,49,23361190
2011-01,2733,302920,1595,67,29686188
2011-02,2646,281269,1532,51,27283143
2011-03,3545,369482,1997,73,35470301
2011-04,3216,333609,1806,56,31692925
2011-05,3428,292603,2092,80,27504707
2011-06,3524,288541,2086,122,26834364
2011-07,3837,270071,2167,130,24846534
2011-08,3974,304319,2277,144,27693101
2011-09,3664,252582,2053,152,22732452
2011-10,3673,215427,1995,159,19173052
2011-11,3901,228182,2175,149,20080082
2011-12,3782,309053,2073,181,26887634
2012-01,4328,363126,2387,222,31228902
2012-02,4645,311666,2384,257,26491677
2012-03,4832,391149,2402,245,32856559
2012-04,4825,301555,2411,264,25029119
2012-05,5218,392293,2650,282,32168068
2012-06,5154,334827,2621,297,27121031
2012-07,5943,326514,2828,386,26121156
2012-08,5916,367260,2864,380,29013591
2012-09,5451,301924,2595,376,23550105
2012-10,5714,287416,2861,383,22131089
2012-11,5903,264549,2941,424,20105761
2012-12,5811,304852,2904,483,22863918
2013-01,6664,393034,2928,498,29084571
2013-02,6514,321771,2795,478,23489312
2013-03,7575,438805,3323,628,31593989
2013-04,7523,430263,3162,643,30548719
2013-05,7287,410367,3086,624,28725722
2013-06,7240,413392,2979,644,28524115
2013-07,8445,474093,3313,736,32238339
2013-08,8619,528197,3606,706,35389235
2013-09,9147,547438,3706,696,36130942
2013-10,9958,516126,3708,751,33548211
2013-11,9376,404005,3417,788,25856383
2013-12,9384,388539,3614,786,24478017
2014-01,11270,464106,4085,965,28774625
2014-02,10858,331256,3746,901,20206661
2014-03,11859,421543,4101,930,25292621
2014-04,11232,306790,3626,989,18100627
2014-05,10249,264632,3268,1352,15348678
2014-06,9092,229397,2872,1182,13075645
2014-07,9983,263710,3359,1172,14767788
2014-08,9271,234081,3076,1114,12874460
2014-09,8990,244696,2936,1071,13213618
2014-10,9299,201566,2985,1042,10682999
2014-11,9000,209525,2911,1034,10895322
2014-12,8297,183845,3103,1066,9376102
2015-01,9184,220846,3109,1165,11042315
2015-02,9149,218277,3045,1123,10695575
2015-03,10239,212009,3453,1140,10176456
2015-04,10172,240135,3974,1162,11286383
2015-05,10539,228183,4705,1120,10496460
2015-06,10610,219224,4532,1108,9865089
2015-07,10972,221061,4609,1086,9726718
2015-08,10162,209681,4111,1047,9016319
2015-09,9914,197000,4186,1040,8274023
2015-10,10006,176483,4164,1043,7235835
2015-11,9609,182078,3887,982,7283141
2015-12,9566,180843,4103,1054,7052884
2016-01,9876,191322,4126,1127,7270249
2016-02,10265,199621,4167,1184,7385990
2016-03,10626,206619,3957,1177,7438296
2016-04,10390,173857,3887,1185,6085014
2016-05,10413,210242,3993,1166,7148246
2016-06,9865,196005,3418,1218,6468180
2016-07,9853,192884,3510,1191,6172301
2016-08,10171,187501,3850,1235,5812541
2016-09,9117,180904,3268,1238,5427125
2016-10,9172,177266,3143,1167,5140721
2016-11,9278,172743,3322,1147,4836817
2016-12,8796,186635,3314,1084,5039165
2017-01,9554,198886,3333,1177,5171051
2017-02,9741,206439,3423,1139,5160996
2017-03,10769,201399,3586,1286,4833595
2017-04,9575,173895,3044,1184,3999606
2017-05,9936,184639,2943,1339,4062063
2017-06,9471,168545,2936,1285,3539449
2017-07,9455,174698,3182,1239,3493962
2017-08,9326,169415,3211,1238,3218892
2017-09,7979,129097,2547,1095,2323748
2017-10,8378,129707,2595,1220,2205035
2017-11,8374,130252,2420,1285,2084040
2017-12,7121,116968,2185,1141,1754520
2018-01,7699,155670,2372,1126,2179384
2018-02,7112,127816,1992,1073,1661610
2018-03,8512,117828,2325,1233,1413943
2018-04,8034,109166,2184,1105,1200829
2018-05,8126,110638,2389,931,1106385
2018-06,7557,111582,2173,945,1004238
2018-07,7935,109396,2081,1077,875170
2018-08,7609,99370,2130,972,695591
2018-09,6857,87694,1945,790,526165
2018-10,7505,95869,2050,926,479349
2018-11,6766,96191,1871,835,384765
2018-12,6217,101877,1771,752,305632
2019-01,6926,147744,1789,910,295489
2019-02,7475,275589,1789,1462,275589
