date,count,normalized viewcount,positive,negative,total viewcount
2008-08,161,82668,161,0,10498919
2008-09,639,396636,583,4,49976146
2008-10,726,414972,645,6,51871599
2008-11,579,201917,493,3,25037791
2008-12,627,202237,504,7,24875235
2009-01,792,301253,625,8,36752982
2009-02,949,323447,733,9,39137113
2009-03,1005,223014,753,11,26761779
2009-04,1049,236085,800,9,28094137
2009-05,1431,323169,1049,14,38133984
2009-06,1557,407400,1109,22,47665905
2009-07,1750,405681,1226,26,47058999
2009-08,1858,345990,1267,20,39788861
2009-09,1748,223151,1139,22,25439214
2009-10,2041,256173,1244,37,28947625
2009-11,2228,260307,1369,45,29154454
2009-12,2304,256650,1444,38,28488225
2010-01,2618,295848,1829,48,32543281
2010-02,2633,278738,1950,29,30382476
2010-03,2985,304076,2101,50,32840211
2010-04,3003,289593,2096,46,30986534
2010-05,3214,263948,2211,38,27978537
2010-06,3464,313699,2387,43,32938465
2010-07,3864,296367,2616,54,30822254
2010-08,3994,427622,2686,60,44045150
2010-09,3992,314208,2663,53,32049306
2010-10,4122,364703,2675,54,36835076
2010-11,4541,404987,2927,68,40498752
2010-12,4953,408299,3210,74,40421671
2011-01,5454,526925,3470,84,51638721
2011-02,5615,522594,3525,75,50691701
2011-03,6778,563674,4089,106,54112768
2011-04,6916,670271,4124,104,63675763
2011-05,7326,562331,4657,147,52859181
2011-06,7708,511047,4746,206,47527425
2011-07,8131,505822,4841,256,46535692
2011-08,8933,570905,5305,262,51952407
2011-09,8230,548271,4805,257,49344466
2011-10,8070,467652,4714,288,41621054
2011-11,8717,479739,5217,316,42217063
2011-12,8366,503888,5095,281,43838285
2012-01,9639,580906,5836,330,49957986
2012-02,10057,608849,5684,429,51752169
2012-03,10774,685117,5989,467,57549856
2012-04,10750,634935,6004,445,52699631
2012-05,11596,742203,6321,507,60860676
2012-06,11312,636782,6290,495,51579387
2012-07,12397,646146,6454,632,51691692
2012-08,12485,633203,6600,613,50023053
2012-09,11198,532526,6005,552,41537040
2012-10,12459,549707,6802,681,42327474
2012-11,12372,575022,6916,665,43701736
2012-12,11769,571661,6631,673,42874634
2013-01,13877,737126,7179,826,54547373
2013-02,13835,674753,6917,783,49256983
2013-03,15444,742309,7706,948,53446255
2013-04,15478,779417,7503,909,55338637
2013-05,15147,698724,7438,989,48910690
2013-06,14700,629052,6982,918,43404609
2013-07,16949,769198,7979,1148,52305476
2013-08,16933,754220,7958,1094,50532787
2013-09,17847,845810,7894,1072,55823486
2013-10,19876,898935,8511,1231,58430793
2013-11,18627,750628,7648,1193,48040251
2013-12,18143,640658,8096,1229,40361485
2014-01,21262,787057,8803,1317,48797594
2014-02,21315,692425,8697,1327,42237965
2014-03,22857,694796,9027,1419,41687794
2014-04,21627,601215,8166,1477,35471685
2014-05,19982,562798,7484,1796,32642306
2014-06,18485,487158,7117,1835,27768014
2014-07,20313,549601,7870,1753,30777704
2014-08,18630,476520,6994,1649,26208601
2014-09,18267,473337,6635,1570,25560202
2014-10,19068,436406,6964,1641,23129551
2014-11,18128,399797,6797,1541,20789462
2014-12,17141,420540,7024,1642,21447567
2015-01,18670,528122,7353,1772,26406140
2015-02,18779,494263,7383,1663,24218909
2015-03,20665,504981,8040,1744,24239112
2015-04,21040,600029,9404,1832,28201393
2015-05,22285,561824,10574,1881,25843911
2015-06,22730,561075,10290,1969,25248408
2015-07,24118,554987,10780,1973,24419450
2015-08,22260,504206,9753,1809,21680899
2015-09,21546,506621,9729,1834,21278122
2015-10,21948,493417,9770,1932,20230110
2015-11,21394,493321,9477,1795,19732866
2015-12,21209,479177,9901,1845,18687926
2016-01,22656,544138,10124,2042,20677246
2016-02,22599,584654,9908,1992,21632201
2016-03,24233,557608,10095,2120,20073901
2016-04,23579,537319,9821,2046,18806173
2016-05,23126,561298,9730,2072,19084157
2016-06,22293,558750,8737,2151,18438764
2016-07,22313,507333,8829,2170,16234658
2016-08,22801,553632,9430,2176,17162613
2016-09,20558,472893,8209,2070,14186803
2016-10,20572,483325,7846,1973,14016435
2016-11,20645,500513,8243,1996,14014391
2016-12,19920,488021,8335,1874,13176581
2017-01,21523,546782,8556,1943,14216348
2017-02,21284,537250,8390,1946,13431261
2017-03,23822,625998,9053,2221,15023960
2017-04,21369,537722,7954,2026,12367612
2017-05,22521,514875,7986,2217,11327269
2017-06,21699,500336,7778,2202,10507057
2017-07,21742,495136,8067,2223,9902723
2017-08,21496,452946,8344,2339,8605982
2017-09,19126,398160,6973,2037,7166886
2017-10,20016,435596,6958,2138,7405141
2017-11,19557,390435,6798,2208,6246963
2017-12,17129,346169,6180,2043,5192538
2018-01,19109,424762,6688,2114,5946671
2018-02,17554,358885,5735,2015,4665505
2018-03,21362,369349,6369,2290,4432188
2018-04,20172,375289,6443,2023,4128188
2018-05,20347,366511,6594,1794,3665112
2018-06,19562,388020,5839,1936,3492184
2018-07,20026,370501,6347,1995,2964008
2018-08,20134,333630,6304,1993,2335414
2018-09,18115,306928,5458,1677,1841572
2018-10,19781,315422,5815,1923,1577114
2018-11,18501,319291,5420,1784,1277165
2018-12,16292,321925,4859,1632,965776
2019-01,18280,416523,4977,1925,833047
2019-02,19539,756685,5018,3145,756685
