date,count,viewcount,positive,negative
2008-08,28,2408047,28,0
2008-09,137,8957896,127,2
2008-10,259,23361986,236,1
2008-11,263,14347962,223,0
2008-12,263,10993183,219,0
2009-01,383,22532508,317,2
2009-02,506,23999476,386,5
2009-03,573,12148784,423,2
2009-04,703,15046572,532,5
2009-05,951,24332207,660,8
2009-06,1167,22565828,813,12
2009-07,1390,24405964,971,11
2009-08,1626,29232898,1093,19
2009-09,1642,23367811,992,26
2009-10,1802,20998739,1051,15
2009-11,1831,16629226,1029,29
2009-12,1903,22972043,1103,28
2010-01,2341,22665383,1561,27
2010-02,2339,27270348,1650,22
2010-03,2911,25626478,1953,38
2010-04,2761,21713624,1872,32
2010-05,2782,21671424,1833,34
2010-06,3082,20411468,2013,29
2010-07,3524,24272054,2257,40
2010-08,3795,30216421,2470,44
2010-09,3676,24375675,2315,38
2010-10,3774,22561469,2260,40
2010-11,4070,32544996,2518,43
2010-12,4250,25062614,2626,55
2011-01,4925,37620531,2963,68
2011-02,5070,33422666,2941,44
2011-03,6294,42749731,3362,64
2011-04,6231,38887719,3445,79
2011-05,6625,36314604,3944,68
2011-06,6635,32441724,3749,150
2011-07,7305,33810688,3996,187
2011-08,7788,36966562,4318,191
2011-09,7176,30324340,3887,218
2011-10,7197,29263532,3894,209
2011-11,7541,30077806,4321,221
2011-12,7459,32144343,4182,241
2012-01,8266,36369971,4574,256
2012-02,8958,35833347,4668,339
2012-03,9318,37937647,4577,341
2012-04,9011,32812502,4549,332
2012-05,9802,40328137,4987,385
2012-06,9498,37122097,4833,350
2012-07,10208,32782741,4837,435
2012-08,10390,32317348,4904,450
2012-09,9250,29340687,4514,413
2012-10,10287,29600519,5049,558
2012-11,10170,32024057,5101,471
2012-12,9367,26125684,4856,514
2013-01,11103,30636860,5119,660
2013-02,10868,33087969,4841,575
2013-03,12389,36020240,5686,734
2013-04,12198,33949801,5264,678
2013-05,11857,34447915,5190,701
2013-06,11577,31045573,4768,703
2013-07,12829,35385957,5055,929
2013-08,12845,34158085,5164,858
2013-09,13027,36748846,5049,867
2013-10,13856,37687245,5256,825
2013-11,12485,31245781,4389,803
2013-12,12120,22605155,4632,874
2014-01,13867,25060169,4809,928
2014-02,13673,23478684,4695,930
2014-03,14456,23388567,4888,1010
2014-04,13678,18718309,4337,1007
2014-05,12382,17831250,3926,1254
2014-06,11352,14580617,3828,1207
2014-07,12156,17154638,4018,1181
2014-08,11271,14721392,3487,1058
2014-09,10939,12284779,3166,1040
2014-10,10871,11038420,3305,1001
2014-11,10270,10273321,3175,950
2014-12,9385,10164916,3414,985
2015-01,9990,11158167,3356,1021
2015-02,10077,10788672,3358,986
2015-03,11257,10943361,3884,955
2015-04,11116,11191908,4404,1047
2015-05,11406,10910317,4920,1021
2015-06,11538,9827242,4771,1070
2015-07,11721,9503915,4766,1048
2015-08,11014,8328184,4299,945
2015-09,10608,8425388,4361,946
2015-10,10656,7273313,4466,964
2015-11,9811,6537255,4052,869
2015-12,9636,5881446,4017,940
2016-01,10188,6351077,4063,1046
2016-02,10300,6591263,4095,964
2016-03,10433,5999250,3942,981
2016-04,10046,5632413,3769,857
2016-05,9931,6156474,3672,899
2016-06,9135,5677564,3004,961
2016-07,9396,4937031,3288,989
2016-08,9467,5377702,3516,965
2016-09,8553,3969322,3051,930
2016-10,8275,3584858,2614,833
2016-11,8362,3599444,2885,844
2016-12,8152,3558937,3079,781
2017-01,8436,4132373,2959,826
2017-02,8408,3628815,2844,830
2017-03,9413,3815890,3005,922
2017-04,8141,3140484,2544,798
2017-05,8542,2910405,2414,925
2017-06,8136,2494331,2396,900
2017-07,7899,2415594,2503,861
2017-08,7831,2315136,2651,982
2017-09,6813,1927539,2016,807
2017-10,6840,1880813,1953,802
2017-11,6713,1521253,1915,821
2017-12,5680,1152508,1817,668
2018-01,6090,1136089,1740,777
2018-02,5283,873413,1482,656
2018-03,6249,815401,1624,690
2018-04,5586,721431,1480,610
2018-05,5542,647317,1470,573
2018-06,5135,701515,1252,570
2018-07,5253,515833,1299,601
2018-08,5309,418761,1414,553
2018-09,4544,319359,1240,512
2018-10,4775,289399,1188,499
2018-11,4358,227783,1091,451
2018-12,3752,182177,911,414
2019-01,4183,168526,936,469
2019-02,4381,152391,960,786
