date,count,normalized viewcount,positive,negative,total viewcount
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,1,34,1,0,2926
2012-04,3,426,3,0,35436
2012-05,1,72,1,0,5962
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,1,15,1,0,1189
2012-10,0,0,0,0,0
2012-11,1,13,1,0,1058
2012-12,1,24,1,0,1836
2013-01,7,222,7,0,16455
2013-02,1,174,1,0,12720
2013-03,3,144,3,0,10428
2013-04,2,15,2,0,1077
2013-05,3,125,2,0,8770
2013-06,6,250,6,0,17294
2013-07,7,299,7,0,20335
2013-08,4,33,4,0,2233
2013-09,6,73,5,0,4855
2013-10,12,671,9,0,43639
2013-11,12,480,10,0,30744
2013-12,18,740,15,0,46668
2014-01,28,843,24,0,52287
2014-02,40,1277,34,0,77930
2014-03,48,1682,40,0,100936
2014-04,38,731,30,1,43159
2014-05,38,957,36,0,55528
2014-06,42,1313,34,0,74896
2014-07,63,1867,58,0,104602
2014-08,45,857,41,0,47143
2014-09,51,816,42,0,44095
2014-10,50,1212,41,1,64288
2014-11,58,1064,49,1,55369
2014-12,42,623,38,0,31811
2015-01,49,1136,45,1,56843
2015-02,61,1384,57,0,67848
2015-03,72,1112,55,6,53411
2015-04,55,979,45,1,46013
2015-05,74,1351,66,1,62148
2015-06,73,1123,64,1,50555
2015-07,61,1056,54,0,46506
2015-08,56,525,42,1,22612
2015-09,65,780,60,1,32766
2015-10,85,1769,68,3,72552
2015-11,76,1202,60,1,48109
2015-12,61,865,48,2,33737
2016-01,75,1480,63,2,56263
2016-02,94,2701,84,0,99958
2016-03,87,1543,80,0,55555
2016-04,94,1666,86,0,58324
2016-05,101,1659,84,3,56406
2016-06,86,1395,75,2,46054
2016-07,100,1097,84,5,35122
2016-08,91,1442,87,1,44718
2016-09,106,2030,98,3,60910
2016-10,97,1048,77,2,30409
2016-11,94,1639,65,1,45907
2016-12,76,1103,60,1,29791
2017-01,91,1616,69,1,42036
2017-02,76,954,65,2,23868
2017-03,96,1596,85,0,38319
2017-04,79,960,68,1,22084
2017-05,90,1138,76,0,25036
2017-06,100,1682,72,1,35336
2017-07,91,1580,71,1,31612
2017-08,81,948,49,1,18026
2017-09,94,1447,66,1,26056
2017-10,104,1806,68,2,30706
2017-11,104,1321,75,0,21138
2017-12,73,944,50,3,14163
2018-01,94,1430,65,2,20032
2018-02,86,1420,60,2,18466
2018-03,83,1225,48,4,14711
2018-04,105,1728,49,2,19012
2018-05,78,1074,51,1,10744
2018-06,115,2586,60,5,23281
2018-07,68,1462,39,0,11697
2018-08,159,4274,95,2,29918
2018-09,149,3155,89,3,18932
2018-10,135,2622,60,2,13113
2018-11,101,1880,58,2,7523
2018-12,80,1740,41,2,5221
2019-01,90,2393,45,0,4786
2019-02,100,5089,50,4,5089
