date,count,normalized viewcount,positive,negative,total viewcount
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,1,1690,1,0,174073
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,1,2890,1,0,286178
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,1,2207,1,0,196508
2011-11,0,0,0,0,0
2011-12,2,85,2,0,7398
2012-01,0,0,0,0,0
2012-02,3,168,3,0,14347
2012-03,2,186,2,0,15667
2012-04,2,140,2,0,11660
2012-05,1,11,1,0,957
2012-06,0,0,0,0,0
2012-07,1,62,1,0,5002
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,1,166,1,0,12804
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,1,29,1,0,2195
2013-02,2,311,2,0,22775
2013-03,0,0,0,0,0
2013-04,3,534,3,0,37926
2013-05,1,554,1,0,38786
2013-06,1,59,1,0,4113
2013-07,1,359,1,0,24460
2013-08,1,452,1,0,30342
2013-09,0,0,0,0,0
2013-10,2,1330,2,0,86472
2013-11,1,62,1,0,4010
2013-12,5,1426,5,0,89844
2014-01,1,7,1,0,452
2014-02,2,26,2,0,1603
2014-03,2,219,2,0,13177
2014-04,3,7316,3,0,431697
2014-05,5,125,4,0,7268
2014-06,2,26,2,0,1517
2014-07,3,47,2,0,2636
2014-08,4,58,2,0,3227
2014-09,13,374,12,0,20196
2014-10,19,1823,16,0,96653
2014-11,8,671,7,0,34902
2014-12,13,1120,12,0,57142
2015-01,17,1026,14,1,51341
2015-02,32,2211,30,0,108351
2015-03,24,1537,21,0,73808
2015-04,31,2459,24,0,115588
2015-05,18,1117,18,0,51404
2015-06,31,2396,28,0,107832
2015-07,28,5479,26,0,241106
2015-08,19,1046,14,1,45018
2015-09,18,2605,16,0,109445
2015-10,58,10986,52,0,450459
2015-11,81,6532,71,2,261287
2015-12,71,9573,64,0,373379
2016-01,89,10643,85,2,404444
2016-02,128,10536,115,2,389849
2016-03,133,8719,123,4,313901
2016-04,103,10017,95,0,350611
2016-05,103,10023,89,1,340785
2016-06,103,12756,88,1,420959
2016-07,82,6152,75,2,196885
2016-08,85,5079,68,1,157470
2016-09,107,7710,86,0,231303
2016-10,110,6505,98,2,188650
2016-11,135,15964,104,2,447018
2016-12,106,5478,85,3,147910
2017-01,144,11622,114,1,302195
2017-02,122,6518,95,2,162954
2017-03,181,15633,145,2,375211
2017-04,144,10425,111,0,239781
2017-05,386,59902,295,13,1317854
2017-06,557,45371,405,24,952798
2017-07,520,41733,341,41,834661
2017-08,572,34873,412,26,662592
2017-09,498,27532,306,46,495593
2017-10,599,37550,360,43,638350
2017-11,707,42951,455,46,687219
2017-12,587,32831,358,38,492465
2018-01,657,34008,394,38,476123
2018-02,643,28220,344,39,366865
2018-03,852,49492,425,45,593904
2018-04,854,28096,417,47,309062
2018-05,879,39788,406,74,397887
2018-06,850,33070,418,44,297635
2018-07,969,30119,451,48,240952
2018-08,1008,30595,425,64,214165
2018-09,945,27079,350,65,162478
2018-10,1141,36236,429,54,181182
2018-11,1103,30589,391,67,122359
2018-12,973,24751,336,66,74253
2019-01,1184,32240,401,75,64480
2019-02,1147,46038,325,100,46038
