date,count,normalized viewcount,positive,negative,total viewcount
2008-08,1,64,1,0,8199
2008-09,4,55,3,0,6968
2008-10,3,186,3,0,23322
2008-11,3,70,3,0,8753
2008-12,3,195,3,0,24014
2009-01,0,0,0,0,0
2009-02,4,134,4,0,16238
2009-03,1,16,1,0,1932
2009-04,0,0,0,0,0
2009-05,1,18,1,0,2215
2009-06,1,2,1,0,307
2009-07,2,30,2,0,3541
2009-08,4,608,4,0,69985
2009-09,0,0,0,0,0
2009-10,3,113,2,0,12820
2009-11,1,13,1,0,1534
2009-12,2,82,1,0,9118
2010-01,2,18,1,0,2074
2010-02,2,83,2,0,9058
2010-03,2,27,1,0,2980
2010-04,0,0,0,0,0
2010-05,2,32,1,0,3401
2010-06,3,251,3,0,26415
2010-07,2,60,2,0,6248
2010-08,5,76,3,0,7897
2010-09,4,299,3,0,30570
2010-10,2,53,1,0,5450
2010-11,10,171,7,0,17122
2010-12,3,22,1,0,2189
2011-01,6,212,6,0,20781
2011-02,1,1,0,0,135
2011-03,7,198,4,0,19089
2011-04,1,20,1,0,1970
2011-05,6,78,5,0,7422
2011-06,4,18,2,0,1682
2011-07,2,147,1,0,13536
2011-08,2,27,0,0,2519
2011-09,4,47,3,0,4239
2011-10,3,18,2,0,1641
2011-11,5,86,5,0,7630
2011-12,6,47,3,0,4098
2012-01,9,430,6,0,36980
2012-02,11,213,9,0,18111
2012-03,6,727,3,1,61138
2012-04,11,95,6,0,7894
2012-05,7,164,5,0,13527
2012-06,6,334,4,0,27066
2012-07,7,290,4,1,23263
2012-08,5,23,3,0,1829
2012-09,7,555,3,0,43301
2012-10,1,10,0,0,791
2012-11,5,50,3,0,3821
2012-12,2,16,2,0,1205
2013-01,5,176,3,0,13072
2013-02,8,240,5,0,17534
2013-03,10,370,3,0,26693
2013-04,11,223,2,0,15886
2013-05,9,240,4,1,16843
2013-06,16,606,5,1,41867
2013-07,8,137,4,0,9357
2013-08,6,222,4,0,14905
2013-09,11,360,7,0,23773
2013-10,7,108,1,0,7032
2013-11,13,163,7,1,10493
2013-12,5,94,3,0,5965
2014-01,12,235,6,0,14626
2014-02,9,206,6,0,12612
2014-03,4,214,1,0,12849
2014-04,8,154,4,0,9144
2014-05,10,196,5,1,11369
2014-06,11,158,8,1,9048
2014-07,3,98,2,0,5488
2014-08,5,17,1,0,941
2014-09,21,423,3,1,22889
2014-10,15,222,5,0,11780
2014-11,4,144,2,0,7533
2014-12,10,388,4,2,19809
2015-01,9,139,1,1,6980
2015-02,4,61,2,0,3000
2015-03,9,159,4,0,7644
2015-04,12,170,3,0,8024
2015-05,14,163,6,1,7504
2015-06,16,233,11,1,10500
2015-07,22,456,11,2,20085
2015-08,15,271,10,2,11670
2015-09,26,696,13,1,29243
2015-10,18,332,12,0,13639
2015-11,9,169,4,1,6789
2015-12,7,83,5,0,3271
2016-01,8,214,3,0,8156
2016-02,10,132,4,1,4909
2016-03,15,226,8,3,8152
2016-04,19,543,14,1,19010
2016-05,11,372,5,1,12681
2016-06,14,189,7,2,6242
2016-07,16,113,6,1,3647
2016-08,7,131,5,0,4064
2016-09,8,64,4,1,1939
2016-10,13,113,5,2,3293
2016-11,9,106,3,2,2993
2016-12,13,258,3,2,6983
2017-01,15,202,4,1,5253
2017-02,11,233,5,0,5828
2017-03,15,257,6,1,6179
2017-04,8,266,4,1,6129
2017-05,10,145,2,0,3194
2017-06,11,322,3,1,6781
2017-07,13,153,3,0,3074
2017-08,5,23,1,0,452
2017-09,7,143,4,0,2581
2017-10,9,132,4,2,2246
2017-11,10,195,6,0,3129
2017-12,13,207,7,0,3114
2018-01,15,345,6,2,4839
2018-02,17,297,5,1,3862
2018-03,13,241,10,0,2898
2018-04,11,282,2,2,3106
2018-05,21,303,10,1,3039
2018-06,12,192,4,1,1733
2018-07,13,137,5,1,1100
2018-08,8,140,5,1,983
2018-09,9,98,1,0,593
2018-10,10,153,3,0,765
2018-11,12,232,9,2,931
2018-12,9,173,7,1,520
2019-01,20,448,9,1,897
2019-02,8,306,3,1,306
