date,count,normalized viewcount,positive,negative,total viewcount
2008-08,9,783,9,0,99499
2008-09,41,2679,41,0,337663
2008-10,22,1836,22,0,229598
2008-11,19,1035,19,0,128401
2008-12,18,1235,18,0,151909
2009-01,23,855,23,0,104352
2009-02,22,1582,22,0,191428
2009-03,18,945,18,0,113420
2009-04,19,1038,19,0,123555
2009-05,8,275,8,0,32502
2009-06,35,1402,35,0,164097
2009-07,31,698,31,0,81065
2009-08,24,706,24,0,81258
2009-09,30,940,30,0,107191
2009-10,29,926,29,0,104655
2009-11,34,633,34,0,70921
2009-12,37,1064,35,0,118114
2010-01,34,1304,34,0,143462
2010-02,34,910,32,1,99254
2010-03,29,478,29,0,51662
2010-04,24,1197,24,0,128154
2010-05,24,780,24,0,82782
2010-06,29,650,29,0,68311
2010-07,43,1234,43,0,128351
2010-08,53,1228,53,0,126526
2010-09,56,1313,55,0,133961
2010-10,59,1164,57,0,117661
2010-11,71,1349,70,0,134959
2010-12,54,1062,52,0,105163
2011-01,44,954,43,0,93523
2011-02,60,1288,56,0,124977
2011-03,62,1902,55,0,182610
2011-04,54,1120,43,2,106466
2011-05,51,1869,48,0,175718
2011-06,47,1105,45,0,102829
2011-07,27,460,25,0,42374
2011-08,30,650,28,0,59187
2011-09,53,881,50,0,79371
2011-10,45,572,42,0,50921
2011-11,61,765,53,1,67393
2011-12,71,1063,63,3,92524
2012-01,60,1102,54,0,94808
2012-02,77,1751,60,2,148899
2012-03,62,1164,55,1,97826
2012-04,58,891,53,2,73991
2012-05,54,872,46,2,71582
2012-06,51,930,47,0,75358
2012-07,59,909,51,2,72774
2012-08,40,471,38,0,37265
2012-09,62,1121,49,3,87448
2012-10,66,574,48,4,44216
2012-11,84,1127,60,8,85653
2012-12,55,524,44,2,39350
2013-01,41,354,28,1,26202
2013-02,59,490,47,1,35827
2013-03,58,1686,48,6,121438
2013-04,82,1351,63,5,95948
2013-05,68,1039,54,5,72771
2013-06,57,880,46,2,60760
2013-07,57,729,51,0,49612
2013-08,52,618,44,0,41428
2013-09,59,1004,40,3,66323
2013-10,87,1324,60,6,86080
2013-11,103,1676,61,8,107265
2013-12,68,612,44,6,38588
2014-01,54,408,41,1,25313
2014-02,38,328,24,2,20045
2014-03,61,461,41,3,27697
2014-04,52,752,28,9,44414
2014-05,47,464,27,5,26960
2014-06,44,358,29,3,20455
2014-07,36,397,27,3,22237
2014-08,32,369,25,3,20345
2014-09,51,492,33,6,26616
2014-10,52,653,35,3,34635
2014-11,80,639,48,7,33254
2014-12,55,393,23,4,20061
2015-01,46,492,25,4,24627
2015-02,48,373,30,3,18319
2015-03,59,425,33,10,20415
2015-04,55,1051,39,7,49435
2015-05,43,493,26,7,22680
2015-06,29,219,17,1,9878
2015-07,38,452,28,1,19931
2015-08,31,357,21,3,15389
2015-09,33,277,20,2,11659
2015-10,63,548,35,6,22493
2015-11,62,392,31,10,15719
2015-12,49,748,32,6,29209
2016-01,56,432,34,8,16418
2016-02,63,515,34,6,19061
2016-03,59,1120,30,10,40340
2016-04,54,889,26,7,31134
2016-05,48,679,33,3,23106
2016-06,28,237,17,1,7853
2016-07,48,420,24,15,13469
2016-08,35,216,25,3,6709
2016-09,35,281,22,2,8459
2016-10,61,579,22,4,16817
2016-11,66,644,28,3,18042
2016-12,58,425,28,6,11488
2017-01,47,369,26,4,9599
2017-02,54,711,31,4,17788
2017-03,45,375,15,7,9003
2017-04,56,407,18,6,9371
2017-05,32,310,18,4,6836
2017-06,31,269,12,2,5667
2017-07,30,362,20,0,7244
2017-08,17,140,10,2,2675
2017-09,25,207,12,4,3732
2017-10,47,429,17,11,7304
2017-11,34,301,18,4,4830
2017-12,34,573,17,1,8601
2018-01,42,549,25,5,7699
2018-02,27,360,16,2,4692
2018-03,39,381,22,0,4573
2018-04,27,321,15,3,3536
2018-05,24,282,11,4,2820
2018-06,25,356,16,3,3211
2018-07,20,347,15,0,2779
2018-08,19,263,11,1,1847
2018-09,21,265,18,1,1593
2018-10,42,773,31,1,3869
2018-11,24,575,16,1,2300
2018-12,33,789,22,2,2367
2019-01,27,1165,22,1,2330
2019-02,38,2195,25,3,2195
