date,count,normalized viewcount,positive,negative,total viewcount
2008-08,1,16,1,0,2068
2008-09,11,783,11,0,98716
2008-10,12,846,12,0,105750
2008-11,9,269,8,0,33467
2008-12,6,203,6,0,25028
2009-01,9,985,9,0,120178
2009-02,18,596,16,0,72156
2009-03,7,1523,7,0,182811
2009-04,8,538,7,0,64094
2009-05,18,995,17,0,117429
2009-06,24,2169,18,0,253857
2009-07,17,991,17,0,115062
2009-08,31,2676,26,0,307792
2009-09,27,3604,24,0,410956
2009-10,16,532,14,0,60184
2009-11,29,2444,24,0,273785
2009-12,25,600,24,0,66611
2010-01,23,1366,20,0,150310
2010-02,22,1495,18,1,162962
2010-03,30,1037,29,0,112096
2010-04,36,3132,32,0,335192
2010-05,65,3453,52,0,366103
2010-06,42,1332,36,0,139925
2010-07,34,1037,28,0,107910
2010-08,41,2321,34,1,239065
2010-09,41,689,30,1,70327
2010-10,39,1003,32,0,101356
2010-11,38,1933,27,0,193333
2010-12,56,1948,50,0,192862
2011-01,58,1563,47,0,153234
2011-02,75,4684,63,1,454393
2011-03,66,3715,53,1,356654
2011-04,78,3141,60,2,298423
2011-05,111,5959,89,0,560235
2011-06,92,2514,77,1,233815
2011-07,83,3043,60,1,279999
2011-08,83,4051,62,2,368679
2011-09,76,2954,45,4,265912
2011-10,62,1562,47,3,139062
2011-11,62,1624,48,0,142924
2011-12,82,2243,64,3,195181
2012-01,90,3834,68,2,329724
2012-02,103,5314,77,2,451749
2012-03,84,3991,58,0,335321
2012-04,110,3816,74,1,316787
2012-05,126,3886,77,0,318664
2012-06,115,6417,75,4,519806
2012-07,144,4070,96,5,325664
2012-08,134,4108,91,5,324602
2012-09,122,3970,88,3,309717
2012-10,100,3823,70,5,294420
2012-11,90,1915,66,2,145592
2012-12,76,2014,55,3,151118
2013-01,126,2199,88,3,162791
2013-02,117,2214,73,7,161623
2013-03,172,4794,118,3,345183
2013-04,177,4198,100,6,298088
2013-05,180,3674,124,7,257214
2013-06,156,3273,106,7,225837
2013-07,200,4986,123,7,339114
2013-08,187,6635,144,4,444591
2013-09,179,3652,136,7,241051
2013-10,200,5403,150,3,351247
2013-11,198,6433,151,4,411712
2013-12,188,4587,136,5,288989
2014-01,182,2861,115,7,177391
2014-02,225,3230,145,9,197089
2014-03,231,3989,150,4,239346
2014-04,229,4186,144,13,246993
2014-05,232,2725,147,11,158073
2014-06,203,2584,123,14,147342
2014-07,195,3576,119,14,200290
2014-08,194,2467,127,12,135713
2014-09,170,1487,107,7,80305
2014-10,192,3466,113,13,183746
2014-11,153,1806,90,8,93958
2014-12,142,5320,97,6,271364
2015-01,164,2787,107,8,139375
2015-02,175,2584,110,9,126642
2015-03,171,1878,104,9,90179
2015-04,187,2534,114,6,119139
2015-05,167,2742,93,8,126174
2015-06,145,2446,94,6,110111
2015-07,193,3545,112,14,155994
2015-08,162,2411,99,5,103703
2015-09,165,2211,106,6,92900
2015-10,159,2337,99,8,95820
2015-11,150,2746,85,16,109873
2015-12,169,3053,100,8,119071
2016-01,186,2558,110,11,97226
2016-02,173,3121,114,9,115494
2016-03,212,4168,116,8,150080
2016-04,192,2999,121,9,104983
2016-05,189,3235,113,10,110001
2016-06,174,3013,100,8,99446
2016-07,191,2654,95,9,84941
2016-08,171,2054,108,7,63688
2016-09,168,1687,107,11,50639
2016-10,139,2033,84,7,58981
2016-11,171,2509,98,11,70263
2016-12,147,2243,84,8,60579
2017-01,165,2836,98,8,73750
2017-02,146,2613,82,4,65333
2017-03,161,2555,91,6,61338
2017-04,192,2651,100,7,60984
2017-05,163,2248,91,7,49472
2017-06,133,1971,70,6,41398
2017-07,148,2280,82,7,45615
2017-08,125,1560,62,8,29643
2017-09,121,2020,68,12,36373
2017-10,118,1274,65,3,21673
2017-11,107,1851,54,7,29621
2017-12,117,1941,63,8,29118
2018-01,106,2142,62,4,29996
2018-02,133,1998,70,4,25980
2018-03,159,2076,68,15,24916
2018-04,117,1708,60,10,18794
2018-05,169,2406,82,6,24066
2018-06,151,2534,78,13,22810
2018-07,201,2641,103,17,21129
2018-08,136,1900,73,8,13306
2018-09,124,2168,75,7,13009
2018-10,132,1683,66,5,8418
2018-11,125,2007,55,9,8030
2018-12,119,2161,56,5,6483
2019-01,133,3010,62,6,6021
2019-02,121,4552,54,11,4552
