date,count,normalized viewcount,positive,negative,total viewcount,tiobe rating
2008-08,2,111,2,0,14158,0.239
2008-09,11,1366,11,0,172172,0.255
2008-10,21,5264,21,0,658103,0.404
2008-11,11,909,10,0,112781,0.466
2008-12,13,314,12,0,38724,0.446
2009-01,19,6482,17,0,790836,0.430
2009-02,27,3577,26,0,432857,0.417
2009-03,23,1648,21,0,197879,0.458
2009-04,32,6953,27,1,827446,0.482
2009-05,42,4195,34,1,495059,0.517
2009-06,44,6762,42,0,791181,0.527
2009-07,39,2685,35,2,311547,0.512
2009-08,34,2156,30,0,247998,0.560
2009-09,51,8209,49,0,935844,0.506
2009-10,71,7936,60,3,896838,0.574
2009-11,117,17733,106,5,1986205,0.611
2009-12,101,10898,79,7,1209761,0.580
2010-01,93,11302,73,3,1243293,0.540
2010-02,111,10490,89,6,1143475,0.536
2010-03,123,9934,106,1,1072950,0.661
2010-04,186,16406,138,1,1755446,0.616
2010-05,207,18972,159,2,2011093,0.612
2010-06,146,8966,103,6,941465,0.612
2010-07,152,7092,105,5,737635,0.581
2010-08,140,15671,108,10,1614160,0.581
2010-09,165,10953,118,4,1117227,0.605
2010-10,162,14401,121,6,1454585,0.627
2010-11,156,11023,118,7,1102368,0.636
2010-12,179,10098,145,3,999792,0.605
2011-01,178,14004,141,3,1372415,0.706
2011-02,291,18427,207,7,1787482,0.483
2011-03,431,32591,315,10,3128814,0.452
2011-04,382,20106,256,5,1910125,0.457
2011-05,305,16438,210,6,1545241,0.443
2011-06,313,18972,235,9,1764466,0.476
2011-07,286,17287,213,16,1590442,0.452
2011-08,258,15529,195,10,1413149,0.444
2011-09,267,12844,194,20,1155982,0.543
2011-10,401,20747,284,19,1846543,0.573
2011-11,433,22964,286,13,2020861,0.955
2011-12,389,19264,258,21,1676010,0.536
2012-01,460,23380,346,16,2010746,0.512
2012-02,558,20360,410,16,1730615,0.493
2012-03,579,27680,367,16,2325199,0.456
2012-04,623,23858,371,24,1980255,0.573
2012-05,542,25542,348,20,2094445,0.485
2012-06,524,25770,333,15,2087372,0.563
2012-07,561,25177,330,15,2014211,0.639
2012-08,599,28130,356,21,2222343,0.533
2012-09,553,18550,347,20,1446945,0.563
2012-10,755,32516,536,41,2503773,0.591
2012-11,847,35639,542,40,2708626,0.620
2012-12,673,24017,495,26,1801338,0.608
2013-01,727,28369,503,40,2099337,0.641
2013-02,814,30174,456,53,2202761,0.648
2013-03,999,36266,517,48,2611177,0.613
2013-04,1057,39302,529,62,2790484,0.517
2013-05,1023,33839,544,63,2368784,0.591
2013-06,904,24005,460,69,1656403,0.563
2013-07,997,23054,512,65,1567732,0.680
2013-08,915,25253,531,58,1691954,0.841
2013-09,899,26072,491,79,1720807,0.639
2013-10,1115,29722,558,88,1931965,0.614
2013-11,1208,30557,624,104,1955660,0.656
2013-12,1059,25643,550,91,1615538,0.708
2014-01,1119,22995,549,83,1425696,0.767
2014-02,1243,25986,624,84,1585156,0.641
2014-03,1433,25495,674,97,1529715,0.688
2014-04,1421,23120,651,107,1364123,0.760
2014-05,1262,20159,593,82,1169275,0.711
2014-06,1036,18286,466,95,1042334,0.774
2014-07,1113,17816,570,87,997722,0.781
2014-08,926,17229,461,72,947626,0.733
2014-09,1076,22139,494,69,1195544,0.818
2014-10,1237,19086,573,80,1011578,0.608
2014-11,1239,18809,563,84,978101,0.759
2014-12,1011,17573,414,78,896254,0.867
2015-01,1018,14830,427,75,741543,1.390
2015-02,1195,17611,496,96,862939,1.033
2015-03,1391,21764,615,99,1044695,0.998
2015-04,1532,20649,776,100,970542,1.263
2015-05,1403,15822,666,105,727817,1.283
2015-06,1224,13870,554,89,624186,1.436
2015-07,1130,12286,545,83,540609,1.210
2015-08,1026,11975,445,79,514965,1.232
2015-09,943,10547,440,72,443007,1.181
2015-10,1062,10890,425,117,446528,1.159
2015-11,1124,12933,519,110,517334,1.185
2015-12,879,8491,434,70,331165,1.168
2016-01,935,9428,397,73,358290,1.228
2016-02,1079,10118,470,83,374382,1.091
2016-03,1247,11902,511,79,428481,1.193
2016-04,1125,10346,423,92,362119,1.344
2016-05,1144,9808,455,97,333490,1.287
2016-06,997,10005,419,66,330173,1.447
2016-07,905,8406,374,71,269014,1.558
2016-08,938,8722,354,84,270391,1.538
2016-09,849,7820,338,86,234600,1.826
2016-10,900,8302,338,60,240768,1.619
2016-11,780,7174,277,69,200894,1.967
2016-12,735,5882,283,66,158831,1.818
2017-01,793,8482,327,50,220553,1.578
2017-02,852,8587,352,73,214679,1.723
2017-03,1081,10582,406,85,253977,1.854
2017-04,958,8513,326,73,195815,2.045
2017-05,1000,8353,389,86,183767,2.063
2017-06,803,8553,328,85,179618,1.996
2017-07,732,8011,287,88,160223,2.009
2017-08,723,8166,374,52,155171,1.619
2017-09,580,5425,277,53,97652,1.630
2017-10,703,6075,276,77,103284,1.880
2017-11,753,6578,306,70,105256,1.604
2017-12,505,5278,204,65,79175,1.569
2018-01,583,6153,230,45,86146,1.653
2018-02,552,5701,212,51,74121,1.228
2018-03,692,6496,193,47,77954,1.408
2018-04,713,6500,206,66,71501,1.457
2018-05,642,5621,187,48,56215,0.929
2018-06,534,4670,157,35,42038,0.894
2018-07,540,6575,176,51,52603,1.130
2018-08,473,4899,186,32,34294,1.366
2018-09,495,5413,169,43,32482,1.276
2018-10,605,6536,195,49,32681,1.317
2018-11,595,7686,202,39,30746,1.030
2018-12,496,7615,171,28,22845,1.283
2019-01,484,10317,139,41,20634,1.502
2019-02,534,16767,109,89,16767,1.196
