date,count,normalized viewcount,positive,negative,total viewcount
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,1,67,1,0,7594
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,1,32,1,0,3594
2010-03,6,71,5,0,7718
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,2,16,1,0,1724
2010-07,3,19,2,0,1999
2010-08,9,177,7,0,18324
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,1,36,1,0,3645
2010-12,2,23,2,0,2312
2011-01,0,0,0,0,0
2011-02,3,65,1,0,6369
2011-03,1,4,1,0,439
2011-04,1,14,1,0,1405
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,1,1,0,0,106
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,3,101,3,0,8800
2012-01,4,127,3,0,10937
2012-02,5,63,3,0,5438
2012-03,2,66,1,0,5558
2012-04,4,26,3,0,2193
2012-05,1,4,0,0,384
2012-06,1,15,1,0,1235
2012-07,0,0,0,0,0
2012-08,2,23,1,0,1819
2012-09,2,2,0,0,214
2012-10,0,0,0,0,0
2012-11,6,103,5,0,7851
2012-12,7,52,5,0,3919
2013-01,5,51,2,0,3809
2013-02,3,24,2,0,1793
2013-03,10,138,4,0,9952
2013-04,8,152,6,0,10837
2013-05,1,0,0,0,56
2013-06,5,25,3,0,1784
2013-07,5,29,2,0,1983
2013-08,2,54,2,0,3660
2013-09,5,71,2,0,4706
2013-10,14,130,8,0,8505
2013-11,36,585,30,2,37460
2013-12,32,486,26,0,30676
2014-01,43,433,35,1,26857
2014-02,36,219,35,0,13374
2014-03,48,361,41,0,21707
2014-04,52,293,45,0,17329
2014-05,33,275,27,0,15991
2014-06,36,254,30,0,14494
2014-07,45,303,39,0,16983
2014-08,42,279,33,0,15398
2014-09,45,300,30,1,16204
2014-10,66,460,42,6,24403
2014-11,57,550,42,0,28650
2014-12,48,308,34,5,15730
2015-01,57,326,49,1,16348
2015-02,50,261,33,0,12834
2015-03,44,221,32,1,10612
2015-04,54,382,43,0,17958
2015-05,40,206,32,1,9487
2015-06,42,172,30,1,7754
2015-07,34,263,25,1,11594
2015-08,45,350,39,1,15090
2015-09,50,213,41,0,8964
2015-10,49,278,38,0,11431
2015-11,36,237,33,0,9491
2015-12,48,229,39,1,8944
2016-01,45,360,37,0,13707
2016-02,46,195,32,0,7215
2016-03,48,273,37,3,9842
2016-04,44,295,36,0,10336
2016-05,51,236,35,1,8047
2016-06,32,195,20,0,6453
2016-07,36,184,18,4,5919
2016-08,29,120,22,1,3747
2016-09,14,46,12,0,1405
2016-10,26,190,21,0,5520
2016-11,30,168,13,3,4713
2016-12,20,165,9,0,4474
2017-01,25,150,14,0,3909
2017-02,46,249,17,3,6249
2017-03,60,532,38,2,12773
2017-04,62,376,35,1,8656
2017-05,37,262,16,1,5775
2017-06,42,157,17,0,3298
2017-07,47,289,30,0,5795
2017-08,29,177,18,1,3368
2017-09,19,97,15,0,1759
2017-10,45,261,30,0,4445
2017-11,48,320,30,1,5123
2017-12,40,254,18,1,3810
2018-01,36,196,14,1,2757
2018-02,32,176,21,0,2294
2018-03,49,315,29,1,3789
2018-04,41,216,19,1,2377
2018-05,40,208,19,1,2088
2018-06,51,334,20,1,3014
2018-07,44,288,22,0,2305
2018-08,26,262,6,0,1836
2018-09,19,172,7,0,1036
2018-10,34,247,10,0,1236
2018-11,45,392,6,2,1571
2018-12,31,342,11,0,1027
2019-01,36,624,16,1,1249
2019-02,40,1026,11,3,1026
