date,count,viewcount,positive,negative
2008-08,20,713176,20,0
2008-09,51,1605489,50,0
2008-10,91,3542702,86,0
2008-11,107,1982188,95,0
2008-12,121,1998282,113,0
2009-01,143,3836230,126,0
2009-02,208,5250092,170,0
2009-03,289,3953684,241,2
2009-04,358,5918760,281,3
2009-05,500,5916902,405,11
2009-06,494,6322696,402,5
2009-07,679,6938103,525,8
2009-08,696,5691110,515,5
2009-09,693,6610006,480,11
2009-10,745,4669841,518,11
2009-11,758,4800131,497,21
2009-12,780,3767857,516,11
2010-01,990,5708222,731,13
2010-02,1008,6633383,708,21
2010-03,1128,6329062,754,12
2010-04,1154,5016721,744,15
2010-05,1305,5740408,830,11
2010-06,1436,4671222,858,14
2010-07,1937,7179897,1160,31
2010-08,1876,6655222,1086,18
2010-09,1651,5972118,943,26
2010-10,1737,6805253,1063,15
2010-11,1833,5995612,1057,17
2010-12,1837,6354521,1084,28
2011-01,2184,8980121,1342,24
2011-02,2447,8618864,1425,38
2011-03,3066,11526241,1767,43
2011-04,3257,11384209,1763,55
2011-05,3514,11084667,2033,106
2011-06,3372,10454358,1967,98
2011-07,3739,10695056,2249,113
2011-08,3865,10688420,2184,112
2011-09,3313,8287380,1859,89
2011-10,3286,9922126,1856,116
2011-11,3593,10258768,2001,112
2011-12,3339,7976882,1850,140
2012-01,3787,9846707,2171,155
2012-02,3884,9326459,2175,185
2012-03,3861,9828348,2034,202
2012-04,3949,9449343,2184,138
2012-05,3909,8297329,2155,143
2012-06,3829,8391749,2029,173
2012-07,4337,8546849,2313,164
2012-08,4227,8053127,2078,200
2012-09,3410,8152227,1857,188
2012-10,4141,8146769,2269,160
2012-11,3874,6372285,2093,173
2012-12,3738,5887679,2069,242
2013-01,4105,7899391,2236,263
2013-02,3954,7783605,2087,234
2013-03,4452,8830842,2332,281
2013-04,4103,8099075,2107,262
2013-05,3851,6371393,1828,285
2013-06,3396,6611943,1607,252
2013-07,3789,6470290,1807,290
2013-08,3562,5922601,1809,266
2013-09,3967,10679456,2157,243
2013-10,4479,11133344,2369,277
2013-11,4050,6869481,2037,229
2013-12,4018,6165863,1827,304
2014-01,4425,6537477,1998,338
2014-02,4604,6254212,2103,326
2014-03,5041,5620343,2187,367
2014-04,4691,4551076,1950,313
2014-05,4197,4276809,1788,387
2014-06,3766,8355868,1616,294
2014-07,4205,4209689,1690,366
2014-08,3724,3565687,1525,303
2014-09,3771,6234785,1675,330
2014-10,3707,5161319,1632,300
2014-11,3291,3323750,1362,264
2014-12,3057,2927579,1295,328
2015-01,3016,2734841,1230,296
2015-02,3190,3082602,1322,282
2015-03,3302,2679758,1292,331
2015-04,3396,2865381,1565,318
2015-05,3142,2509818,1429,312
2015-06,3138,2360172,1437,230
2015-07,3330,2930546,1521,281
2015-08,2996,2491669,1371,251
2015-09,2889,2746978,1421,206
2015-10,2843,2436909,1303,239
2015-11,2349,1471957,1014,192
2015-12,2272,1285726,960,216
2016-01,2374,1554838,1008,203
2016-02,2345,1311407,991,228
2016-03,2291,1309133,983,172
2016-04,2228,1087131,896,189
2016-05,2005,1066797,840,169
2016-06,2095,1157805,794,171
2016-07,1882,977402,721,168
2016-08,1827,847322,715,173
2016-09,1689,1148186,744,110
2016-10,1643,847360,634,129
2016-11,1572,678057,630,140
2016-12,1507,630288,635,136
2017-01,1470,602235,574,137
2017-02,1348,611489,549,125
2017-03,1457,515584,540,111
2017-04,1150,438318,436,110
2017-05,1192,492954,451,90
2017-06,1233,405153,416,90
2017-07,1114,339022,417,105
2017-08,998,323287,365,78
2017-09,898,540113,363,76
2017-10,867,257101,346,71
2017-11,815,207378,332,61
2017-12,643,131524,227,46
2018-01,672,118271,230,56
2018-02,607,98624,189,50
2018-03,717,96437,177,49
2018-04,648,91732,170,59
2018-05,668,77531,192,57
2018-06,568,70769,151,53
2018-07,626,53422,146,41
2018-08,560,43587,122,43
2018-09,490,59298,136,36
2018-10,492,32936,126,44
2018-11,396,24771,115,54
2018-12,341,18636,84,30
2019-01,405,17480,89,26
2019-02,403,14595,74,64
