date,count,normalized viewcount,positive,negative,total viewcount
2008-08,28,6487,27,0,823939
2008-09,133,16637,128,1,2096287
2008-10,128,13763,123,3,1720485
2008-11,97,11962,91,1,1483347
2008-12,134,12634,126,1,1553997
2009-01,147,8799,144,1,1073484
2009-02,164,11718,153,3,1417899
2009-03,139,10126,131,3,1215200
2009-04,161,9588,158,0,1141071
2009-05,197,12842,181,1,1515375
2009-06,247,17690,213,3,2069747
2009-07,259,17129,204,11,1987056
2009-08,252,9593,211,10,1103208
2009-09,250,12776,204,11,1456537
2009-10,282,11552,226,14,1305463
2009-11,323,12173,264,12,1363377
2009-12,262,9269,225,5,1028862
2010-01,302,13493,253,14,1484257
2010-02,348,11425,320,6,1245333
2010-03,393,19191,344,15,2072733
2010-04,367,15847,322,6,1695632
2010-05,288,17239,252,4,1827398
2010-06,412,13587,332,12,1426703
2010-07,439,16078,348,20,1672198
2010-08,548,21628,402,24,2227698
2010-09,461,18126,365,40,1848875
2010-10,500,17125,407,17,1729665
2010-11,467,13631,331,20,1363142
2010-12,502,18124,373,13,1794357
2011-01,483,21429,349,14,2100064
2011-02,485,14971,357,14,1452200
2011-03,605,15620,412,17,1499565
2011-04,556,18749,385,13,1781242
2011-05,582,21342,437,15,2006160
2011-06,570,14858,441,21,1381817
2011-07,661,14409,449,34,1325628
2011-08,619,16719,463,45,1521451
2011-09,500,20320,368,27,1828823
2011-10,559,13672,380,28,1216816
2011-11,612,21107,431,29,1857469
2011-12,543,10964,376,46,953946
2012-01,571,13376,391,30,1150345
2012-02,617,13552,413,40,1151943
2012-03,610,16996,404,55,1427690
2012-04,603,16752,361,56,1390421
2012-05,653,20606,455,35,1689704
2012-06,745,19176,528,40,1553301
2012-07,668,15351,499,43,1228158
2012-08,769,20623,463,74,1629252
2012-09,671,16314,432,50,1272510
2012-10,696,17592,427,65,1354650
2012-11,641,13990,444,48,1063313
2012-12,559,15943,374,46,1195746
2013-01,670,12591,369,68,931751
2013-02,761,17446,424,78,1273610
2013-03,866,15340,435,90,1104512
2013-04,856,17187,441,85,1220345
2013-05,922,17231,557,57,1206193
2013-06,852,18634,472,85,1285793
2013-07,987,16415,535,121,1116277
2013-08,855,16340,492,85,1094838
2013-09,707,11984,390,69,790961
2013-10,840,17060,446,78,1108944
2013-11,840,10998,482,52,703917
2013-12,785,10237,413,70,644991
2014-01,825,10532,360,91,652986
2014-02,816,10791,366,69,658294
2014-03,940,10442,426,70,626542
2014-04,844,9125,358,53,538397
2014-05,820,7794,359,106,452060
2014-06,705,6569,337,78,374460
2014-07,755,5405,351,84,302730
2014-08,701,8475,339,80,466176
2014-09,699,5212,347,68,281492
2014-10,659,6158,329,67,326425
2014-11,666,5900,327,69,306822
2014-12,579,4242,319,65,216351
2015-01,606,4870,307,65,243542
2015-02,574,5139,287,89,251819
2015-03,667,5770,296,84,276997
2015-04,589,5095,222,102,239477
2015-05,539,4263,257,108,196113
2015-06,593,4724,244,95,212612
2015-07,591,5201,333,74,228874
2015-08,568,4511,274,101,193991
2015-09,487,5739,232,73,241045
2015-10,517,4533,235,67,185864
2015-11,477,3676,198,71,147050
2015-12,489,4006,213,88,156269
2016-01,464,9359,270,74,355650
2016-02,515,3466,231,97,128277
2016-03,484,3414,217,89,122921
2016-04,507,4175,225,68,146149
2016-05,502,4778,249,64,162467
2016-06,454,4837,225,83,159651
2016-07,441,3826,165,84,122438
2016-08,472,3706,202,90,114901
2016-09,477,4149,273,79,124488
2016-10,419,3710,204,62,107603
2016-11,389,3041,184,65,85171
2016-12,353,4085,158,68,110298
2017-01,348,3670,166,56,95428
2017-02,420,4535,185,63,113394
2017-03,430,3433,189,78,82409
2017-04,377,4025,184,61,92582
2017-05,364,4071,126,111,89563
2017-06,332,2620,104,103,55024
2017-07,340,3538,151,76,70761
2017-08,367,3361,156,86,63871
2017-09,319,2954,149,48,53177
2017-10,346,3855,162,54,65543
2017-11,280,2773,123,59,44370
2017-12,251,2524,117,57,37868
2018-01,255,2436,114,56,34107
2018-02,245,2944,101,57,38275
2018-03,309,3057,133,58,36689
2018-04,269,2810,120,56,30915
2018-05,261,3340,129,39,33400
2018-06,260,3108,104,40,27980
2018-07,264,3016,113,46,24128
2018-08,242,2847,105,46,19933
2018-09,226,2874,95,32,17248
2018-10,302,3930,132,34,19651
2018-11,248,4147,108,39,16588
2018-12,238,4974,107,33,14922
2019-01,279,8944,162,23,17888
2019-02,285,14650,158,48,14650
