date,count,normalized viewcount,positive,negative,total viewcount,tiobe rating
2008-08,162,42540,156,1,5402669,9.349
2008-09,483,138855,441,2,17495849,9.243
2008-10,620,95583,547,6,11947986,8.612
2008-11,504,68970,416,7,8552309,8.940
2008-12,480,89034,388,6,10951227,9.128
2009-01,637,91624,487,11,11178189,8.882
2009-02,770,97036,563,16,11741449,8.779
2009-03,906,98446,662,7,11813589,9.485
2009-04,968,116722,663,13,13890011,9.888
2009-05,1184,122388,835,24,14441787,9.921
2009-06,1581,145355,1062,21,17006536,9.675
2009-07,2036,134805,1368,54,15637409,9.269
2009-08,2190,158638,1462,46,18243404,9.390
2009-09,2270,164157,1389,57,18713953,10.156
2009-10,2369,155096,1374,55,17525849,10.355
2009-11,2693,153487,1610,62,17190561,10.176
2009-12,2832,174790,1646,68,19401765,9.770
2010-01,3446,251762,2273,95,27693902,10.071
2010-02,3171,228215,2140,72,24875441,10.001
2010-03,3759,237868,2435,81,25689789,9.908
2010-04,3658,192114,2360,70,20556222,9.662
2010-05,3997,205833,2553,100,21818397,9.073
2010-06,4102,211401,2639,93,22197155,9.073
2010-07,4617,210916,2785,117,21935288,8.566
2010-08,5163,241231,3185,143,24846846,8.566
2010-09,4707,251421,2905,105,25644965,8.370
2010-10,4537,199788,2675,117,20178640,8.323
2010-11,5132,282526,2923,127,28252643,7.813
2010-12,5411,346504,3098,147,34303958,7.511
2011-01,6464,316212,3681,171,30988801,7.835
2011-02,6755,300261,3801,184,29125373,6.973
2011-03,8174,418374,4551,190,40163988,6.566
2011-04,7711,350614,4396,225,33308422,6.584
2011-05,8151,354740,4954,240,33345606,6.508
2011-06,8096,373475,4890,342,34733264,6.602
2011-07,8765,337322,4896,407,31033676,6.179
2011-08,9006,305538,4707,473,27803981,6.134
2011-09,8146,273643,4022,522,24627915,6.596
2011-10,8145,257237,3874,493,22894138,6.818
2011-11,8766,320871,4411,533,28236670,6.096
2011-12,8417,334540,4341,552,29105028,6.001
2012-01,9410,353010,4708,671,30358915,5.703
2012-02,10057,349331,4903,761,29693180,5.641
2012-03,11038,423133,5397,799,35543228,5.555
2012-04,10549,381690,5203,726,31680284,5.288
2012-05,11060,404319,5277,872,33154191,5.711
2012-06,10686,349893,5060,886,28341381,5.287
2012-07,11881,401954,5485,889,32156350,5.012
2012-08,12002,394916,5379,1080,31198395,5.524
2012-09,11072,353795,5191,1003,27596039,5.614
2012-10,11895,372058,5459,1146,28648512,5.669
2012-11,11876,371683,5625,1074,28247960,5.732
2012-12,11162,350735,5285,1179,26305178,5.541
2013-01,13025,407390,5419,1317,30146862,5.546
2013-02,12816,382725,5029,1143,27938956,5.074
2013-03,14388,487834,5756,1572,35124111,4.809
2013-04,13632,425942,5099,1423,30241913,5.428
2013-05,13341,391748,4987,1499,27422374,5.784
2013-06,12924,403343,4840,1432,27830685,5.987
2013-07,14548,430966,5123,1662,29305747,7.186
2013-08,14516,450113,5222,1546,30157606,6.694
2013-09,14454,445639,5161,1446,29412182,6.430
2013-10,15562,476161,5260,1585,30950487,6.094
2013-11,15118,411047,4913,1611,26307026,5.379
2013-12,14637,402578,5015,1512,25362422,5.281
2014-01,17096,416967,5649,1725,25851974,4.608
2014-02,16836,376135,5366,1618,22944281,4.219
2014-03,18674,370763,5619,1727,22245791,3.698
2014-04,18033,343084,5437,1777,20241957,2.773
2014-05,15067,300537,4440,2222,17431178,3.386
2014-06,13290,231851,3961,1734,13215550,2.848
2014-07,14553,262127,4499,1929,14679158,2.916
2014-08,13447,246444,4027,1740,13554447,2.864
2014-09,13592,249541,3988,1737,13475245,3.121
2014-10,13858,251753,3981,1733,13342927,2.942
2014-11,13260,232247,3944,1604,12076849,3.043
2014-12,12585,243388,4716,1785,12412788,2.746
2015-01,13852,267558,4950,2092,13377944,3.784
2015-02,13688,296929,5038,1836,14549541,3.170
2015-03,15152,304875,5572,2028,14634027,3.997
2015-04,15202,303155,6459,1861,14248331,3.009
2015-05,14789,297556,6791,1731,13687583,2.720
2015-06,14575,291660,6440,1796,13124700,2.868
2015-07,15602,288145,7019,1755,12678395,2.893
2015-08,14452,246971,6114,1703,10619770,2.729
2015-09,13733,259455,6160,1759,10897134,2.530
2015-10,14121,232455,6113,1844,9530658,2.561
2015-11,13521,220081,5909,1528,8803241,3.248
2015-12,13961,262956,6218,1669,10255287,2.792
2016-01,14783,274214,6170,1794,10420153,2.706
2016-02,15137,261826,6650,1693,9687586,2.770
2016-03,15351,247536,6133,1884,8911302,2.768
