date,count,normalized viewcount,positive,negative,total viewcount
2008-08,3,112,3,0,14272
2008-09,19,3799,14,0,478767
2008-10,24,7362,22,0,920368
2008-11,25,5610,24,0,695761
2008-12,16,1787,12,0,219808
2009-01,15,1653,13,0,201731
2009-02,19,1712,14,0,207239
2009-03,23,3162,18,0,379478
2009-04,25,3744,16,0,445648
2009-05,29,6759,23,0,797669
2009-06,39,9135,29,1,1068872
2009-07,36,5126,30,1,594669
2009-08,38,3370,33,1,387611
2009-09,84,10575,62,1,1205579
2009-10,77,8667,53,1,979472
2009-11,44,5358,31,0,600143
2009-12,58,7054,47,2,783037
2010-01,46,2938,38,0,323222
2010-02,58,7539,49,0,821799
2010-03,61,7101,52,0,766971
2010-04,62,4814,54,1,515167
2010-05,64,9748,51,1,1033345
2010-06,83,11227,61,0,1178895
2010-07,65,4234,47,1,440386
2010-08,79,12648,56,1,1302838
2010-09,58,10578,41,1,1078956
2010-10,81,8705,68,0,879293
2010-11,84,5476,71,1,547619
2010-12,57,2773,40,1,274555
2011-01,78,10122,57,1,992030
2011-02,75,6713,62,0,651210
2011-03,96,7776,72,0,746501
2011-04,89,6951,69,1,660362
2011-05,96,11079,76,4,1041474
2011-06,95,6885,61,0,640363
2011-07,102,6124,70,3,563419
2011-08,102,18271,75,4,1662708
2011-09,87,10124,61,5,911160
2011-10,110,13005,80,1,1157484
2011-11,119,7464,78,6,656842
2011-12,137,11245,86,2,978377
2012-01,107,11724,82,3,1008316
2012-02,135,10775,79,6,915892
2012-03,118,10211,84,7,857782
2012-04,96,9416,61,4,781584
2012-05,136,12118,69,11,993754
2012-06,115,10340,70,6,837556
2012-07,129,15007,73,6,1200599
2012-08,121,9479,69,3,748904
2012-09,130,17393,81,5,1356681
2012-10,150,14798,79,6,1139475
2012-11,212,13694,117,7,1040761
2012-12,176,11501,100,6,862606
2013-01,189,12847,94,15,950682
2013-02,158,8875,79,9,647930
2013-03,198,9608,97,12,691824
2013-04,222,10984,82,16,779888
2013-05,215,14839,95,15,1038792
2013-06,197,9059,82,9,625106
2013-07,233,12713,98,19,864539
2013-08,193,11517,107,8,771684
2013-09,179,13761,80,12,908245
2013-10,217,15016,94,17,976093
2013-11,207,10615,86,13,679392
2013-12,207,11287,94,18,711132
2014-01,219,10056,94,21,623529
2014-02,211,8826,93,6,538406
2014-03,234,11519,76,16,691167
2014-04,226,5430,83,15,320427
2014-05,248,11557,90,24,670349
2014-06,182,6023,59,14,343311
2014-07,162,4701,48,18,263261
2014-08,186,12259,67,13,674288
2014-09,193,4246,58,25,229305
2014-10,196,8007,77,27,424404
2014-11,229,6429,80,31,334349
2014-12,198,7811,74,25,398405
2015-01,216,4205,62,43,210277
2015-02,207,11380,77,30,557627
2015-03,233,7342,87,36,352424
2015-04,220,5600,77,38,263225
2015-05,196,6819,80,27,313715
2015-06,247,6938,86,47,312226
2015-07,229,5645,84,33,248406
2015-08,183,5334,79,21,229362
2015-09,206,6236,73,26,261933
2015-10,227,5894,82,24,241686
2015-11,247,5315,97,32,212625
2015-12,238,4581,94,31,178694
2016-01,254,6024,87,27,228943
2016-02,238,5457,82,37,201942
2016-03,228,7023,74,24,252856
2016-04,217,4069,62,28,142433
2016-05,234,5544,63,39,188527
2016-06,257,6090,86,26,200994
2016-07,175,2981,43,32,95414
2016-08,194,3621,46,31,112258
2016-09,185,4674,42,31,140248
2016-10,201,3888,74,21,112764
2016-11,234,6049,94,32,169380
2016-12,216,5894,86,40,159153
2017-01,207,4630,64,32,120403
2017-02,207,4044,71,36,101116
2017-03,237,4759,57,31,114217
2017-04,236,3581,51,29,82383
2017-05,274,4294,76,41,94469
2017-06,176,3093,43,22,64965
2017-07,207,3703,45,53,74064
2017-08,231,4947,67,38,94002
2017-09,184,3968,51,17,71433
2017-10,239,4894,66,25,83214
2017-11,234,4857,53,36,77715
2017-12,182,3276,57,26,49149
2018-01,175,3191,40,27,44680
2018-02,207,3638,33,19,47304
2018-03,257,3653,69,32,43847
2018-04,270,4237,82,28,46617
2018-05,270,4256,70,20,42561
2018-06,228,3144,68,32,28296
2018-07,230,3512,60,30,28099
2018-08,223,3235,84,19,22646
2018-09,151,2075,50,14,12455
2018-10,231,3539,53,15,17697
2018-11,242,3568,65,22,14273
2018-12,194,3363,57,10,10091
2019-01,189,4168,60,16,8336
2019-02,176,7090,53,22,7090
