date,count,normalized viewcount,positive,negative,total viewcount
2008-08,19,5318,19,0,675507
2008-09,28,6640,28,0,836677
2008-10,31,5566,29,0,695838
2008-11,28,5283,26,0,655200
2008-12,31,3351,25,0,412212
2009-01,32,3502,30,0,427306
2009-02,52,6230,42,0,753909
2009-03,57,8204,51,1,984482
2009-04,58,16634,54,0,1979511
2009-05,55,8195,49,0,967096
2009-06,76,8072,63,1,944532
2009-07,64,14126,53,0,1638693
2009-08,75,9180,68,0,1055747
2009-09,71,8765,58,0,999240
2009-10,54,6674,46,0,754229
2009-11,65,21190,59,0,2373319
2009-12,56,30842,48,0,3423547
2010-01,94,43743,83,0,4811731
2010-02,87,8594,75,0,936762
2010-03,87,5814,69,0,627988
2010-04,70,7408,61,1,792734
2010-05,76,3982,69,0,422135
2010-06,76,9713,58,0,1019959
2010-07,95,10978,82,0,1141743
2010-08,122,15394,100,0,1585597
2010-09,103,7963,81,0,812234
2010-10,97,29910,83,1,3020981
2010-11,132,14997,112,0,1499790
2010-12,114,13843,95,0,1370498
2011-01,143,15784,121,0,1546862
2011-02,133,28794,104,1,2793112
2011-03,185,20530,178,0,1970965
2011-04,167,18981,160,1,1803218
2011-05,178,20786,155,3,1953956
2011-06,183,24567,157,4,2284803
2011-07,184,18034,157,2,1659137
2011-08,185,15933,154,1,1449929
2011-09,184,26647,133,3,2398273
2011-10,144,28449,104,2,2532001
2011-11,188,34188,149,3,3008625
2011-12,204,30128,163,0,2621164
2012-01,257,24234,191,6,2084174
2012-02,271,30443,200,2,2587734
2012-03,307,35227,205,4,2959111
2012-04,295,33229,210,3,2758079
2012-05,350,33309,271,1,2731359
2012-06,337,31207,262,4,2527790
2012-07,384,36385,280,6,2910869
2012-08,333,30867,237,1,2438550
2012-09,295,30711,207,3,2395503
2012-10,353,35421,277,3,2727480
2012-11,373,23208,253,6,1763870
2012-12,305,32228,195,9,2417121
2013-01,398,31871,245,7,2358497
2013-02,391,42345,248,9,3091249
2013-03,399,40551,243,15,2919743
2013-04,408,31455,257,10,2233355
2013-05,470,49693,293,10,3478575
2013-06,436,40880,259,12,2820781
2013-07,528,58098,317,16,3950704
2013-08,488,45331,314,11,3037197
2013-09,506,43145,314,16,2847571
2013-10,567,41803,281,15,2717222
2013-11,496,44237,282,9,2831168
2013-12,473,31151,286,12,1962523
2014-01,570,40828,310,10,2531357
2014-02,559,31562,304,16,1925293
2014-03,627,30916,294,23,1854974
2014-04,603,35845,267,20,2114865
2014-05,606,28890,266,22,1675642
2014-06,611,34322,274,27,1956354
2014-07,688,39059,328,31,2187348
2014-08,630,41418,310,35,2278028
2014-09,642,30602,262,23,1652513
2014-10,628,25637,262,28,1358785
2014-11,500,23205,218,42,1206693
2014-12,563,26759,262,45,1364733
2015-01,688,33164,290,28,1658201
2015-02,673,29851,302,13,1462732
2015-03,714,32854,292,31,1577013
2015-04,747,36386,375,33,1710183
2015-05,691,22719,370,25,1045103
2015-06,765,31625,423,39,1423132
2015-07,848,29821,435,50,1312125
2015-08,814,36097,433,32,1552200
2015-09,714,28695,326,45,1205231
2015-10,681,21632,333,53,886912
2015-11,729,27093,422,38,1083731
2015-12,712,20300,431,39,791738
2016-01,776,22726,350,38,863607
2016-02,880,27846,367,56,1030306
2016-03,948,34704,428,48,1249348
2016-04,934,30111,432,41,1053891
2016-05,863,26540,417,64,902360
2016-06,869,28516,478,29,941059
2016-07,849,26061,390,51,833980
2016-08,959,29607,414,46,917839
2016-09,866,23517,348,42,705529
2016-10,867,30766,379,43,892236
2016-11,878,25875,382,49,724503
2016-12,818,27501,347,50,742537
2017-01,937,40258,437,65,1046728
2017-02,923,28923,392,53,723083
2017-03,1039,37348,433,73,896375
2017-04,866,31855,426,70,732670
2017-05,1067,36632,492,71,805913
2017-06,1066,31787,540,98,667545
2017-07,1020,33099,462,80,661999
2017-08,1021,32844,465,67,624042
2017-09,970,27221,367,64,489986
2017-10,1010,27917,342,81,474603
2017-11,949,24615,380,99,393842
2017-12,760,20428,275,74,306422
2018-01,955,27122,325,93,379714
2018-02,911,24935,354,65,324160
2018-03,1065,25342,359,85,304108
2018-04,931,23366,286,68,257031
2018-05,942,22845,313,68,228457
2018-06,1019,24142,379,66,217285
2018-07,1126,25990,422,79,207921
2018-08,1059,20617,382,82,144320
2018-09,915,17168,258,62,103009
2018-10,1106,18511,380,56,92555
2018-11,1017,18493,338,70,73973
2018-12,865,16247,287,52,48741
2019-01,1053,22786,274,65,45573
2019-02,1011,35543,239,114,35543
