date,count,normalized viewcount,positive,negative,total viewcount
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,2,229,2,0,28675
2008-11,6,393,5,0,48805
2008-12,2,21,1,0,2684
2009-01,2,27,2,0,3322
2009-02,1,9,1,0,1162
2009-03,7,524,6,0,62964
2009-04,9,375,8,0,44665
2009-05,5,174,5,0,20573
2009-06,3,71,2,1,8316
2009-07,4,41,3,0,4818
2009-08,5,158,4,0,18196
2009-09,12,997,9,0,113767
2009-10,16,509,12,0,57544
2009-11,31,1397,29,0,156548
2009-12,37,1110,26,4,123214
2010-01,20,703,19,0,77369
2010-02,23,848,19,0,92495
2010-03,27,672,21,0,72652
2010-04,22,570,17,0,61056
2010-05,17,1675,11,0,177654
2010-06,20,729,14,2,76603
2010-07,22,974,20,0,101399
2010-08,10,211,9,1,21824
2010-09,14,477,9,1,48705
2010-10,42,1630,32,0,164654
2010-11,72,1989,56,2,198946
2010-12,52,1441,40,2,142715
2011-01,62,1803,46,1,176761
2011-02,44,1014,33,0,98410
2011-03,58,2324,43,1,223185
2011-04,68,1348,47,2,128147
2011-05,89,2652,53,5,249311
2011-06,59,1178,53,0,109639
2011-07,41,1007,31,2,92727
2011-08,22,631,17,1,57429
2011-09,62,2302,44,1,207263
2011-10,63,1613,43,5,143586
2011-11,96,2377,78,0,209207
2011-12,69,2362,53,5,205534
2012-01,83,2086,42,2,179415
2012-02,49,1300,40,1,110548
2012-03,93,3046,65,3,255945
2012-04,144,2890,97,2,239948
2012-05,123,1942,76,5,159320
2012-06,47,612,37,0,49651
2012-07,45,2421,33,0,193727
2012-08,45,1028,40,0,81279
2012-09,39,439,30,1,34297
2012-10,98,2588,74,4,199333
2012-11,108,2581,76,2,196227
2012-12,123,1902,95,3,142722
2013-01,94,1528,72,1,113113
2013-02,87,2279,67,1,166399
2013-03,120,1749,75,4,125984
2013-04,194,2731,108,12,193918
2013-05,168,1904,96,14,133291
2013-06,89,1145,56,4,79065
2013-07,55,728,38,2,49510
2013-08,31,581,23,1,38934
2013-09,61,527,43,2,34818
2013-10,117,3684,76,0,239473
2013-11,169,3496,117,4,223772
2013-12,148,1853,88,7,116799
2014-01,92,2177,59,9,134974
2014-02,91,1320,52,4,80535
2014-03,148,1655,77,16,99322
2014-04,166,2735,105,12,161373
2014-05,158,2460,91,13,142721
2014-06,89,752,58,9,42882
2014-07,35,220,23,2,12371
2014-08,57,775,35,3,42642
2014-09,69,993,48,5,53642
2014-10,124,1014,68,5,53761
2014-11,152,1909,94,12,99288
2014-12,173,2231,102,17,113831
2015-01,102,1316,64,3,65828
2015-02,103,1122,56,9,54998
2015-03,161,1261,90,4,60557
2015-04,118,1364,95,3,64122
2015-05,144,1605,90,14,73836
2015-06,100,1135,77,7,51098
2015-07,63,855,52,0,37643
2015-08,32,334,27,0,14394
2015-09,104,1048,74,5,44020
2015-10,146,1144,94,8,46943
2015-11,173,1847,113,3,73912
2015-12,153,1493,106,6,58228
2016-01,103,926,69,5,35206
2016-02,84,983,67,0,36406
2016-03,135,1486,86,3,53516
2016-04,141,1342,80,6,46995
2016-05,180,1333,105,5,45322
2016-06,71,527,47,2,17398
2016-07,80,677,55,1,21690
2016-08,38,269,25,5,8347
2016-09,71,1080,53,1,32407
2016-10,109,941,72,0,27315
2016-11,190,2018,92,4,56516
2016-12,147,1209,79,11,32668
2017-01,105,834,62,2,21698
2017-02,100,1194,58,4,29871
2017-03,134,1625,73,4,39012
2017-04,136,1375,65,6,31625
2017-05,143,1577,78,4,34707
2017-06,67,1057,59,1,22203
2017-07,49,488,37,0,9765
2017-08,25,193,16,0,3676
2017-09,62,598,43,0,10776
2017-10,121,1348,81,4,22925
2017-11,141,1698,84,2,27183
2017-12,134,1171,64,7,17573
2018-01,63,680,38,4,9523
2018-02,72,717,30,3,9330
2018-03,102,968,46,1,11626
2018-04,139,1344,50,9,14787
2018-05,120,1060,55,6,10602
2018-06,101,934,41,2,8408
2018-07,44,467,26,1,3741
2018-08,56,616,25,1,4316
2018-09,45,556,34,1,3337
2018-10,100,1355,55,3,6776
2018-11,109,1603,48,1,6415
2018-12,132,2101,68,0,6305
2019-01,81,2529,55,2,5059
2019-02,77,3940,50,2,3940
