date,count,viewcount,positive,negative
2008-08,124,8533967,124,0
2008-09,544,47140789,525,4
2008-10,512,28358777,496,0
2008-11,453,22665093,427,0
2008-12,441,23916095,405,7
2009-01,631,36966095,587,12
2009-02,631,25122107,565,5
2009-03,766,28692577,699,3
2009-04,768,22027644,686,6
2009-05,1003,21910024,877,11
2009-06,1046,31660537,913,15
2009-07,1164,21178487,1006,13
2009-08,1142,18990943,961,11
2009-09,1169,20274085,985,9
2009-10,1424,25596637,1157,16
2009-11,1560,24083175,1264,16
2009-12,1591,20080156,1257,18
2010-01,1951,23730588,1651,24
2010-02,1873,22011379,1560,17
2010-03,2073,26014507,1711,27
2010-04,1817,24807018,1539,17
2010-05,2013,26522893,1632,17
2010-06,2208,22599835,1789,19
2010-07,2601,35045666,2003,41
2010-08,2496,33365413,1972,30
2010-09,2254,24625105,1816,26
2010-10,2669,30538092,2085,43
2010-11,2617,26442590,2061,30
2010-12,2487,29800320,1911,26
2011-01,2912,34554459,2340,38
2011-02,3020,31779208,2312,50
2011-03,3762,32969740,2751,55
2011-04,3351,28410401,2508,67
2011-05,3533,30477265,2769,69
2011-06,3484,26847049,2715,88
2011-07,3684,30744797,2778,104
2011-08,3841,29292761,2982,88
2011-09,3525,26826768,2684,91
2011-10,3637,24384527,2745,97
2011-11,3886,30802965,2929,103
2011-12,3633,24319957,2646,106
2012-01,4225,30405965,3151,133
2012-02,4515,27615107,3317,155
2012-03,5067,36661953,3575,188
2012-04,4948,28265202,3471,179
2012-05,5131,34836632,3632,185
2012-06,5293,32421716,3713,181
2012-07,5747,38816481,3961,199
2012-08,5876,32464648,4104,237
2012-09,5270,31266866,3509,237
2012-10,6153,30447931,4194,240
2012-11,6405,29362011,4529,256
2012-12,5769,29367889,3974,298
2013-01,6603,29606525,4322,313
2013-02,6791,32501402,4229,296
2013-03,7680,33499976,4801,382
2013-04,7975,35260359,4939,401
2013-05,7854,35612943,4782,380
2013-06,7637,35603633,4882,307
2013-07,8655,31019396,5358,486
2013-08,7975,30786142,4776,419
2013-09,7998,29953983,4701,513
2013-10,9537,37399129,5402,761
2013-11,9533,36171013,5474,553
2013-12,8493,24814057,4994,487
2014-01,9880,30242754,5712,496
2014-02,9943,26441444,5408,530
2014-03,11480,28778112,6346,540
2014-04,10836,23696787,5770,586
2014-05,9325,18469729,5003,741
2014-06,8961,17558986,4662,755
2014-07,10001,20305168,5045,816
2014-08,9159,18028790,4692,848
2014-09,8826,17751471,4394,865
2014-10,9646,18404101,4500,1011
2014-11,9635,16520378,4449,924
2014-12,9097,15294774,4872,778
2015-01,9743,19814746,4888,1004
2015-02,10242,16756899,5132,935
2015-03,11674,18049775,5701,1058
2015-04,11517,18637540,6083,1018
2015-05,11275,18504110,6325,1006
2015-06,11869,16533592,6598,1018
2015-07,12382,17898125,6719,1045
2015-08,11282,15888027,6126,855
2015-09,11024,14519265,6116,1000
2015-10,12551,17130722,6921,1168
2015-11,12367,17037044,6640,1103
2015-12,11699,15172790,6393,1020
2016-01,12412,15867758,6842,1079
2016-02,13316,15881711,7261,1266
2016-03,14153,16376646,7367,1374
2016-04,13749,15400303,6898,1286
2016-05,13196,15707647,6614,1209
2016-06,12982,14720608,6506,1260
2016-07,12911,13194594,6391,1290
2016-08,12973,12946829,6435,1245
2016-09,12410,10888449,5996,1294
2016-10,13582,12193849,6115,1488
2016-11,14265,12356041,6447,1366
2016-12,13116,10992192,6064,1323
2017-01,14360,14938755,7109,1523
2017-02,14867,13311419,7047,1335
2017-03,17239,14162165,7803,1589
2017-04,15730,12411621,7212,1412
2017-05,16262,11399146,7217,1542
2017-06,16124,10945544,7221,1570
2017-07,17018,11090072,7766,1680
2017-08,16563,9631870,7579,1773
2017-09,15562,7613410,6674,1706
2017-10,17069,7767843,7231,1933
2017-11,17096,7318553,7084,2049
2017-12,15054,6105069,6236,1799
2018-01,16350,6537362,6924,1887
2018-02,16617,5780221,7040,1999
2018-03,19921,5424608,7193,2196
2018-04,18954,5165779,7041,2099
2018-05,19501,4200126,7623,1821
2018-06,18807,3800821,6870,1811
2018-07,20025,3556857,7110,2080
2018-08,19716,2751532,7253,2112
2018-09,17839,2054965,6511,2004
2018-10,20377,1849750,7050,2354
2018-11,20361,1462227,6864,2280
2018-12,17815,1080485,6272,1844
2019-01,19228,937040,6230,2175
2019-02,21892,806912,6250,3838
