date,count,viewcount,positive,negative
2008-08,0,0,0,0
2008-09,6,316224,6,0
2008-10,0,0,0,0
2008-11,1,1434,1,0
2008-12,1,18263,1,0
2009-01,8,39099,8,0
2009-02,9,31013,9,0
2009-03,4,355637,4,0
2009-04,12,593347,12,0
2009-05,2,72719,2,0
2009-06,5,54299,5,0
2009-07,51,2169892,50,0
2009-08,47,3921445,46,0
2009-09,139,2773924,133,0
2009-10,73,892324,69,0
2009-11,94,2701330,82,1
2009-12,80,1984624,66,0
2010-01,94,1443205,84,1
2010-02,122,3043969,119,0
2010-03,139,2550532,131,1
2010-04,160,3626715,147,0
2010-05,139,2459592,126,0
2010-06,178,1536182,156,2
2010-07,234,2143710,211,1
2010-08,283,5739244,254,0
2010-09,236,3743936,213,1
2010-10,214,2053148,190,1
2010-11,242,4386009,221,1
2010-12,223,2067738,201,2
2011-01,250,3652176,230,1
2011-02,322,4287897,283,1
2011-03,423,5182175,384,3
2011-04,476,6338626,415,7
2011-05,428,5414708,370,5
2011-06,444,4729464,389,11
2011-07,454,4376962,381,13
2011-08,587,7059667,536,24
2011-09,612,7055703,529,19
2011-10,621,4562979,568,6
2011-11,608,5940431,527,13
2011-12,614,3591144,524,6
2012-01,690,4147878,564,13
2012-02,814,6131309,683,14
2012-03,892,6106201,700,32
2012-04,848,7049201,677,19
2012-05,882,6329544,755,15
2012-06,975,5298884,788,21
2012-07,1124,6909046,856,36
2012-08,1092,6531480,849,45
2012-09,1060,6293673,808,45
2012-10,1269,6645227,1003,42
2012-11,1348,7182421,1015,43
2012-12,1219,6041264,942,45
2013-01,1515,8191865,1141,78
2013-02,1676,8720425,1249,66
2013-03,1856,8610014,1329,100
2013-04,1847,6007988,1336,66
2013-05,1792,5937416,1274,54
2013-06,1782,6600725,1219,76
2013-07,1979,6562537,1361,92
2013-08,1929,7375803,1274,82
2013-09,1720,4558686,1180,82
2013-10,2104,7323459,1321,110
2013-11,2194,6358188,1401,102
2013-12,1911,5307647,1261,68
2014-01,2362,6627047,1520,66
2014-02,2623,6798249,1564,82
2014-03,2829,5785665,1651,91
2014-04,2748,6223740,1544,113
2014-05,2602,5259848,1415,237
2014-06,2407,5461014,1414,192
2014-07,2652,4996667,1491,171
2014-08,2488,4234785,1372,150
2014-09,2384,5557590,1393,202
2014-10,2795,4851232,1532,195
2014-11,2724,4217707,1426,161
2014-12,2371,3955414,1405,139
2015-01,2709,4431280,1607,160
2015-02,2985,4207178,1641,208
2015-03,3576,4227084,2066,195
2015-04,3340,4520393,2140,165
2015-05,3440,4242736,2297,169
2015-06,3445,3647348,2189,175
2015-07,3995,4095672,2508,221
2015-08,3506,3709534,2084,194
2015-09,3347,3203759,1987,140
2015-10,3698,3499145,1992,206
2015-11,3555,2934657,1957,226
2015-12,3193,2644394,1896,262
2016-01,3559,3209258,2005,267
2016-02,3614,2817976,1917,256
2016-03,4068,2781635,2147,302
2016-04,4161,3067720,2014,284
2016-05,3815,2724454,2055,283
2016-06,3877,3000245,2093,326
2016-07,3762,2475135,1903,315
2016-08,3801,2848713,1941,362
2016-09,3306,1987277,1661,275
2016-10,3798,2104620,1806,361
2016-11,3576,2183454,1699,361
2016-12,3167,1662872,1566,285
2017-01,3515,1991022,1876,297
2017-02,3702,1680602,1793,317
2017-03,4627,2205988,2135,312
2017-04,4280,2097106,2020,248
2017-05,4337,1948513,2082,288
2017-06,4481,1650695,2115,278
2017-07,4598,1767523,2247,262
2017-08,4603,1606811,2143,310
2017-09,4249,1393176,2176,257
2017-10,4570,1361219,2052,375
2017-11,4546,1280125,2207,357
2017-12,3730,1042646,1888,304
2018-01,4213,1056667,2059,310
2018-02,4581,997229,2152,328
2018-03,5630,961608,2342,375
2018-04,5252,768837,2219,304
2018-05,5223,695189,2457,270
2018-06,5011,603604,1965,274
2018-07,4967,559278,1875,348
2018-08,4579,409280,1744,334
2018-09,4231,324943,1710,271
2018-10,4892,311127,1805,322
2018-11,4815,249581,1737,289
2018-12,3820,184409,1484,227
2019-01,4572,190865,1639,253
2019-02,5341,176844,1679,562
