date,count,viewcount,positive,negative
2008-08,0,0,0,0
2008-09,0,0,0,0
2008-10,0,0,0,0
2008-11,0,0,0,0
2008-12,0,0,0,0
2009-01,0,0,0,0
2009-02,0,0,0,0
2009-03,0,0,0,0
2009-04,0,0,0,0
2009-05,0,0,0,0
2009-06,0,0,0,0
2009-07,0,0,0,0
2009-08,0,0,0,0
2009-09,0,0,0,0
2009-10,0,0,0,0
2009-11,0,0,0,0
2009-12,0,0,0,0
2010-01,0,0,0,0
2010-02,0,0,0,0
2010-03,0,0,0,0
2010-04,0,0,0,0
2010-05,0,0,0,0
2010-06,0,0,0,0
2010-07,0,0,0,0
2010-08,0,0,0,0
2010-09,0,0,0,0
2010-10,0,0,0,0
2010-11,0,0,0,0
2010-12,0,0,0,0
2011-01,0,0,0,0
2011-02,0,0,0,0
2011-03,0,0,0,0
2011-04,0,0,0,0
2011-05,0,0,0,0
2011-06,0,0,0,0
2011-07,0,0,0,0
2011-08,0,0,0,0
2011-09,0,0,0,0
2011-10,0,0,0,0
2011-11,0,0,0,0
2011-12,0,0,0,0
2012-01,0,0,0,0
2012-02,0,0,0,0
2012-03,0,0,0,0
2012-04,0,0,0,0
2012-05,0,0,0,0
2012-06,0,0,0,0
2012-07,0,0,0,0
2012-08,0,0,0,0
2012-09,0,0,0,0
2012-10,0,0,0,0
2012-11,0,0,0,0
2012-12,0,0,0,0
2013-01,0,0,0,0
2013-02,0,0,0,0
2013-03,0,0,0,0
2013-04,0,0,0,0
2013-05,1,30542,1,0
2013-06,2,22626,2,0
2013-07,2,102729,1,0
2013-08,1,10566,1,0
2013-09,9,280357,9,0
2013-10,5,146473,5,0
2013-11,7,86701,7,0
2013-12,21,373907,18,0
2014-01,47,991667,41,1
2014-02,47,889733,42,1
2014-03,45,861591,37,0
2014-04,33,1138003,28,0
2014-05,65,963250,56,0
2014-06,68,793195,58,0
2014-07,80,1428545,69,2
2014-08,75,687973,68,0
2014-09,95,1130844,81,0
2014-10,133,1930889,118,1
2014-11,157,1057760,120,0
2014-12,170,921966,138,3
2015-01,199,2271687,150,3
2015-02,330,2511394,243,1
2015-03,379,2911635,277,1
2015-04,453,3651017,327,6
2015-05,438,2738449,303,4
2015-06,526,4151984,342,11
2015-07,642,2342197,418,9
2015-08,601,2675316,396,10
2015-09,744,2976269,475,14
2015-10,829,3444677,553,11
2015-11,950,3408153,589,21
2015-12,1007,3513630,664,20
2016-01,1151,3864176,781,17
2016-02,1149,3809557,765,19
2016-03,1458,4254721,970,20
2016-04,1486,3655386,898,34
2016-05,1535,4173999,905,41
2016-06,1662,4172325,977,41
2016-07,1812,3816660,1047,39
2016-08,2031,3872432,1157,56
2016-09,1855,3365981,1022,46
2016-10,1892,3915989,997,54
2016-11,1976,3548669,1085,54
2016-12,2024,3059219,1121,44
2017-01,2257,3843925,1194,61
2017-02,2275,3651873,1192,61
2017-03,2594,4438157,1360,84
2017-04,2641,4065603,1448,62
2017-05,3030,3542832,1684,88
2017-06,3042,3314643,1408,128
2017-07,3331,3218325,1514,122
2017-08,3317,2753550,1582,133
2017-09,2840,2238800,1357,109
2017-10,3177,2412267,1433,112
2017-11,3148,2138777,1452,104
2017-12,2856,1931465,1369,105
2018-01,3317,2127185,1472,127
2018-02,3343,1959114,1414,114
2018-03,4190,1928864,1601,162
2018-04,4164,1880805,1499,156
2018-05,4439,1524943,1570,166
2018-06,4390,1409525,1489,156
2018-07,4728,1181152,1741,177
2018-08,5002,989554,1737,186
2018-09,4588,720217,1516,182
2018-10,5026,666909,1665,193
2018-11,4791,542028,1492,186
2018-12,4485,339453,1255,213
2019-01,5097,252645,1357,260
2019-02,5413,200517,1399,482
