date,count,viewcount,positive,negative
2008-08,73,2179192,69,0
2008-09,291,4887708,273,2
2008-10,250,3788710,233,0
2008-11,160,3148654,147,1
2008-12,161,2075248,148,1
2009-01,209,1357977,183,1
2009-02,287,2539804,255,1
2009-03,330,2757860,293,2
2009-04,358,3121927,296,2
2009-05,403,3597310,335,3
2009-06,433,4699150,332,6
2009-07,501,3596677,414,3
2009-08,485,4204305,376,2
2009-09,476,2882035,355,2
2009-10,493,3456164,386,2
2009-11,655,4028055,491,6
2009-12,573,3660183,441,5
2010-01,687,3992843,574,2
2010-02,689,3799657,577,2
2010-03,696,4100636,558,4
2010-04,753,3708503,575,6
2010-05,776,3847279,544,7
2010-06,853,3888907,606,10
2010-07,910,4163089,662,13
2010-08,994,4838583,770,12
2010-09,940,4919659,747,6
2010-10,925,4678836,656,10
2010-11,930,5806776,700,6
2010-12,1023,5499080,752,9
2011-01,1207,6608819,899,14
2011-02,1255,5753373,935,7
2011-03,1640,7666584,1155,13
2011-04,1478,6244797,1025,24
2011-05,1567,6274231,1182,18
2011-06,1564,5637517,1094,20
2011-07,1591,5220690,1109,21
2011-08,1870,5308751,1324,24
2011-09,1555,4563875,1072,19
2011-10,1619,4654395,1085,23
2011-11,1742,6061240,1184,23
2011-12,1696,5292103,1128,27
2012-01,1918,5280050,1257,29
2012-02,2052,5516989,1302,42
2012-03,2204,6414579,1479,38
2012-04,1990,6287827,1308,45
2012-05,1987,4563344,1285,43
2012-06,1897,4256000,1162,43
2012-07,2075,4290968,1204,34
2012-08,2073,4298875,1225,38
2012-09,1957,3717000,1183,48
2012-10,2266,4122480,1455,65
2012-11,2136,4002553,1345,65
2012-12,1909,3618846,1200,84
2013-01,2313,4593161,1375,108
2013-02,2242,3774877,1286,112
2013-03,2574,4096930,1442,98
2013-04,2476,4980253,1435,96
2013-05,2356,3881134,1245,123
2013-06,2229,4113456,1247,101
2013-07,2450,4210122,1290,147
2013-08,2492,4085662,1257,124
2013-09,2401,4534743,1205,128
2013-10,2795,4576257,1414,137
2013-11,2578,3561093,1276,137
2013-12,2456,3455107,1185,132
2014-01,2776,3569487,1352,87
2014-02,2620,2814212,1272,117
2014-03,2958,3356403,1347,130
2014-04,2755,3021485,1207,178
2014-05,2686,2688105,1302,145
2014-06,2342,2172527,1062,149
2014-07,2568,2460119,1195,154
2014-08,2482,2355102,1110,155
2014-09,2284,1799921,956,128
2014-10,2350,2030938,1036,135
2014-11,2120,1551233,963,75
2014-12,2159,1740346,1004,87
2015-01,2437,1825189,1097,138
2015-02,2267,1479251,1005,97
2015-03,2468,1766683,1042,185
2015-04,2510,1609622,1159,134
2015-05,2514,1651474,1263,110
2015-06,2582,1516983,1202,165
2015-07,2590,1301617,1290,161
2015-08,2326,1500268,1141,190
2015-09,2171,1100125,1022,204
2015-10,2201,1194233,1131,189
2015-11,1966,1044974,870,161
2015-12,2034,996533,941,197
2016-01,2151,1001473,977,243
2016-02,2251,985600,929,258
2016-03,2271,1140164,917,230
2016-04,2222,1045314,909,206
2016-05,2133,958264,945,197
2016-06,2119,834400,798,180
2016-07,1910,1225138,759,158
2016-08,1889,686206,727,145
2016-09,1934,823298,822,122
2016-10,1831,671500,761,149
2016-11,1767,593654,878,122
2016-12,1641,592151,745,106
2017-01,1828,719430,852,124
2017-02,1636,501568,637,134
2017-03,1793,516317,596,168
2017-04,1492,409328,520,178
2017-05,1524,431095,535,193
2017-06,1423,396873,618,150
2017-07,1529,354390,533,147
2017-08,1400,298094,468,128
2017-09,1226,264182,425,106
2017-10,1304,332866,431,134
2017-11,1180,250567,421,133
2017-12,1024,184689,372,100
2018-01,1169,215893,415,113
2018-02,1039,163598,354,113
2018-03,1141,148884,388,93
2018-04,1058,134023,332,109
2018-05,1100,132332,378,91
2018-06,1081,122579,321,88
2018-07,1017,114031,289,101
2018-08,952,86254,266,104
2018-09,860,63975,222,97
2018-10,991,66476,283,98
2018-11,903,53733,275,88
2018-12,867,50627,256,103
2019-01,977,51629,338,81
2019-02,892,44861,226,141
