date,count,normalized viewcount,positive,negative,total viewcount
2010-07,1,66,1,0,6892
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,1,53,1,0,4618
2012-02,6,515,6,0,43837
2012-03,4,39,2,0,3337
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,5,14,2,0,1189
2012-08,0,0,0,0,0
2012-09,1,60,1,0,4687
2012-10,2,78,2,0,6077
2012-11,6,833,6,0,63308
2012-12,0,0,0,0,0
2013-01,3,455,3,0,33685
2013-02,3,39,2,0,2899
2013-03,7,781,7,0,56243
2013-04,12,394,12,0,27975
2013-05,21,678,20,0,47521
2013-06,10,527,10,0,36378
2013-07,12,757,12,0,51512
2013-08,12,415,12,0,27833
2013-09,8,678,7,0,44778
2013-10,24,1897,23,0,123310
2013-11,11,402,10,0,25732
2013-12,13,425,12,0,26828
2014-01,40,2455,40,0,152228
2014-02,27,1582,24,0,96562
2014-03,29,2173,26,0,130413
2014-04,41,814,32,0,48045
2014-05,45,2459,40,0,142670
2014-06,50,2678,40,0,152669
2014-07,91,3715,72,0,208081
2014-08,130,5914,116,0,325298
2014-09,93,3943,81,0,212943
2014-10,178,7972,145,2,422549
2014-11,157,6792,129,2,353208
2014-12,169,5031,139,3,256595
2015-01,233,8953,195,6,447699
2015-02,171,5476,143,4,268346
2015-03,174,5486,145,5,263332
2015-04,200,6947,174,4,326522
2015-05,251,10517,239,0,483805
2015-06,236,5803,212,3,261141
2015-07,209,5510,180,5,242454
2015-08,187,3766,156,0,161955
2015-09,160,4352,136,1,182821
2015-10,133,2415,114,1,99049
2015-11,138,2580,116,2,103224
2015-12,130,2539,112,1,99043
2016-01,152,4149,126,5,157671
2016-02,147,2746,119,2,101615
2016-03,184,3038,149,7,109381
2016-04,157,4615,120,1,161528
2016-05,188,4501,147,3,153060
2016-06,224,5390,165,9,177900
2016-07,175,3057,128,7,97846
2016-08,239,5220,183,3,161842
2016-09,170,3246,129,10,97405
2016-10,195,3695,163,5,107157
2016-11,184,4207,144,6,117806
2016-12,202,4499,168,3,121485
2017-01,229,4428,188,4,115147
2017-02,204,3730,176,3,93251
2017-03,218,4738,163,4,113735
2017-04,187,3705,145,6,85229
2017-05,198,4094,139,5,90081
2017-06,176,3725,127,13,78235
2017-07,229,4326,175,7,86521
2017-08,207,5048,155,5,95915
2017-09,141,2433,100,3,43801
2017-10,168,3299,119,8,56094
2017-11,173,3598,109,13,57583
2017-12,246,4909,151,12,73637
2018-01,201,3832,140,11,53656
2018-02,202,4607,154,16,59897
2018-03,272,5406,206,13,64880
2018-04,211,4085,138,7,44938
2018-05,249,4938,167,22,49380
2018-06,219,4274,149,9,38474
2018-07,236,5145,135,23,41164
2018-08,220,4603,155,11,32227
2018-09,232,4638,136,12,27832
2018-10,228,5081,132,15,25405
2018-11,239,6519,137,18,26076
2018-12,247,7444,147,30,22334
2019-01,328,13092,190,32,26184
2019-02,256,20446,136,30,20446
