date,count,normalized viewcount,positive,negative,total viewcount,tiobe rating
2008-09,7,510,7,0,64310,0.090
2008-10,7,912,7,0,114013,0.147
2008-11,5,37,5,0,4616,0.120
2008-12,3,278,3,0,34202,0.094
2009-01,12,1355,12,0,165356,0.113
2009-02,12,306,12,0,37070,0.113
2009-03,17,2816,17,0,338012,0.165
2009-04,27,2613,27,0,311007,0.237
2009-05,12,1498,11,0,176871,0.247
2009-06,63,5422,59,0,634390,0.208
2009-07,59,8780,57,0,1018547,0.228
2009-08,72,9863,72,0,1134333,0.262
2009-09,63,4080,61,0,465158,0.238
2009-10,100,4545,95,0,513620,0.239
2009-11,95,7644,92,0,856169,0.244
2009-12,84,4384,82,0,486643,0.294
2010-01,105,6821,101,0,750382,0.409
2010-02,115,7821,115,0,852595,0.459
2010-03,115,6036,115,0,651992,0.461
2010-04,163,9955,159,1,1065230,0.433
2010-05,167,6786,163,0,719378,0.240
2010-06,173,8113,166,0,851896,0.240
2010-07,184,7272,179,1,756333,0.219
2010-08,170,6967,170,0,717657,0.219
2010-09,225,15930,217,1,1624883,0.243
2010-10,218,12678,207,2,1280515,0.239
2010-11,211,9234,191,2,923447,0.235
2010-12,226,11074,209,1,1096409,0.228
2011-01,252,12904,227,1,1264652,0.256
2011-02,273,13414,243,3,1301161,0.234
2011-03,299,12227,263,1,1173874,0.257
2011-04,271,9690,249,1,920569,0.207
2011-05,327,12509,294,2,1175897,0.198
2011-06,333,14301,316,2,1330039,0.264
2011-07,426,21404,406,2,1969187,0.230
2011-08,435,15555,406,1,1415516,0.187
2011-09,420,15200,391,3,1368065,0.209
2011-10,467,18387,427,0,1636530,0.226
2011-11,456,16025,415,2,1410235,0.196
2011-12,373,9662,338,5,840635,0.220
2012-01,359,10027,333,0,862380,0.197
2012-02,386,13068,337,2,1110848,0.199
2012-03,462,20482,413,1,1720559,0.202
2012-04,405,13108,350,0,1088026,0.225
2012-05,422,12559,371,2,1029854,0.221
2012-06,445,17056,390,4,1381590,0.234
2012-07,489,16801,420,5,1344096,0.237
2012-08,463,13698,402,4,1082160,0.241
2012-09,535,17563,450,4,1369951,0.273
2012-10,537,16132,452,9,1242222,0.293
2012-11,554,15857,466,5,1205179,0.324
2012-12,481,13398,413,2,1004892,0.317
2013-01,575,17237,466,3,1275588,0.319
2013-02,591,17406,458,6,1270708,0.327
2013-03,670,19179,513,10,1380905,0.341
2013-04,687,22627,538,3,1606539,0.336
2013-05,661,15760,520,6,1103232,0.300
2013-06,690,19908,535,6,1373719,0.290
2013-07,702,22666,512,4,1541324,0.326
2013-08,689,17618,521,6,1180447,0.332
2013-09,776,21619,547,13,1426875,0.300
2013-10,842,24101,609,11,1566616,0.345
2013-11,851,21942,591,11,1404351,0.292
2013-12,820,15828,607,16,997202,0.342
2014-01,771,20973,543,14,1300337,0.333
2014-02,830,16719,590,7,1019907,0.294
2014-03,933,18187,706,11,1091229,0.233
2014-04,926,23420,638,10,1381807,0.219
2014-05,852,18403,592,9,1067419,0.331
2014-06,943,26938,653,21,1535494,0.308
2014-07,895,24180,605,14,1354117,0.293
2014-08,862,18605,607,10,1023327,0.363
2014-09,853,22350,573,16,1206920,0.364
2014-10,850,19017,553,20,1007948,0.341
2014-11,910,22943,605,40,1193066,0.562
2014-12,860,25909,617,27,1321401,0.434
2015-01,899,27721,596,25,1386090,0.302
2015-02,883,22146,634,21,1085188,0.318
2015-03,1013,26624,679,24,1277958,0.456
2015-04,1032,38673,702,29,1817671,0.873
2015-05,1056,30863,719,22,1419731,0.536
2015-06,1189,34647,748,19,1559129,0.531
2015-07,1191,39528,787,20,1739236,0.563
2015-08,1150,37085,790,16,1594656,0.553
2015-09,1192,35805,824,33,1503839,0.731
2015-10,1104,30644,735,29,1256444,0.781
2015-11,1084,27691,688,22,1107642,0.678
2015-12,1106,27966,687,30,1090687,0.677
2016-01,1038,27745,620,29,1054330,0.554
2016-02,1145,31813,672,46,1177117,0.532
2016-03,1300,36801,768,45,1324870,0.591
2016-04,1262,40398,813,46,1413950,0.585
2016-05,1197,35745,722,37,1215337,0.550
2016-06,1213,35050,708,43,1156653,0.613
2016-07,1190,29770,644,39,952654,0.569
2016-08,1297,34977,758,55,1084305,0.572
2016-09,1275,36447,690,34,1093429,0.549
2016-10,1280,39942,719,45,1158335,0.611
2016-11,1344,34189,767,60,957297,0.699
2016-12,1181,35614,708,49,961587,0.689
2017-01,1171,33190,697,52,862948,0.691
2017-02,1104,30580,577,49,764521,0.726
2017-03,1307,32255,671,78,774142,0.719
2017-04,1134,32755,569,46,753381,0.727
2017-05,1174,35385,630,47,778484,0.716
2017-06,1171,29652,580,49,622695,0.732
2017-07,1258,37585,625,61,751700,0.810
2017-08,1175,29791,574,64,566046,0.888
2017-09,1122,31088,546,55,559585,0.923
2017-10,1083,25780,542,76,438264,0.706
2017-11,1105,24801,504,75,396825,0.554
2017-12,875,21811,406,63,327174,1.160
2018-01,1040,24373,481,81,341230,0.465
2018-02,1003,20405,481,52,265276,0.506
2018-03,1272,25856,532,79,310276,0.377
2018-04,1246,24020,530,98,264229,0.324
2018-05,1201,21522,474,77,215220,0.900
2018-06,1045,17972,397,78,161756,0.900
2018-07,1064,18322,371,85,146582,0.900
2018-08,941,17998,318,84,125989,0.900
2018-09,908,15922,302,65,95532,0.900
2018-10,973,16784,324,88,83921,0.900
2018-11,890,15221,299,74,60884,0.900
2018-12,820,17798,294,61,53396,0.900
2019-01,874,24209,302,61,48419,0.900
2019-02,882,38126,307,137,38126,0.900
