date,count,normalized viewcount,positive,negative,total viewcount
2008-08,5,153,5,0,19475
2008-09,12,495,12,0,62422
2008-10,14,575,12,0,71919
2008-11,16,832,14,1,103191
2008-12,10,634,10,0,77997
2009-01,6,435,6,0,53173
2009-02,10,424,10,0,51322
2009-03,12,726,12,0,87133
2009-04,10,466,10,0,55562
2009-05,11,343,11,0,40509
2009-06,32,1303,30,0,152546
2009-07,24,756,23,0,87780
2009-08,13,358,13,0,41256
2009-09,19,485,16,0,55297
2009-10,30,1166,27,0,131849
2009-11,35,950,33,0,106490
2009-12,32,776,28,0,86228
2010-01,28,621,25,0,68385
2010-02,22,343,17,1,37392
2010-03,40,1915,35,0,206838
2010-04,24,1122,17,1,120121
2010-05,31,1045,29,0,110810
2010-06,28,632,25,0,66374
2010-07,32,1403,29,0,145928
2010-08,28,574,27,0,59213
2010-09,30,520,26,0,53119
2010-10,36,452,22,1,45657
2010-11,60,1754,40,1,175496
2010-12,50,999,34,4,98970
2011-01,49,757,39,1,74215
2011-02,83,1276,53,4,123774
2011-03,63,1419,43,0,136250
2011-04,76,2025,52,1,192456
2011-05,44,877,42,0,82458
2011-06,40,703,35,1,65404
2011-07,21,262,19,0,24146
2011-08,40,607,37,0,55239
2011-09,29,703,18,0,63325
2011-10,38,1144,34,0,101895
2011-11,62,1483,51,1,130580
2011-12,41,729,38,1,63476
2012-01,54,937,49,1,80651
2012-02,63,1634,47,5,138947
2012-03,77,1401,64,2,117752
2012-04,62,920,56,0,76428
2012-05,59,910,49,3,74652
2012-06,32,1023,30,0,82915
2012-07,43,858,37,3,68688
2012-08,38,507,35,0,40125
2012-09,77,1649,60,5,128689
2012-10,102,1982,75,7,152661
2012-11,98,1673,73,5,127179
2012-12,59,807,47,2,60593
2013-01,75,1005,56,1,74371
2013-02,106,2064,82,1,150710
2013-03,94,1833,65,7,131988
2013-04,136,2016,95,3,143149
2013-05,75,1439,61,3,100755
2013-06,55,1020,52,2,70381
2013-07,37,420,32,0,28560
2013-08,48,553,36,1,37104
2013-09,74,920,42,6,60757
2013-10,142,2580,71,10,167722
2013-11,133,2263,60,6,144852
2013-12,74,1003,42,4,63191
2014-01,56,696,29,3,43159
2014-02,78,894,45,5,54578
2014-03,71,570,35,7,34236
2014-04,108,1037,40,9,61236
2014-05,91,757,34,17,43917
2014-06,42,571,22,3,32582
2014-07,36,239,15,3,13438
2014-08,38,286,25,3,15754
2014-09,76,764,47,12,41261
2014-10,71,560,36,8,29712
2014-11,111,1050,48,6,54640
2014-12,75,1076,37,5,54913
2015-01,40,347,22,4,17393
2015-02,72,904,27,5,44307
2015-03,85,608,50,5,29193
2015-04,93,893,56,9,41975
2015-05,57,491,42,6,22600
2015-06,32,235,27,0,10586
2015-07,36,265,26,0,11677
2015-08,41,434,28,1,18674
2015-09,59,694,45,2,29161
2015-10,81,822,45,5,33709
2015-11,95,689,42,8,27595
2015-12,52,324,35,6,12640
2016-01,40,463,26,5,17622
2016-02,78,711,43,3,26309
2016-03,75,752,26,13,27075
2016-04,91,1033,40,4,36158
2016-05,51,355,40,2,12092
2016-06,52,743,39,1,24532
2016-07,52,589,32,3,18855
2016-08,64,487,36,12,15104
2016-09,60,350,37,4,10510
2016-10,96,904,36,9,26217
2016-11,81,677,35,4,18957
2016-12,58,422,39,1,11394
2017-01,41,392,15,5,10205
2017-02,45,582,12,1,14570
2017-03,78,646,26,3,15510
2017-04,90,816,25,10,18778
2017-05,39,202,15,5,4460
2017-06,24,203,6,1,4273
2017-07,31,327,19,2,6542
2017-08,23,197,16,2,3759
2017-09,35,370,16,4,6675
2017-10,45,507,13,6,8635
2017-11,75,704,34,7,11275
2017-12,47,469,28,5,7049
2018-01,30,438,17,2,6139
2018-02,57,670,27,2,8712
2018-03,49,570,28,2,6847
2018-04,78,928,32,6,10216
2018-05,33,333,16,1,3339
2018-06,17,225,13,0,2026
2018-07,24,299,13,0,2392
2018-08,23,249,13,2,1745
2018-09,29,463,17,2,2781
2018-10,65,777,39,3,3887
2018-11,49,665,20,6,2660
2018-12,48,1104,27,3,3313
2019-01,33,1117,28,0,2234
2019-02,43,2063,29,1,2063
