date,count,normalized viewcount,positive,negative,total viewcount,tiobe rating
2008-08,148,81542,143,0,10355959,0
2008-09,505,314599,467,3,39639492,0
2008-10,534,199983,484,1,24997894,0
2008-11,414,72658,359,2,9009650,0
2008-12,427,64229,356,1,7900244,0
2009-01,587,134921,482,2,16460398,0
2009-02,668,109619,515,3,13264000,0
2009-03,660,120728,519,10,14487362,0
2009-04,744,118384,558,6,14087726,0
2009-05,845,112141,625,6,13232734,0
2009-06,925,153223,691,9,17927192,0
2009-07,1088,152389,760,15,17677149,0
2009-08,1036,149646,756,13,17209306,0
2009-09,1356,139869,910,13,15945154,0
2009-10,1478,179891,943,18,20327762,0
2009-11,1217,112552,796,23,12605829,0
2009-12,1188,130571,773,17,14493490,0
2010-01,1257,124592,912,16,13705182,0
2010-02,1290,140158,1018,6,15277247,0
2010-03,1465,141057,1128,10,15234187,0
2010-04,1325,137055,988,14,14664981,0
2010-05,1449,100397,1067,17,10642124,0
2010-06,1627,107664,1151,21,11304729,0
2010-07,1835,114633,1284,33,11921921,0
2010-08,1914,124218,1313,23,12794522,0
2010-09,1741,137132,1223,14,13987476,0
2010-10,1852,153421,1292,17,15495621,0
2010-11,1976,136823,1319,24,13682390,0
2010-12,1895,130879,1200,18,12957036,0
2011-01,2355,205859,1535,28,20174263,0
2011-02,2134,148019,1347,41,14357884,0
2011-03,2662,246247,1658,36,23639778,0
2011-04,2299,163685,1449,32,15550169,0
2011-05,2716,226733,1800,42,21312926,0
2011-06,2664,143254,1762,75,13322702,0
2011-07,2680,159616,1656,89,14684707,0
2011-08,2683,189311,1713,85,17227311,0
2011-09,2598,169347,1584,113,15241242,0
2011-10,2605,165707,1520,103,14747932,0
2011-11,2847,147634,1695,122,12991814,0
2011-12,2598,144317,1581,121,12555579,0
2012-01,2813,201315,1772,118,17313142,0
2012-02,3164,168243,1873,155,14300691,0
2012-03,3622,223504,2036,201,18774406,0
2012-04,3346,253117,1961,174,21008760,0
2012-05,3526,219339,1980,150,17985855,0
2012-06,3316,178667,1858,180,14472031,0
2012-07,3743,219265,2089,189,17541269,0
2012-08,3712,224601,2005,173,17743486,0
2012-09,3622,221084,2102,227,17244611,0
2012-10,4121,203662,2406,227,15681983,0
2012-11,4326,213606,2453,244,16234110,0
2012-12,3887,192404,2178,256,14430367,0
2013-01,4671,286411,2514,294,21194469,0
2013-02,4595,263043,2428,291,19202174,0
2013-03,5268,295801,2539,454,21297742,0
2013-04,5075,271893,2391,417,19304431,0
2013-05,5010,257291,2302,384,18010436,0
2013-06,4758,200047,2142,367,13803298,0
2013-07,5427,312143,2434,446,21225771,0
2013-08,5395,268385,2460,404,17981838,0
2013-09,5931,264318,2713,411,17445051,0
2013-10,6862,264036,2862,494,17162392,0
2013-11,6587,280107,2667,473,17926897,0
2013-12,6266,186200,2533,499,11730604,0
2014-01,7078,216514,2714,532,13423874,0
2014-02,6983,203566,2527,544,12417582,0
2014-03,7783,193272,2657,524,11596366,0
2014-04,7861,165078,2482,600,9739620,0
2014-05,6815,122431,2192,745,7101031,0
2014-06,6403,113628,2052,609,6476842,0
2014-07,6897,128993,2308,610,7223625,0
2014-08,6247,148025,2186,552,8141401,0
2014-09,6377,123511,2158,559,6669642,0
2014-10,5472,112474,1760,535,5961126,0
2014-11,4297,83748,1455,448,4354911,0
2014-12,4219,95802,1661,424,4885952,0
2015-01,4480,75139,1509,544,3756998,0
2015-02,4389,85294,1424,497,4179436,0
2015-03,5019,83107,1607,598,3989153,0
2015-04,4915,87040,1921,561,4090916,0
2015-05,4705,86914,2146,549,3998081,0
2015-06,4774,80576,1970,560,3625952,0
2015-07,4897,82559,1993,534,3632632,0
2015-08,4503,77558,1828,541,3335035,0
2015-09,4342,62486,1637,553,2624452,0
2015-10,4470,65617,1701,504,2690319,0
2015-11,4399,66113,1719,511,2644520,0
2015-12,4256,73809,1807,446,2878564,0
2016-01,4507,66558,1745,537,2529204,0
2016-02,4703,65517,1795,524,2424165,0
2016-03,5150,69301,1903,546,2494870,0
2016-04,4998,75847,1893,579,2654658,0
2016-05,4901,63851,1788,593,2170948,0
2016-06,5006,72662,1800,601,2397872,0
2016-07,4408,62638,1492,525,2004416,0
2016-08,4502,67027,1621,606,2077839,0
2016-09,4357,64117,1485,566,1923530,0
2016-10,4634,65058,1680,515,1886685,0
2016-11,4761,66775,1798,513,1869724,0
2016-12,4196,65143,1508,547,1758863,0
2017-01,4405,86383,1529,537,2245971,0
2017-02,4465,70326,1570,498,1758162,0
2017-03,5400,80151,1780,651,1923632,0
2017-04,4748,67078,1442,543,1542806,0
2017-05,5186,66390,1596,686,1460586,0
2017-06,4866,62685,1534,599,1316387,0
2017-07,4848,62883,1473,699,1257662,0
2017-08,4635,58321,1579,651,1108113,0
2017-09,4257,57236,1430,591,1030253,0
2017-10,4635,54988,1487,576,934796,0
2017-11,4638,56045,1401,572,896723,0
2017-12,3791,49626,1240,511,744400,0
2018-01,4287,52210,1301,624,730942,0
2018-02,4192,47258,1322,558,614363,2.356
2018-03,5001,53895,1466,644,646743,2.686
2018-04,4979,50507,1490,639,555577,2.650
2018-05,5053,53144,1598,589,531446,1.987
2018-06,4693,55270,1517,552,497431,2.339
2018-07,4841,53336,1469,575,426694,2.334
2018-08,4680,50946,1408,683,356628,2.316
2018-09,4015,45975,1174,557,275855,2.062
2018-10,4659,53714,1325,603,268573,2.038
2018-11,4416,58404,1223,558,233618,1.844
2018-12,3776,63622,1046,530,190866,2.184
2019-01,4274,96838,1299,592,193677,2.277
2019-02,4763,195924,1418,758,195924,1.900
