date,count,viewcount,positive,negative
2008-08,0,0,0,0
2008-09,0,0,0,0
2008-10,0,0,0,0
2008-11,0,0,0,0
2008-12,0,0,0,0
2009-01,1,111502,1,0
2009-02,1,311703,1,0
2009-03,0,0,0,0
2009-04,0,0,0,0
2009-05,0,0,0,0
2009-06,0,0,0,0
2009-07,0,0,0,0
2009-08,1,139560,1,0
2009-09,2,39158,2,0
2009-10,0,0,0,0
2009-11,1,110293,1,0
2009-12,1,61553,1,0
2010-01,1,1453,1,0
2010-02,2,117864,2,0
2010-03,0,0,0,0
2010-04,2,82034,2,0
2010-05,1,8367,1,0
2010-06,1,16493,1,0
2010-07,1,13898,1,0
2010-08,1,106592,1,0
2010-09,0,0,0,0
2010-10,0,0,0,0
2010-11,1,17843,1,0
2010-12,2,109923,2,0
2011-01,0,0,0,0
2011-02,3,247202,3,0
2011-03,2,271704,2,0
2011-04,3,246951,3,0
2011-05,1,12871,1,0
2011-06,3,181782,3,0
2011-07,12,483724,12,0
2011-08,8,460400,7,0
2011-09,5,232279,5,0
2011-10,6,330466,6,0
2011-11,3,308166,3,0
2011-12,2,103768,2,0
2012-01,5,126045,5,0
2012-02,9,223275,9,0
2012-03,3,92983,3,0
2012-04,7,323602,7,0
2012-05,6,344131,6,0
2012-06,3,316735,3,0
2012-07,6,301213,6,0
2012-08,4,144197,4,0
2012-09,7,205460,7,0
2012-10,3,56829,3,0
2012-11,3,89824,3,0
2012-12,2,87585,2,0
2013-01,4,81770,3,0
2013-02,5,106858,5,0
2013-03,4,310037,4,0
2013-04,6,202713,6,0
2013-05,1,2486,0,0
2013-06,2,32816,2,0
2013-07,6,82226,6,0
2013-08,2,45423,2,0
2013-09,9,548887,8,1
2013-10,7,451643,7,0
2013-11,5,113850,5,0
2013-12,7,180782,7,0
2014-01,5,89778,5,0
2014-02,10,46427,9,1
2014-03,4,16094,4,0
2014-04,4,114480,4,0
2014-05,10,211944,9,0
2014-06,2411,42171140,1992,82
2014-07,1646,11468609,1229,51
2014-08,1705,11570697,1184,59
2014-09,1909,11766834,1296,65
2014-10,2472,11089854,1567,101
2014-11,2572,10056552,1544,119
2014-12,2503,8380838,1422,154
2015-01,3076,9190202,1671,164
2015-02,3251,9356207,1700,190
2015-03,3615,8259689,1807,238
2015-04,4043,9286387,2233,265
2015-05,3817,7916474,2053,231
2015-06,4349,9285680,2294,267
2015-07,5172,8796674,2665,342
2015-08,5095,9019285,2702,284
2015-09,4570,6838975,2415,223
2015-10,4318,5825830,2131,277
2015-11,4333,5183709,2221,254
2015-12,4395,4591423,2313,291
2016-01,4813,5252399,2419,296
2016-02,4771,5287189,2270,309
2016-03,5104,5050723,2318,350
2016-04,4782,4623915,2275,301
2016-05,4452,4911784,2179,292
2016-06,4828,6518839,2249,311
2016-07,4961,5080012,2570,329
2016-08,4935,5353176,2745,288
2016-09,4892,7266739,2527,287
2016-10,4750,5477103,2259,321
2016-11,4381,4322964,2132,298
2016-12,3952,2997913,1949,323
2017-01,4354,3322540,2049,345
2017-02,4075,2918214,1695,351
2017-03,4637,3066486,2086,406
2017-04,3935,2612801,1840,339
2017-05,4119,2240806,1756,337
2017-06,4210,3168502,1903,327
2017-07,4361,2336818,1931,347
2017-08,4209,2020459,1870,346
2017-09,3798,2481341,1612,304
2017-10,3924,1950036,1606,335
2017-11,3700,1555927,1504,336
2017-12,3233,1146203,1391,257
2018-01,3782,1252167,1493,305
2018-02,3472,1069744,1265,329
2018-03,4524,1067847,1422,383
2018-04,3958,909133,1321,455
2018-05,4000,759972,1257,352
2018-06,3529,699530,995,386
2018-07,4193,664846,1152,344
2018-08,4079,507458,1075,360
2018-09,3527,484337,925,366
2018-10,3664,332984,1157,387
2018-11,3368,246292,1265,320
2018-12,3131,183204,871,384
2019-01,3317,165418,892,382
2019-02,3476,140706,687,815
