date,count,normalized viewcount,positive,negative,total viewcount
2012-10,277,73369,259,2,5649443
2012-11,143,19164,123,1,1456496
2012-12,81,7019,68,2,526484
2013-01,96,9396,81,1,695327
2013-02,70,16989,56,0,1240201
2013-03,116,13530,94,0,974170
2013-04,94,15266,74,3,1083916
2013-05,76,6428,52,1,449973
2013-06,94,9206,74,0,635282
2013-07,108,4829,79,2,328386
2013-08,107,11900,75,1,797351
2013-09,86,6813,66,1,449695
2013-10,83,3441,58,1,223688
2013-11,90,4600,58,0,294420
2013-12,122,5426,79,2,341896
2014-01,147,7226,108,3,448058
2014-02,119,7260,76,1,442864
2014-03,119,4785,74,2,287154
2014-04,140,23803,91,2,1404413
2014-05,138,10990,81,2,637463
2014-06,106,5168,60,1,294599
2014-07,161,6040,96,3,338294
2014-08,122,5808,73,1,319441
2014-09,115,5257,68,5,283879
2014-10,142,7810,91,6,413952
2014-11,107,6820,66,1,354655
2014-12,120,7408,79,5,377809
2015-01,142,10313,92,2,515677
2015-02,128,5551,88,1,272000
2015-03,154,14625,99,3,702027
2015-04,175,17560,126,0,825353
2015-05,247,28193,168,5,1296892
2015-06,259,31248,161,6,1406188
2015-07,289,40137,196,2,1766060
2015-08,297,20569,181,3,884469
2015-09,300,35126,195,6,1475304
2015-10,336,35724,212,4,1464701
2015-11,406,42348,269,5,1693954
2015-12,505,83283,365,8,3248068
2016-01,616,66931,440,12,2543408
2016-02,749,161411,545,9,5972222
2016-03,839,111914,559,18,4028922
2016-04,940,99693,633,18,3489270
2016-05,1065,116811,691,21,3971598
2016-06,1107,117708,696,20,3884376
2016-07,1283,132011,792,27,4224378
2016-08,1370,147634,846,28,4576684
2016-09,1348,126613,818,30,3798395
2016-10,1493,128941,891,35,3739317
2016-11,1408,122197,852,28,3421533
2016-12,1397,114418,869,29,3089306
2017-01,1557,122443,937,50,3183522
2017-02,1552,133421,902,39,3335529
2017-03,1838,160711,1009,46,3857067
2017-04,1741,150969,958,47,3472306
2017-05,1916,145871,1013,58,3209174
2017-06,1880,131167,1004,62,2754518
2017-07,1950,131840,1071,81,2636813
2017-08,2078,119714,1100,85,2274584
2017-09,1862,107003,964,78,1926061
2017-10,1853,106569,894,91,1811686
2017-11,1996,132444,968,92,2119119
2017-12,1742,90548,895,87,1358230
2018-01,1963,114097,959,86,1597358
2018-02,1990,96551,852,118,1255171
2018-03,2433,99931,982,165,1199180
2018-04,2302,96732,934,132,1064054
2018-05,2352,139445,1001,86,1394455
2018-06,2320,106296,944,129,956664
2018-07,2429,101414,961,116,811318
2018-08,2542,95286,1011,159,667004
2018-09,2329,68964,847,136,413785
2018-10,2600,67893,887,147,339465
2018-11,2300,61294,843,109,245178
2018-12,2216,62823,782,128,188469
2019-01,2621,71468,874,159,142937
2019-02,2794,115697,893,248,115697
