date,count,normalized viewcount,positive,negative,total viewcount
2008-08,62,10687,61,0,1357260
2008-09,213,33262,186,2,4191020
2008-10,240,23097,202,1,2887246
2008-11,226,25947,185,3,3217495
2008-12,212,17301,166,1,2128144
2009-01,245,17791,171,5,2170523
2009-02,283,23437,194,3,2835993
2009-03,391,27504,239,6,3300519
2009-04,377,21872,249,4,2602807
2009-05,430,24982,269,4,2947946
2009-06,434,19156,257,28,2241279
2009-07,448,22441,292,2,2603191
2009-08,549,26477,313,9,3044908
2009-09,480,29021,274,6,3308481
2009-10,427,17611,224,8,1990051
2009-11,446,19162,243,5,2146223
2009-12,498,18972,264,10,2105971
2010-01,535,21948,335,13,2414385
2010-02,601,32877,391,5,3583630
2010-03,673,29238,441,5,3157786
2010-04,606,26172,354,9,2800469
2010-05,549,23743,328,13,2516760
2010-06,549,18322,308,7,1923852
2010-07,682,26360,386,6,2741542
2010-08,623,24458,371,9,2519232
2010-09,592,23789,328,5,2426568
2010-10,636,26145,341,7,2640647
2010-11,713,27678,377,23,2767808
2010-12,620,26475,302,18,2621039
2011-01,837,50979,437,19,4996009
2011-02,811,33881,445,18,3286552
2011-03,899,43284,432,20,4155302
2011-04,1004,43002,513,15,4085235
2011-05,933,35256,527,19,3314078
2011-06,906,38336,551,26,3565332
2011-07,893,39284,434,24,3614151
2011-08,928,30101,480,31,2739258
2011-09,854,27086,423,18,2437757
2011-10,899,36802,427,25,3275412
2011-11,872,25838,449,25,2273792
2011-12,872,32302,416,40,2810303
2012-01,1010,41797,466,55,3594546
2012-02,1088,49062,505,39,4170320
2012-03,1063,36811,478,43,3092150
2012-04,1004,42119,491,50,3495952
2012-05,1076,37530,507,62,3077476
2012-06,919,38045,432,45,3081717
2012-07,1036,38367,443,47,3069388
2012-08,1113,32827,475,53,2593339
2012-09,1123,43420,507,51,3386765
2012-10,1207,43840,586,49,3375705
2012-11,1307,53886,703,69,4095393
2012-12,1107,35445,588,68,2658446
2013-01,1352,61109,591,77,4522097
2013-02,1336,48103,575,78,3511536
2013-03,1425,55144,595,77,3970385
2013-04,1581,57583,659,96,4088455
2013-05,1455,59285,566,97,4149980
2013-06,1429,39854,544,80,2749948
2013-07,1639,55950,634,96,3804635
2013-08,1599,52267,605,100,3501890
2013-09,1589,50948,636,113,3362618
2013-10,1842,59612,659,102,3874814
2013-11,1627,47686,571,75,3051914
2013-12,1561,40216,578,105,2533633
2014-01,1794,43670,637,126,2707567
2014-02,1727,42052,583,125,2565225
2014-03,1975,37557,822,153,2253474
2014-04,1851,34459,526,116,2033119
2014-05,1472,23387,366,171,1356469
2014-06,1357,26430,363,163,1506532
2014-07,1519,26616,454,174,1490540
2014-08,1333,26384,424,178,1451150
2014-09,1323,22961,373,160,1239946
2014-10,1415,21067,379,152,1116557
2014-11,1338,18972,332,176,986558
2014-12,1308,23449,372,145,1195943
2015-01,1335,22590,362,199,1129527
2015-02,1221,16844,310,192,825399
2015-03,1382,19825,345,153,951628
2015-04,1353,20563,363,160,966470
2015-05,1343,17375,396,172,799268
2015-06,1399,15891,405,160,715103
2015-07,1383,17155,452,141,754829
2015-08,1241,16383,409,133,704504
2015-09,1253,13143,384,118,552013
2015-10,1237,14724,327,156,603724
2015-11,1140,11571,339,183,462846
2015-12,1158,13325,383,134,519705
2016-01,1254,15380,371,159,584461
2016-02,1233,14668,371,155,542722
2016-03,1311,12549,415,153,451775
2016-04,1201,14632,361,121,512144
2016-05,1228,13477,308,163,458220
2016-06,1116,14978,335,124,494306
2016-07,1074,10700,290,134,342423
2016-08,1106,12462,255,149,386333
2016-09,972,10309,206,94,309294
2016-10,999,9731,216,111,282199
2016-11,1000,11056,244,166,309572
2016-12,883,9126,222,183,246410
2017-01,961,11503,231,105,299079
2017-02,934,9669,219,108,241749
2017-03,1063,10595,266,103,254297
2017-04,956,10122,222,92,232826
2017-05,954,8847,200,118,194652
2017-06,873,8106,176,119,170227
2017-07,877,8780,205,118,175605
2017-08,790,9165,161,101,174138
2017-09,756,9056,182,113,163024
2017-10,757,8536,139,102,145117
2017-11,786,8644,213,101,138318
2017-12,654,6561,181,86,98419
2018-01,639,6663,151,101,93287
2018-02,662,7631,146,117,99206
2018-03,771,7132,121,157,85592
2018-04,660,6093,98,121,67029
2018-05,773,8501,143,116,85011
2018-06,678,6724,94,95,60518
2018-07,695,7668,97,111,61351
2018-08,590,6250,123,91,43750
2018-09,650,6475,109,121,38853
2018-10,671,7975,112,90,39877
2018-11,634,8231,110,85,32924
2018-12,559,8494,86,89,25483
2019-01,683,14584,110,109,29169
2019-02,828,27941,118,160,27941
