date,count,normalized viewcount,positive,negative,total viewcount
2008-08,10,2076,10,0,263774
2008-09,27,2499,25,0,314990
2008-10,39,6436,31,0,804613
2008-11,47,5280,40,0,654747
2008-12,31,3523,20,2,433433
2009-01,29,2449,20,0,298784
2009-02,38,2028,29,0,245478
2009-03,35,4787,24,0,574509
2009-04,43,1998,28,0,237798
2009-05,56,5882,45,1,694193
2009-06,51,5470,37,0,640026
2009-07,52,8032,38,0,931801
2009-08,57,8241,37,0,947822
2009-09,47,3250,28,0,370504
2009-10,45,3348,18,0,378385
2009-11,43,8005,29,1,896664
2009-12,44,4262,27,1,473175
2010-01,51,4618,38,2,508049
2010-02,73,9977,56,1,1087533
2010-03,68,4977,41,0,537527
2010-04,47,1794,28,1,192049
2010-05,55,9133,42,0,968098
2010-06,97,7652,49,1,803554
2010-07,77,4163,57,1,432987
2010-08,75,4798,47,2,494248
2010-09,66,3672,33,2,374572
2010-10,75,6089,44,1,615057
2010-11,73,5949,41,2,594931
2010-12,75,9763,49,0,966593
2011-01,66,3874,38,3,379736
2011-02,79,6244,53,1,605735
2011-03,101,6775,48,0,650468
2011-04,66,4455,44,0,423234
2011-05,99,6783,57,0,637684
2011-06,123,6629,67,6,616532
2011-07,122,5581,63,3,513510
2011-08,119,7205,66,1,655727
2011-09,104,8814,58,2,793337
2011-10,90,3516,44,3,312952
2011-11,88,5931,46,3,521954
2011-12,96,5101,51,2,443796
2012-01,102,12298,61,2,1057648
2012-02,109,5972,51,3,507636
2012-03,129,7519,49,7,631679
2012-04,122,10089,72,2,837399
2012-05,145,5999,74,5,491933
2012-06,130,6571,67,2,532266
2012-07,149,9416,73,7,753322
2012-08,147,10804,70,3,853579
2012-09,120,6465,47,5,504272
2012-10,174,13214,96,2,1017522
2012-11,164,11693,88,6,888731
2012-12,237,13744,104,18,1030855
2013-01,183,12424,86,6,919435
2013-02,195,10202,87,6,744765
2013-03,197,11468,83,12,825730
2013-04,223,17544,100,17,1245662
2013-05,186,11365,76,13,795579
2013-06,184,9286,67,14,640780
2013-07,229,18022,95,9,1225507
2013-08,200,7923,58,17,530886
2013-09,173,6921,59,4,456804
2013-10,221,9372,75,15,609227
2013-11,239,8577,74,5,548947
2013-12,195,8648,69,9,544827
2014-01,225,8755,76,18,542862
2014-02,236,8627,82,15,526295
2014-03,242,10487,78,11,629271
2014-04,251,12624,69,14,744860
2014-05,206,6850,58,19,397317
2014-06,199,5694,60,16,324572
2014-07,210,4857,58,21,271992
2014-08,192,3887,63,16,213830
2014-09,193,5017,63,12,270919
2014-10,194,4389,47,16,232652
2014-11,186,5167,70,11,268707
2014-12,167,3360,48,13,171362
2015-01,165,3011,56,14,150556
2015-02,190,5453,71,7,267218
2015-03,253,6284,87,16,301663
2015-04,248,5763,143,11,270889
2015-05,210,5230,92,12,240620
2015-06,234,5462,125,14,245829
2015-07,223,6164,112,9,271226
2015-08,225,4637,100,12,199429
2015-09,164,3171,80,12,133195
2015-10,211,4888,92,20,200411
2015-11,168,2858,70,16,114342
2015-12,163,3686,66,17,143758
2016-01,160,3600,56,19,136829
2016-02,205,4384,103,18,162221
2016-03,205,5099,93,13,183585
2016-04,195,3613,79,10,126488
2016-05,222,3481,99,23,118354
2016-06,225,5390,109,11,177898
2016-07,177,2619,61,29,83832
2016-08,186,3077,79,21,95407
2016-09,155,2462,44,25,73862
2016-10,154,2721,52,24,78917
2016-11,143,2998,55,17,83967
2016-12,121,2298,36,23,62067
2017-01,145,2978,52,28,77448
2017-02,120,2817,40,15,70427
2017-03,154,2460,47,11,59050
2017-04,140,2895,39,20,66598
2017-05,154,2695,50,21,59297
2017-06,175,3098,50,12,65073
2017-07,165,2645,49,24,52905
2017-08,164,2416,62,13,45920
2017-09,120,2130,47,12,38346
2017-10,149,2764,54,19,46991
2017-11,113,2089,44,10,33426
2017-12,111,1731,44,10,25973
2018-01,114,2220,34,19,31089
2018-02,100,1365,31,18,17747
2018-03,119,1330,23,7,15964
2018-04,106,1552,26,11,17077
2018-05,136,1908,33,9,19081
2018-06,122,1621,24,20,14595
2018-07,118,1564,31,16,12517
2018-08,99,1105,23,13,7739
2018-09,67,1107,22,13,6647
2018-10,88,996,22,15,4981
2018-11,88,1129,20,8,4517
2018-12,62,1049,16,11,3149
2019-01,94,2147,24,10,4294
2019-02,106,4078,21,36,4078
