date,count,normalized viewcount,positive,negative,total viewcount
2008-08,1,252,1,0,32044
2008-09,3,159,3,0,20067
2008-10,3,161,2,0,20156
2008-11,1,129,1,0,16079
2008-12,2,36,2,0,4462
2009-01,2,64,2,0,7913
2009-02,0,0,0,0,0
2009-03,3,389,3,0,46789
2009-04,4,214,4,0,25520
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,3,180,3,0,20564
2009-10,5,567,4,0,64154
2009-11,3,749,3,0,83909
2009-12,1,62,1,0,6946
2010-01,5,855,1,2,94111
2010-02,6,131,6,0,14294
2010-03,7,669,6,0,72259
2010-04,5,135,4,1,14496
2010-05,4,127,4,0,13493
2010-06,3,1614,2,0,169523
2010-07,4,26,4,0,2763
2010-08,5,198,2,1,20411
2010-09,1,8,1,0,886
2010-10,6,624,6,0,63071
2010-11,8,769,4,1,76926
2010-12,5,204,5,0,20234
2011-01,3,497,3,0,48734
2011-02,11,283,8,1,27490
2011-03,21,1936,11,0,185865
2011-04,24,1806,15,0,171649
2011-05,18,2030,14,1,190892
2011-06,8,667,6,1,62069
2011-07,5,137,5,0,12659
2011-08,5,155,2,0,14112
2011-09,9,362,7,0,32586
2011-10,9,493,7,1,43954
2011-11,7,439,7,0,38646
2011-12,9,557,8,0,48478
2012-01,14,1009,10,0,86791
2012-02,10,413,7,1,35128
2012-03,20,962,19,0,80861
2012-04,29,2064,25,0,171372
2012-05,18,750,13,1,61531
2012-06,20,1109,15,1,89889
2012-07,12,1361,12,0,108913
2012-08,9,827,7,0,65376
2012-09,17,3910,14,2,305034
2012-10,25,1324,16,0,101958
2012-11,37,1972,20,4,149927
2012-12,19,971,11,2,72880
2013-01,34,2408,21,1,178261
2013-02,36,2086,19,5,152337
2013-03,63,3903,25,9,281048
2013-04,39,2525,23,5,179282
2013-05,48,3771,30,4,263992
2013-06,32,1850,21,2,127712
2013-07,35,2946,22,4,200330
2013-08,31,1248,18,3,83668
2013-09,33,1543,15,9,101887
2013-10,48,3614,19,9,234955
2013-11,71,4685,28,10,299876
2013-12,67,4702,27,11,296261
2014-01,40,2493,20,9,154614
2014-02,39,1560,18,5,95217
2014-03,69,2206,30,14,132412
2014-04,66,2469,27,6,145696
2014-05,47,1634,23,6,94791
2014-06,53,2005,19,8,114315
2014-07,47,2121,25,7,118824
2014-08,33,1063,5,6,58495
2014-09,29,3426,14,3,185013
2014-10,53,1323,15,9,70155
2014-11,78,2075,24,15,107944
2014-12,60,2242,19,8,114374
2015-01,46,1312,22,6,65647
2015-02,79,2059,28,14,100928
2015-03,87,2155,21,15,103440
2015-04,82,3841,30,15,180546
2015-05,47,2189,14,6,100738
2015-06,56,2114,21,10,95169
2015-07,33,1225,13,7,53928
2015-08,37,684,17,4,29442
2015-09,44,1109,15,5,46609
2015-10,74,1487,23,12,60991
2015-11,89,4154,25,12,166160
2015-12,65,2781,29,5,108477
2016-01,54,1401,14,13,53266
2016-02,72,2033,13,19,75233
2016-03,102,2297,28,16,82722
2016-04,80,3316,24,14,116079
2016-05,62,1440,16,7,48971
2016-06,53,2149,15,5,70941
2016-07,45,1029,14,7,32958
2016-08,38,842,11,6,26123
2016-09,49,962,15,9,28862
2016-10,66,1759,11,8,51036
2016-11,69,1608,12,15,45050
2016-12,51,1287,8,8,34753
2017-01,47,1007,19,9,26206
2017-02,48,898,12,11,22451
2017-03,68,1166,13,9,27984
2017-04,53,1074,14,7,24707
2017-05,53,738,11,10,16245
2017-06,51,674,20,9,14160
2017-07,43,991,12,5,19823
2017-08,43,849,12,17,16147
2017-09,37,894,6,7,16092
2017-10,46,768,5,8,13066
2017-11,59,1361,12,14,21791
2017-12,51,1363,11,9,20447
2018-01,29,624,8,5,8745
2018-02,54,1039,7,12,13507
2018-03,75,1329,12,15,15958
2018-04,50,1121,10,16,12338
2018-05,51,835,9,7,8352
2018-06,41,604,4,7,5436
2018-07,42,599,10,3,4794
2018-08,42,602,7,5,4220
2018-09,55,1444,10,11,8668
2018-10,40,515,7,7,2575
2018-11,55,713,9,12,2853
2018-12,46,765,2,22,2295
2019-01,54,1382,5,13,2764
2019-02,62,2431,7,13,2431
