date,count,normalized viewcount,positive,negative,total viewcount
2008-10,3,993,3,0,124199
2008-11,1,129,1,0,16079
2008-12,4,133,4,0,16418
2009-01,2,64,2,0,7913
2009-02,2,39,2,0,4794
2009-03,3,99,2,0,11901
2009-04,1,46,1,0,5534
2009-05,1,672,1,0,79364
2009-06,2,84,2,0,9887
2009-07,1,90,1,0,10477
2009-08,1,27,1,0,3159
2009-09,1,2,1,0,301
2009-10,6,660,6,0,74598
2009-11,5,170,5,0,19089
2009-12,3,200,2,1,22228
2010-01,2,9,2,0,1056
2010-02,1,15,1,0,1652
2010-03,3,141,3,0,15242
2010-04,3,80,3,0,8653
2010-05,9,730,5,0,77476
2010-06,4,219,3,1,23070
2010-07,4,153,4,0,15962
2010-08,3,28,1,0,2964
2010-09,6,378,4,0,38620
2010-10,7,648,6,0,65528
2010-11,10,316,6,1,31678
2010-12,7,156,7,0,15520
2011-01,14,665,10,0,65253
2011-02,20,1164,15,1,112973
2011-03,15,589,11,3,56559
2011-04,11,654,10,0,62205
2011-05,23,1292,16,1,121527
2011-06,12,714,9,1,66439
2011-07,9,931,7,0,85677
2011-08,8,893,5,0,81272
2011-09,11,936,6,1,84314
2011-10,21,1163,17,0,103526
2011-11,29,1271,18,1,111873
2011-12,10,273,5,0,23767
2012-01,17,4586,13,1,394407
2012-02,13,488,11,1,41556
2012-03,16,958,12,0,80475
2012-04,32,2122,23,1,176181
2012-05,21,671,11,0,55071
2012-06,23,1153,14,1,93459
2012-07,10,337,7,0,26964
2012-08,22,1317,16,0,104089
2012-09,23,2278,17,0,177700
2012-10,34,1336,22,0,102934
2012-11,40,2175,29,3,165355
2012-12,32,1145,21,0,85893
2013-01,39,3232,27,0,239227
2013-02,39,1649,24,3,120409
2013-03,62,5830,33,3,419785
2013-04,60,2781,31,2,197457
2013-05,50,2616,27,8,183125
2013-06,42,2182,21,3,150593
2013-07,43,4119,22,4,280118
2013-08,29,1378,13,3,92338
2013-09,53,3655,22,1,241294
2013-10,59,3078,28,1,200073
2013-11,72,4381,32,3,280431
2013-12,96,4608,44,2,290352
2014-01,50,2469,28,3,153088
2014-02,66,2768,31,6,168857
2014-03,79,2452,28,5,147173
2014-04,66,1909,29,2,112683
2014-05,93,3169,33,5,183845
2014-06,43,1041,14,3,59375
2014-07,37,749,6,6,41972
2014-08,24,1394,8,2,76688
2014-09,46,3205,20,4,173109
2014-10,54,2394,21,8,126905
2014-11,71,2480,15,8,128986
2014-12,73,1668,27,13,85082
2015-01,57,2023,24,7,101198
2015-02,56,2370,22,12,116134
2015-03,81,1940,28,6,93160
2015-04,79,2864,32,10,134626
2015-05,80,1578,32,7,72591
2015-06,67,2041,29,5,91864
2015-07,53,1052,24,5,46292
2015-08,52,1075,15,8,46248
2015-09,52,1146,17,8,48162
2015-10,61,1561,21,11,64002
2015-11,67,1652,31,5,66086
2015-12,60,1914,22,10,74664
2016-01,68,1318,26,10,50095
2016-02,67,911,24,19,33727
2016-03,79,1782,28,27,64165
2016-04,74,1436,23,22,50283
2016-05,71,1449,30,12,49294
2016-06,57,932,21,3,30759
2016-07,52,963,22,2,30834
2016-08,41,1029,9,7,31923
2016-09,35,598,11,7,17968
2016-10,52,769,28,7,22312
2016-11,71,1190,24,5,33336
2016-12,41,835,8,7,22563
2017-01,42,660,11,7,17167
2017-02,51,1315,16,6,32876
2017-03,77,1485,23,8,35655
2017-04,65,1369,28,2,31490
2017-05,57,772,12,14,16992
2017-06,45,1109,16,11,23296
2017-07,54,881,16,14,17635
2017-08,34,751,20,3,14281
2017-09,35,832,12,4,14992
2017-10,36,740,10,4,12590
2017-11,47,840,14,8,13444
2017-12,39,459,8,8,6896
2018-01,35,785,12,5,10999
2018-02,33,613,6,4,7970
2018-03,44,841,16,6,10103
2018-04,38,513,6,5,5647
2018-05,70,968,20,10,9684
2018-06,34,652,12,4,5869
2018-07,30,428,9,1,3425
2018-08,28,507,6,8,3552
2018-09,39,546,13,7,3278
2018-10,55,772,14,7,3861
2018-11,59,1164,16,7,4659
2018-12,50,989,14,4,2968
2019-01,39,1000,7,8,2001
2019-02,35,1528,5,10,1528
